,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-01-27,1602.9000199999998,1605.0,1601.0,1605.0,476000,0
1,2017-01-30,1607.0,1610.0,1604.5,1608.0,1078000,0
2,2017-01-31,1608.0,1608.0,1598.0,1602.0,1926000,0
3,2017-02-01,1600.0,1606.0,1599.0,1602.5,1917000,0
4,2017-02-02,1605.0,1610.0,1596.0,1602.0,3113000,0
5,2017-02-03,1602.0,1604.0,1595.0,1598.0,1239000,0
6,2017-02-06,1595.05005,1610.0,1595.0,1608.0,2212000,0
7,2017-02-07,1608.0,1609.0,1598.0,1600.0,3409000,0
8,2017-02-08,1598.0,1610.0,1592.0,1610.0,859000,0
9,2017-02-09,1625.0,1625.0,1597.0,1599.0,2179000,0
10,2017-02-10,1600.0,1600.0,1590.0,1592.0,2026000,0
11,2017-02-13,1595.0,1600.0,1593.0,1595.0,1313000,0
12,2017-02-14,1599.0,1599.0,1586.0,1588.0,1156000,0
13,2017-02-15,1588.0,1588.0,1577.0,1578.0,540000,0
14,2017-02-16,1578.0,1578.0,1570.0,1576.94995,826000,0
15,2017-02-17,1585.0,1610.0,1585.0,1600.0,717000,0
16,2017-02-20,1610.0,1620.0,1610.0,1610.0,472000,0
17,2017-02-21,1610.0,1615.0,1598.0,1598.0,4034000,0
18,2017-02-22,1602.0,1602.0,1592.5,1600.0,853000,0
19,2017-02-23,1610.0,1610.0,1580.0,1580.0,1054000,0
20,2017-02-24,1585.0,1594.0,1581.0,1590.0,808000,0
21,2017-03-01,1581.0,1585.0,1570.0,1585.0,234000,0
22,2017-03-02,1584.0,1665.0,1570.0,1570.0,513000,0
23,2017-03-03,1580.0,1585.0,1578.0,1581.0,1243000,0
24,2017-03-06,1580.0,1583.0,1578.0,1583.0,549000,0
25,2017-03-07,1595.0,1595.0,1588.0,1588.0,880000,0
26,2017-03-08,1585.0,1589.0,1580.0,1587.0,1334000,0
27,2017-03-09,1588.0,1588.0,1572.0,1576.0,710000,0
28,2017-03-10,1570.0,1580.0,1570.0,1574.5,1794000,0
29,2017-03-13,1576.0,1578.0,1567.0,1570.0,895000,0
30,2017-03-14,1580.0,1580.0,1565.0,1571.0,888000,0
31,2017-03-15,1580.0,1590.0,1578.0,1585.0,650000,0
32,2017-03-16,1586.0,1589.99,1583.0,1583.0,2249000,0
33,2017-03-17,1592.0,1596.0,1590.0,1594.0,1642000,0
34,2017-03-20,1610.0,1614.0,1602.0,1607.0,7662000,0
35,2017-03-21,1612.0,1612.0,1603.0,1605.0,3577000,0
36,2017-03-22,1605.0,1610.0,1595.0,1606.0,2301000,0
37,2017-03-23,1610.0,1610.0,1600.0,1605.0,635000,0
38,2017-03-27,1610.0,1613.0,1602.0,1604.0,2827000,0
39,2017-03-28,1605.0,1607.0,1600.0,1602.0,3262000,0
40,2017-03-29,1603.0,1603.0,1600.0,1602.0,599000,0
41,2017-03-30,1600.0,1605.0,1592.0,1596.0,983000,0
42,2017-03-31,1597.0,1608.0,1594.0,1608.0,1173000,0
43,2017-04-03,1608.0,1612.0,1595.0,1608.0,1793000,0
44,2017-04-04,1608.0,1615.0,1601.0,1602.0,833000,0
45,2017-04-05,1607.0,1615.0,1605.0,1614.0,2719000,0
46,2017-04-06,1613.0,1617.0,1605.0,1613.0,1564000,0
47,2017-04-07,1618.0,1618.0,1602.0,1607.0,1993000,0
48,2017-04-10,1615.0,1615.0,1585.0,1609.0,2791000,0
49,2017-04-11,1609.0,1630.0,1607.0,1620.0,383000,0
50,2017-04-12,1625.0,1649.0,1620.0,1640.0,58000,0
51,2017-04-18,1599.0,1615.0,1598.0,1607.0,1733000,0
52,2017-04-19,1620.0,1625.0,1615.0,1625.0,1185000,0
53,2017-04-20,1640.0,1640.0,1620.0,1626.0,2676000,0
54,2017-04-21,1633.0,1640.0,1626.0,1639.0,774000,0
55,2017-04-24,1639.0,1640.0,1625.0,1631.0,1814000,0
56,2017-04-25,1631.0,1633.0,1629.0,1631.0,1168000,0
57,2017-04-26,1632.0,1640.0,1631.5,1633.99902,4255000,0
58,2017-04-27,1633.75,1645.0,1628.0,1634.0,1171000,0
59,2017-04-28,1655.0,1655.0,1632.0,1640.0,2848000,0
60,2017-05-02,1645.0,1645.0,1628.0,1630.0,394000,0
61,2017-05-03,1632.0,1634.0,1621.0,1629.0,4408000,0
62,2017-05-04,1635.0,1635.0,1625.0,1630.0,1219000,0
63,2017-05-05,1620.0,1633.0,1620.0,1633.0,2712000,0
64,2017-05-08,1630.0,1633.9,1622.0,1633.0,1888000,0
65,2017-05-09,1642.0,1653.95,1635.0,1640.0,488000,0
66,2017-05-10,1642.0,1653.0,1642.0,1653.0,971000,0
67,2017-05-11,1652.0,1652.0,1635.0,1635.0,2145000,0
68,2017-05-12,1645.0,1651.0,1640.0,1645.0999800000002,1359000,0
69,2017-05-15,1645.0,1670.0,1644.0,1660.0,1020000,0
70,2017-05-16,1680.0,1680.0,1665.0,1665.0,1621000,0
71,2017-05-17,1670.0,1670.0,1660.0,1660.0,1341000,0
72,2017-05-18,1675.0,1700.0,1675.0,1700.0,1380000,0
73,2017-05-19,1715.0,1715.0,1683.25,1705.0,475000,0
74,2017-05-22,1710.0,1720.0,1695.0,1715.0,1219000,0
75,2017-05-23,1715.0,1717.0,1700.0,1708.0,497000,0
76,2017-05-24,1708.0,1720.0,1705.0,1710.0,1236000,0
77,2017-05-26,1715.0,1715.0,1702.0,1705.0,341000,0
78,2017-05-29,1730.0,1730.0,1704.1,1715.0,489000,0
79,2017-05-30,1715.0,1719.0,1710.0,1719.0,1275000,0
80,2017-05-31,1721.0,1725.0,1718.0,1725.0,1243000,0
81,2017-06-01,1715.0,1728.0,1715.0,1722.0,733000,0
82,2017-06-02,1723.0,1732.0,1714.0,1714.0,999000,0
83,2017-06-05,1725.0,1725.0,1715.0,1715.0,229000,0
84,2017-06-06,1720.0,1727.0,1720.0,1725.0,353000,0
85,2017-06-07,1725.0,1725.0,1715.0,1715.0,612000,0
86,2017-06-08,1715.0,1718.0,1708.0,1712.0,467000,0
87,2017-06-09,1712.0,1712.0,1702.0,1705.0,219000,0
88,2017-06-12,1707.0,1707.0,1697.0,1703.0,2715000,0
89,2017-06-13,1710.0,1710.0,1690.0,1699.0,952000,0
90,2017-06-14,1690.0999800000002,1710.0,1690.1,1704.0,1092000,0
91,2017-06-15,1709.0,1715.0,1700.0,1715.0,1559000,0
92,2017-06-16,1715.0,1720.0,1705.0,1713.0,1975000,0
93,2017-06-19,1713.0,1720.0,1707.0,1719.80005,3427000,0
94,2017-06-21,1764.0,1764.0,1712.0,1719.5,2187000,0
95,2017-06-22,1720.0,1726.0,1719.5,1723.9000199999998,2190000,0
96,2017-06-23,1724.0,1730.0,1720.0,1726.0,3293000,0
97,2017-06-26,1730.0,1738.0,1728.0,1735.0,1252000,0
98,2017-06-27,1740.0,1750.0,1739.0,1739.0,820000,0
99,2017-06-28,1735.0,1745.0,1733.0,1740.0,435000,0
100,2017-06-29,1750.0,1756.0,1740.0,1743.0,2554000,0
101,2017-06-30,1743.0,1770.0,1743.0,1770.0,1281000,0
102,2017-07-03,1770.0,1780.0,1755.0,1779.0,750000,0
103,2017-07-04,1780.0,1793.0,1775.0,1793.0,475000,0
104,2017-07-05,1790.0,1804.0,1790.0,1800.0,672000,0
105,2017-07-06,1805.0,1810.0,1785.0,1792.0,513000,0
106,2017-07-07,1793.0,1793.0,1775.0,1776.0,3368000,0
107,2017-07-10,1780.0,1791.0,1780.0,1788.0,850000,0
108,2017-07-11,1790.0,1790.0,1783.0,1786.0,679000,0
109,2017-07-12,1787.0,1795.0,1785.0,1786.9899899999998,839000,0
110,2017-07-13,1788.0,1789.0,1785.0,1789.0,522000,0
111,2017-07-14,1789.0,1790.0,1780.0,1790.0,587000,0
112,2017-07-17,1790.0,1798.0,1780.0,1796.0,329000,0
113,2017-07-18,1800.0,1810.0,1800.0,1806.0,1353000,0
114,2017-07-19,1815.0,1829.0,1806.0,1806.0,1457000,0
115,2017-07-20,1810.0,1820.0,1805.0,1819.0,1022000,0
116,2017-07-21,1767.0,1802.0,1767.0,1802.0,525000,0
117,2017-07-24,1802.0,1810.0,1791.0,1795.0,1204000,0
118,2017-07-25,1788.0,1788.0,1782.0,1785.0,923000,0
119,2017-07-26,1790.0,1820.0,1790.0,1820.0,472000,0
120,2017-07-27,1820.0,1820.0,1805.0,1815.0,739000,0
121,2017-07-28,1828.0,1845.0,1820.0,1840.0,360000,0
122,2017-07-31,1839.0,1839.0,1818.0,1821.0,912000,0
123,2017-08-01,1818.0,1821.0,1810.0,1815.0,868000,0
124,2017-08-02,1825.0,1825.0,1801.0,1801.0,1931000,0
125,2017-08-03,1815.0,1825.0,1810.0,1822.0,622000,0
126,2017-08-04,1820.0,1825.0,1819.0,1825.0,492000,0
127,2017-08-07,1825.0,1826.0,1820.0,1821.0,615000,0
128,2017-08-08,1825.0,1833.0,1825.0,1833.0,1984000,0
129,2017-08-09,1834.0,1844.0,1827.0,1828.0,902000,0
130,2017-08-10,1830.0,1830.0,1822.0,1826.0,894000,0
131,2017-08-11,1826.0,1860.0,1826.0,1860.0,1596000,0
132,2017-08-14,1817.0,1817.0,1775.0,1798.0,868000,0
133,2017-08-15,1790.0,1790.0,1775.0,1787.0,1345000,0
134,2017-08-16,1793.0,1809.0,1788.0,1809.0,1454000,0
135,2017-08-17,1815.0,1830.0,1801.0,1830.0,1097000,0
136,2017-08-18,1810.0,1820.0,1810.0,1818.0,841000,0
137,2017-08-22,1800.0,1810.0,1800.0,1806.0,1024000,0
138,2017-08-23,1810.0,1810.0,1801.0,1806.0,533000,0
139,2017-08-24,1801.0,1806.0,1800.0,1805.0,146000,0
140,2017-08-25,1800.0,1813.25,1800.0,1812.0,410000,0
141,2017-08-28,1815.0,1815.0,1802.0,1802.0,1528000,0
142,2017-08-29,1815.0,1825.0,1813.0,1821.5,3567000,0
143,2017-08-30,1839.0,1845.0,1835.0,1840.0,201000,0
144,2017-08-31,1810.0,1835.0,1810.0,1825.0,492000,0
145,2017-09-01,1825.0,1835.0,1817.0,1825.0,130000,0
146,2017-09-04,1815.0,1825.0,1811.0,1820.0,333000,0
147,2017-09-05,1818.0,1825.0,1815.0,1820.0,797000,0
148,2017-09-06,1825.0,1825.0,1804.0,1810.0,264000,0
149,2017-09-07,1812.0,1820.0,1811.0,1813.0,682000,0
150,2017-09-08,1815.0,1830.0,1810.0,1823.5,1401000,0
151,2017-09-11,1815.0,1819.0,1809.0,1815.0,727000,0
152,2017-09-12,1808.0,1808.0,1795.0,1796.0,479000,0
153,2017-09-13,1800.0,1815.0,1800.0,1810.0,808000,0
154,2017-09-14,1809.0,1809.0,1800.0,1800.0,545000,0
155,2017-09-15,1800.0,1802.0,1792.0,1800.0,1108000,0
156,2017-09-18,1780.0,1820.0,1780.0,1820.0,1458000,0
157,2017-09-19,1825.0,1834.0,1815.0,1825.0,299000,0
158,2017-09-20,1825.0,1830.0,1820.0,1820.0,447000,0
159,2017-09-21,1825.0,1835.0,1825.0,1830.0,488000,0
160,2017-09-22,1835.0,1845.0,1831.0,1838.0999800000002,394000,0
161,2017-09-25,1845.0,1850.0,1840.0,1842.0,639000,0
162,2017-09-26,1826.0,1865.0,1826.0,1860.0,662000,0
163,2017-09-27,1861.0,1861.0,1845.0,1857.0,392000,0
164,2017-09-28,1859.0,1865.0,1850.0,1852.0,26000,0
165,2017-09-29,1840.0,1850.0,1840.0,1840.0,461000,0
166,2017-10-02,1833.0,1847.0,1833.0,1845.0,410000,0
167,2017-10-03,1854.0,1854.0,1845.0,1852.0,470000,0
168,2017-10-04,1855.0,1855.0,1843.0,1847.0,302000,0
169,2017-10-05,1855.0,1855.0,1845.0,1853.0,208000,0
170,2017-10-06,1855.0,1870.0,1855.0,1863.0,608000,0
171,2017-10-09,1860.0,1869.0,1860.0,1865.0,72000,0
172,2017-10-10,1855.0,1862.0,1853.0,1857.0,379000,0
173,2017-10-11,1860.0,1868.0,1855.0,1857.0,240000,0
174,2017-10-12,1869.0,1870.0,1863.0,1864.5,792000,0
175,2017-10-13,1875.0,1877.0,1862.0,1871.0,413000,0
176,2017-10-17,1872.0,1877.0,1867.0,1875.0,492000,0
177,2017-10-18,1875.0,1875.0,1860.0,1861.0,199000,0
178,2017-10-19,1870.0,1876.0,1860.0,1876.0,1157000,0
179,2017-10-20,1900.0,1900.0,1860.0,1870.0,653000,0
180,2017-10-23,1850.0,1870.0,1850.0,1862.0,753000,0
181,2017-10-24,1870.0,1888.0,1861.0,1875.0,449000,0
182,2017-10-25,1874.0,1874.0,1860.0,1872.99805,174000,0
183,2017-10-26,1875.0,1882.0,1867.0,1876.0,893000,0
184,2017-10-27,1876.0,1882.0,1870.0,1882.0,111000,0
185,2017-10-30,1878.0,1890.0,1878.0,1879.0,105000,0
186,2017-10-31,1900.0,1900.0,1885.0,1895.0,219000,0
187,2017-11-01,1871.0,1893.0,1870.0,1885.0,187000,0
188,2017-11-02,1880.0,1884.0,1872.0,1875.0,438000,0
189,2017-11-03,1875.0,1890.0,1870.0,1880.0,771000,0
190,2017-11-07,1880.0,1883.0,1868.0,1875.0,659000,0
191,2017-11-08,1876.0,1876.0,1855.0,1860.0,1019000,0
192,2017-11-09,1855.0,1862.0,1830.0,1858.0,3058000,0
193,2017-11-10,1858.0,1858.0,1849.0,1854.0,137000,0
