,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-04-18,102.0,102.0,102.0,102.0,7000,0
1,2017-04-19,102.5,102.5,102.0,102.2,3949717,0
2,2017-04-20,102.5,102.5,101.8,102.0,7535137,0
3,2017-04-21,103.0,103.0,102.2,102.2,5682232,0
4,2017-04-24,103.0,103.0,102.4,102.95,3688192,0
5,2017-04-25,103.15,103.5,102.8,103.5,3806109,0
6,2017-04-26,103.5,104.0,103.4,103.55,4313073,0
7,2017-04-27,104.0,104.0,103.35,103.6,2658230,0
8,2017-04-28,104.25,104.8,103.6,104.4,1999156,0
9,2017-05-02,105.0,105.4,104.75,105.4,3080486,0
10,2017-05-03,106.0,106.0,105.2,105.4,1982328,0
11,2017-05-04,105.25,105.25,104.9,104.95,988150,0
12,2017-05-05,104.8,105.1,104.6,104.7,1796827,0
13,2017-05-08,105.0,105.0,104.0,104.497,663552,0
14,2017-05-09,104.9,104.9,103.8,103.8,2071471,0
15,2017-05-10,104.1,104.2,104.0,104.0,11185975,0
16,2017-05-11,103.7,103.7,103.3,103.3,2255902,0
17,2017-05-12,104.0,104.0,103.69,103.7,3377968,0
18,2017-05-15,104.25,104.25,103.5,103.7,2649228,0
19,2017-05-16,105.0,105.0,103.8,103.9,3426430,0
20,2017-05-17,103.5,103.8,103.5,103.65,2573971,0
21,2017-05-18,103.4,103.4,102.5,102.5,1911299,0
22,2017-05-19,103.0,103.4,102.9,103.4,1053420,0
23,2017-05-22,103.4,103.4,103.05,103.2,1999552,0
24,2017-05-23,103.25,103.4,103.25,103.35,953633,0
25,2017-05-24,104.0,104.0,103.55,103.8,874917,0
26,2017-05-26,103.8,104.3,103.75,104.3,1359114,0
27,2017-05-29,104.5,104.5,104.4,104.4,628064,0
28,2017-05-30,104.3,104.3,104.0,104.12,1823879,0
29,2017-05-31,104.4,104.65,104.0,104.5,688363,0
30,2017-06-01,104.75,104.76,104.5,104.6,1301625,0
31,2017-06-02,106.0,106.0,104.8,105.6,713418,0
32,2017-06-05,105.6,105.6,105.3,105.5,536697,0
33,2017-06-06,105.75,105.75,105.6,105.7,450834,0
34,2017-06-07,105.7,107.0,105.7,106.0,537559,0
35,2017-06-08,106.0,106.0,105.5,105.8,585986,0
36,2017-06-09,106.0,106.0,105.95,105.95,737308,0
37,2017-06-12,106.0,106.0,105.25,105.75,683171,0
38,2017-06-13,106.0,106.3,105.75,106.0,914131,0
39,2017-06-14,106.0,106.6,105.6,105.6,1533440,0
40,2017-06-15,105.75,105.75,105.5,105.649,1039658,0
41,2017-06-16,105.7,105.89,105.65,105.65,701269,0
42,2017-06-19,105.6,105.6,105.2,105.2,937708,0
43,2017-06-21,105.25,105.25,105.0,105.0,291696,0
44,2017-06-22,106.0,106.0,104.85,104.9,821050,0
45,2017-06-23,105.0,105.3,105.0,105.1,538758,0
46,2017-06-26,106.0,106.0,104.8,105.0,844546,0
47,2017-06-27,105.0,105.25,104.7,104.8,611243,0
48,2017-06-28,104.75,104.75,104.0,104.75,117987,0
49,2017-06-29,104.25,104.25,103.0,103.25,323579,0
50,2017-06-30,103.1,103.5,103.1,103.5,167361,0
51,2017-07-03,103.5,103.5,102.85,103.0,743421,0
52,2017-07-04,103.5,103.5,103.1,103.5,203623,0
53,2017-07-05,103.5,103.5,102.85,102.9,648675,0
54,2017-07-06,102.4,102.5,101.7,102.5,456875,0
55,2017-07-07,102.5,103.0,102.0,102.75,264594,0
56,2017-07-10,102.5,103.5,102.5,102.75,627651,0
57,2017-07-11,102.75,103.0,102.5,102.65,920548,0
58,2017-07-12,102.75,103.0,102.75,102.9,307306,0
59,2017-07-13,103.15,103.15,102.7,103.1,301834,0
60,2017-07-14,102.55,103.5,102.55,103.0,419880,0
61,2017-07-17,103.0,103.5,103.0,103.1,484512,0
62,2017-07-18,103.0,103.05,102.9,103.05,132021,0
63,2017-07-19,103.5,103.5,102.6,102.9,270734,0
64,2017-07-20,103.25,103.25,102.7,102.9,195365,0
65,2017-07-21,103.0,103.0,102.4,102.4,861731,0
66,2017-07-24,102.75,102.75,102.6,102.698,134208,0
67,2017-07-25,103.0,103.0,102.3,102.3,832630,0
68,2017-07-26,102.75,102.75,102.3,102.75,278231,0
69,2017-07-27,102.6,102.9,102.6,102.8,567785,0
70,2017-07-28,102.7,103.0,102.1,102.1,138459,0
71,2017-07-31,104.9,104.9,102.9,102.9,58480,0
72,2017-08-01,103.25,103.25,102.5,102.5,513215,0
73,2017-08-02,102.9,102.9,102.6,102.85,503994,0
74,2017-08-03,102.7,102.85,102.6,102.65,337542,0
75,2017-08-04,103.0,103.0,102.5,102.5,149666,0
