,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-04-19,1576.0,1577.0,1572.0,1575.0,5996861,0
1,2017-04-20,1578.0,1586.0,1575.0,1586.0,826212,0
2,2017-04-21,1582.0,1605.0,1582.0,1590.0,2361992,0
3,2017-04-24,1650.0,1650.0,1592.0,1600.0,424581,0
4,2017-04-25,1605.0,1620.0,1603.0,1614.0,2277839,0
5,2017-04-26,1615.0,1630.0,1615.0,1625.0,1782358,0
6,2017-04-28,1620.0,1621.0,1608.0,1617.0,1060128,0
7,2017-05-02,1622.0,1622.0,1609.0,1611.0,355873,0
8,2017-05-03,1630.0,1630.0,1608.99,1614.0,2177084,0
9,2017-05-04,1620.0,1625.0,1602.0,1612.0,1791536,0
10,2017-05-05,1615.0,1615.0,1608.05,1612.5,3398283,0
11,2017-05-08,1630.0,1630.0,1612.0,1621.0,1103724,0
12,2017-05-09,1623.0,1627.0,1619.0,1620.0,2481730,0
13,2017-05-10,1630.0,1635.0,1625.0,1628.0,1462871,0
14,2017-05-11,1620.0,1620.0,1598.0,1598.0,5316126,0
15,2017-05-12,1605.0,1607.0,1602.0,1607.0,3614896,0
16,2017-05-15,1615.0,1617.0,1613.0,1615.0,4503676,0
17,2017-05-16,1630.0,1630.0,1620.0,1620.0,2728050,0
18,2017-05-17,1630.0,1630.0,1620.0,1623.0,4679648,0
19,2017-05-18,1628.0,1655.0,1620.0,1646.0,7720659,0
20,2017-05-19,1650.0,1656.0,1635.0,1655.0,3719339,0
21,2017-05-22,1660.0,1695.0,1655.0,1674.0,1686934,0
22,2017-05-23,1674.0,1674.0,1661.0,1671.0,2394962,0
23,2017-05-24,1680.0,1683.0,1674.5,1674.5,4479430,0
24,2017-05-26,1674.5999800000002,1675.0,1665.0,1671.0,4569461,0
25,2017-05-29,1675.0,1675.0,1663.0,1671.0,1202243,0
26,2017-05-30,1671.0,1680.0,1671.0,1678.75,3377970,0
27,2017-05-31,1687.0,1687.0,1677.0,1678.0,4275614,0
28,2017-06-01,1700.0,1700.0,1670.0,1672.0,3565814,0
29,2017-06-02,1677.0,1690.0,1675.0,1689.0,3374461,0
30,2017-06-05,1750.0,1750.0,1685.5,1686.75,4563395,0
31,2017-06-06,1700.0,1700.0,1690.0,1700.0,3938046,0
32,2017-06-07,1712.0,1713.0,1700.0,1701.5,4921751,0
33,2017-06-08,1700.0,1704.0,1697.0,1700.9899899999998,3226025,0
34,2017-06-09,1699.0,1705.0,1693.0,1695.0,2434487,0
35,2017-06-12,1695.0,1697.0,1690.0,1692.0,2917879,0
36,2017-06-13,1694.0,1701.0,1691.0,1701.0,1779218,0
37,2017-06-14,1709.0,1715.0,1705.0,1710.0,6788958,0
38,2017-06-15,1730.0,1730.0,1710.0,1714.0,4046974,0
39,2017-06-16,1723.0,1725.0,1714.0,1722.0,3237660,0
40,2017-06-19,1710.0,1720.0,1703.75,1716.0,10218671,0
41,2017-06-21,1722.0,1750.0,1700.0,1705.0,669364,0
42,2017-06-22,1710.0,1715.0,1703.5,1710.0,6579560,0
43,2017-06-23,1750.0,1750.0,1709.0,1716.0100100000002,2508880,0
44,2017-06-26,1729.9000199999998,1735.0,1728.0,1733.0,6372475,0
45,2017-06-27,1740.0,1744.5,1730.0,1731.0,2750151,0
46,2017-06-28,1731.0,1735.0,1719.0,1732.0,2169695,0
47,2017-06-29,1733.0,1736.0,1717.05,1720.0,2229739,0
48,2017-06-30,1735.0,1739.0,1721.0,1730.0,2007094,0
49,2017-07-03,1734.0,1743.0,1730.0,1742.0,4421795,0
50,2017-07-04,1750.0,1760.0,1745.0,1758.0,2271730,0
51,2017-07-05,1760.0,1770.0,1759.0,1759.0,3893789,0
52,2017-07-06,1765.0,1768.0,1737.5,1743.0,3021036,0
53,2017-07-07,1760.0,1770.0,1730.0,1755.0,1121653,0
54,2017-07-10,1773.0,1773.0,1750.0,1760.0,1209524,0
55,2017-07-11,1760.0,1770.0,1760.0,1760.0,1696887,0
56,2017-07-12,1775.0,1780.3,1770.0,1771.0,1834930,0
57,2017-07-13,1774.0,1774.0,1763.0,1772.0,1825562,0
58,2017-07-14,1776.5,1782.0,1766.0,1773.5,3049259,0
59,2017-07-17,1773.5,1795.0,1773.5,1782.0,704947,0
60,2017-07-18,1782.0,1797.0,1782.0,1794.0,2658709,0
61,2017-07-19,1809.0,1810.0,1791.0,1793.0,3787810,0
62,2017-07-20,1795.0,1810.0,1790.0,1796.5,3896287,0
63,2017-07-21,1796.5,1825.0,1796.5,1824.0,2327696,0
64,2017-07-24,1840.0,1840.0,1818.0,1824.0,1578160,0
65,2017-07-25,1825.0,1825.0,1804.95,1805.0,1764333,0
66,2017-07-26,1814.0,1815.0,1809.0,1814.0,2526428,0
67,2017-07-27,1818.0,1840.0,1816.0,1838.0,1998791,0
68,2017-07-28,1850.0,1865.0,1843.5,1860.0,822196,0
69,2017-07-31,1850.0,1850.0,1831.33,1843.0,1363304,0
70,2017-08-01,1843.0,1843.0,1828.0,1832.0,1506635,0
71,2017-08-02,1835.0,1835.0,1824.0,1835.0,2703795,0
72,2017-08-03,1835.0,1855.0,1835.0,1842.05005,1058883,0
73,2017-08-04,1843.0,1843.0,1835.0,1840.0,958926,0
74,2017-08-07,1843.0,1846.0,1842.0,1846.0,1540550,0
75,2017-08-08,1852.0,1855.0,1852.0,1854.5,627122,0
76,2017-08-09,1865.0,1865.0,1850.0,1859.0,916356,0
