,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2015-10-08,1350.0,1360.0,1340.0,1360.0,305749,0
1,2015-10-09,1375.0,1375.0,1369.0,1372.0,2828044,0
2,2015-10-12,1375.0,1375.0,1369.0,1372.0,2828044,0
3,2015-10-13,1380.0,1385.0,1360.0,1365.0,3131490,0
4,2015-10-14,1380.0,1380.0,1350.0,1368.0,1821974,0
5,2015-10-15,1390.0,1390.0,1379.0,1383.0,727624,0
6,2015-10-16,1387.0,1400.0,1385.0,1394.0,1324650,0
7,2015-10-19,1400.0,1405.0,1397.0,1400.0,911077,0
8,2015-10-20,1410.0,1410.0,1395.0,1395.0,2360057,0
9,2015-10-21,1405.0,1417.0,1400.0,1417.0,849329,0
10,2015-10-22,1450.0,1450.0,1417.0,1437.0,1104308,0
11,2015-10-23,1450.0,1455.0,1445.0,1455.0,749823,0
12,2015-10-26,1500.0,1580.0,1450.0,1455.0,187236,0
13,2015-10-27,1490.0,1490.0,1410.0,1420.0,1466820,0
14,2015-10-28,1430.0,1430.0,1395.0,1405.0,918341,0
15,2015-10-29,1420.0,1420.0,1395.0,1400.0,361450,0
16,2015-10-30,1410.0,1420.0,1400.0,1405.0,496845,0
17,2015-11-02,1420.0,1430.0,1410.0,1415.0,184169,0
18,2015-11-03,1415.0,1420.0,1408.0,1416.0,1875943,0
19,2015-11-04,1425.0,1428.0,1420.0,1425.0,225788,0
20,2015-11-05,1435.0,1435.0,1420.0,1425.0,150949,0
21,2015-11-09,1462.0,1462.0,1430.0,1458.0,538765,0
22,2015-11-10,1458.0,1458.0,1445.0,1450.0,136156,0
23,2015-11-11,1480.0,1481.0,1446.0,1472.0,746530,0
24,2015-11-12,1475.0,1480.0,1460.0,1470.0,486142,0
25,2015-11-13,1475.0,1475.0,1470.0,1472.0,1111622,0
26,2015-11-16,1480.0,1520.0,1480.0,1520.0,987754,0
27,2015-11-17,1540.0,1540.0,1525.0,1530.0,207906,0
28,2015-11-18,1540.0,1540.0,1500.0,1518.0,150016,0
29,2015-11-19,1518.0,1518.0,1500.0,1518.0,589822,0
30,2015-11-20,1540.0,1600.0,1500.0,1518.0,231095,0
31,2015-11-23,1500.0,1530.0,1469.0,1470.0,424803,0
32,2015-11-24,1490.0,1490.0,1450.0,1460.0,413091,0
33,2015-11-25,1430.0,1475.0,1430.0,1469.0,350347,0
34,2015-11-26,1475.0,1475.0,1430.0,1475.0,99890,0
35,2015-11-30,1495.0,1495.0,1465.0,1470.0,83447,0
36,2015-12-01,1475.0,1475.0,1468.5,1470.0,494641,0
37,2015-12-02,1485.0,1485.0,1445.0,1445.0,1596718,0
38,2015-12-03,1470.0,1473.0,1455.0,1470.5,4174448,0
39,2015-12-09,1520.0,1565.0,1487.0,1515.0,1244083,0
40,2015-12-10,1550.0,1559.0,1525.0,1525.0,896656,0
41,2015-12-11,1550.0,1550.0,1525.0,1535.0,532048,0
42,2015-12-14,1535.0,1535.0,1500.0,1510.0,131111,0
43,2015-12-15,1510.0,1510.0,1460.0,1470.0,472434,0
44,2015-12-16,1470.0,1470.0,1440.0,1449.0,451711,0
45,2015-12-17,1450.0,1450.0,1410.0,1437.0,234709,0
46,2015-12-18,1440.0,1440.0,1376.0,1400.0,336834,0
47,2015-12-21,1400.0,1400.0,1380.0,1395.0,164357,0
48,2015-12-22,1400.0,1450.0,1390.0,1430.0,244036,0
49,2015-12-23,1445.0,1486.0,1445.0,1486.0,326419,0
50,2015-12-28,1460.0,1490.0,1460.0,1465.0,445190,0
51,2015-12-29,1500.0,1500.0,1452.0,1452.0,286430,0
52,2015-12-30,1470.0,1470.0,1449.5,1465.0,539623,0
53,2016-01-04,1455.0,1465.0,1421.0,1430.0,288441,0
54,2016-01-05,1425.0,1460.0,1425.0,1460.0,228764,0
55,2016-01-06,1470.0,1490.0,1470.0,1475.0,65988,0
56,2016-01-07,1500.0,1510.0,1485.0,1510.0,678030,0
