,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2014-05-13,861.0,880.0,861.0,880.0,2756877,0
1,2014-05-14,883.0,915.0,882.0,907.0,23301196,0
2,2014-05-15,910.0499900000001,927.45,899.5,922.0,22532616,0
3,2014-05-16,925.0,935.0,923.0,934.4000199999999,32249204,0
4,2014-05-19,937.0,974.0,936.0,970.0,18602860,0
5,2014-05-20,985.0,988.0,970.0,980.0,21340664,0
6,2014-05-21,981.0,984.0,960.0,978.0,18218768,0
7,2014-05-22,977.0,978.0,969.0,970.0,14958550,0
8,2014-05-23,970.0,973.0,960.0,973.0,5303922,0
9,2014-05-26,980.0,985.0,977.5,984.0,11062987,0
10,2014-05-27,985.0,998.0,980.0,992.0,19270844,0
11,2014-05-28,992.0,1001.5,992.0,1001.5,14363482,0
12,2014-05-29,1009.0,1010.0,975.0,989.0,10403015,0
13,2014-05-30,989.0,989.0,955.0,957.0,11195420,0
14,2014-06-02,957.0,962.0,945.0,962.0,8882167,0
15,2014-06-03,962.0,971.0,946.0,946.5,10230168,0
16,2014-06-04,947.0,950.0,941.0,946.5,12087889,0
17,2014-06-05,946.5,960.0,946.5,956.0,9980996,0
18,2014-06-06,960.0,975.0,959.0,972.0,18077344,0
19,2014-06-09,975.0,996.0,975.0,996.0,15014708,0
20,2014-06-10,1010.0,1012.0,999.0,1004.0,13260743,0
21,2014-06-11,1004.0,1005.0,992.0,996.5,12582434,0
22,2014-06-12,997.0,1000.0,985.0,995.0,10692955,0
23,2014-06-13,995.0,996.0,984.0,985.9000199999999,10432094,0
24,2014-06-16,969.0,969.0,910.0,922.0,11544153,0
25,2014-06-17,920.0,945.0,900.0,933.0499900000001,17512560,0
26,2014-06-18,931.0,960.0,915.0,960.0,9195536,0
27,2014-06-19,920.0,944.9989999999999,918.0,925.0,11649935,0
28,2014-06-23,985.0,985.0,953.0,953.0,16732288,0
29,2014-06-24,959.0,959.0,940.0,948.5,6917122,0
30,2014-06-25,949.0,958.0,949.0,951.0,7238177,0
31,2014-06-26,951.0,953.45,946.0,947.0,4590981,0
32,2014-06-27,947.0,950.0,936.0,944.0,7731162,0
33,2014-06-30,950.0,950.0,940.0,946.0,3908923,0
34,2014-07-01,950.0,970.0,950.0,961.0,4805480,0
35,2014-07-02,967.0,967.0,963.0,963.0,8712342,0
36,2014-07-03,967.0,967.0,961.0,961.0,3875017,0
37,2014-07-04,962.0,963.0,951.0,962.0,2731327,0
38,2014-07-07,960.0,960.0,952.0,958.0,6449917,0
39,2014-07-08,965.0,969.9,961.0,967.0,5486285,0
40,2014-07-10,985.0,985.0,970.0,977.7999900000001,7330061,0
41,2014-07-11,980.0,987.0,978.0,984.0999800000001,10909396,0
42,2014-07-14,985.0,985.0,975.0,983.0,3250830,0
43,2014-07-15,983.0,992.0,983.0,986.0,5519909,0
44,2014-07-16,986.0,987.5,974.0,985.0,8132788,0
45,2014-07-17,987.5,987.5,975.0,977.0,4709745,0
46,2014-07-18,984.0,990.0,976.1,976.0999800000001,10468719,0
47,2014-07-21,976.0999800000001,976.1,953.5,958.7000099999999,2150600,0
48,2014-07-22,959.0,959.0,937.0,939.9000199999999,4867709,0
49,2014-07-23,940.0,950.0,940.0,940.0,3877589,0
50,2014-07-24,950.0,954.0,945.0,949.0,2235539,0
51,2014-07-25,940.0,945.0,920.0,927.0,2136894,0
52,2014-07-28,925.0,927.0,906.0,925.0,5804639,0
53,2014-07-29,925.0,950.0,920.0,945.0,2132845,0
54,2014-07-30,985.0,1030.0,982.0,1028.0,9726639,0
55,2014-07-31,976.0,985.0,957.0,958.0,6938557,0
56,2014-08-01,958.0,970.0,942.0,957.0,3699999,0
57,2014-08-04,956.0,957.0,946.0,950.0,2936489,0
58,2014-08-05,950.0,950.0,938.0,941.5,6389018,0
59,2014-08-06,944.0,954.0,944.0,952.0,4884717,0
60,2014-08-07,955.0,955.0,949.5,954.0,3376648,0
