,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2016-10-27,101.25,101.25,101.25,101.25,188000,0
1,2016-10-31,101.5,101.5,101.5,101.5,69400,0
2,2016-11-02,102.5,102.5,102.5,102.5,37267,0
3,2016-11-07,102.5,102.5,102.5,102.5,34100,0
4,2016-11-09,102.0,102.0,102.0,102.0,5880,0
5,2016-11-16,100.75,100.75,100.75,100.75,33000,0
6,2016-11-22,102.0,102.0,102.0,102.0,103000,0
7,2016-12-12,102.25,102.25,102.25,102.25,120000,0
8,2016-12-16,102.5,102.5,102.5,102.5,11651,0
9,2016-12-21,103.0,103.0,103.0,103.0,14000,0
10,2016-12-26,103.0,103.0,103.0,103.0,3000,0
11,2016-12-28,103.0,103.0,103.0,103.0,30000,0
12,2017-01-04,105.0,105.0,105.0,105.0,10949,0
13,2017-01-05,105.0,105.0,105.0,105.0,9095,0
14,2017-01-10,104.0,104.0,104.0,104.0,16000,0
15,2017-01-12,104.0,104.0,103.5,103.5,100000,0
16,2017-01-16,105.75,105.75,105.75,105.75,5360,0
17,2017-01-17,105.0,105.0,105.0,105.0,10000,0
18,2017-01-20,104.76,104.76,104.75,104.75,17500,0
19,2017-01-27,102.4,102.4,102.4,102.4,5000,0
20,2017-01-30,102.5,102.5,102.5,102.5,23000,0
21,2017-02-01,102.3,102.3,102.25,102.25,9211,0
22,2017-02-02,102.75,102.75,102.75,102.75,5866,0
23,2017-02-03,103.25,103.75,103.25,103.75,7500,0
24,2017-02-06,103.5,103.5,103.25,103.25,54000,0
25,2017-02-09,103.75,104.2,103.75,104.2,37668,0
26,2017-02-10,104.25,104.25,104.25,104.25,13917,0
27,2017-02-14,104.299,104.29899999999999,104.29899999999999,104.299,5000,0
28,2017-02-16,104.3,104.3,104.3,104.3,8000,0
29,2017-02-17,103.5,103.5,103.5,103.5,3500,0
30,2017-02-21,103.5,103.5,103.0,103.0,80180,0
31,2017-02-23,104.45,104.45,103.0,103.0,9000,0
32,2017-02-24,103.0,103.0,102.17,102.17,40000,0
33,2017-03-03,102.13,102.13,101.51,101.51,42500,0
34,2017-03-06,103.0,103.0,102.999,103.0,78000,0
35,2017-03-07,101.0,101.0,101.0,101.0,25000,0
36,2017-03-09,101.1,102.0,101.0,102.0,67103,0
