,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-06-08,280.0,280.0,280.0,280.0,19658,0
1,2005-06-09,281.0,281.0,280.0,280.0,26011,0
2,2005-06-10,260.0,260.0,260.0,260.0,4166,0
3,2005-06-13,270.0,270.0,268.0,268.0,49000,0
4,2005-06-15,266.0,266.0,265.0,265.0,16239,0
5,2005-06-16,265.0,265.0,265.0,265.0,117412,0
6,2005-06-17,265.0,265.0,265.0,265.0,19111,0
7,2005-06-21,265.0,265.0,262.0,265.0,32136,0
8,2005-06-22,265.0,270.0,264.5,268.5,1035824,0
9,2005-06-23,267.0,268.0,267.0,268.0,9254,0
10,2005-06-24,268.0,268.0,268.0,268.0,89200,0
11,2005-06-27,260.0,260.0,260.0,260.0,19087,0
12,2005-06-28,268.0,268.0,267.0,267.0,8900,0
13,2005-06-29,266.0,267.0,266.0,267.0,155194,0
14,2005-06-30,267.5,270.0,267.5,270.0,168011,0
15,2005-07-01,270.0,270.0,270.0,270.0,14987,0
16,2005-07-04,270.0,270.0,270.0,270.0,958,0
17,2005-07-05,270.5,270.5,270.5,270.5,56940,0
18,2005-07-06,271.25,271.25,271.0,271.0,19366,0
19,2005-07-07,271.0,273.0,271.0,273.0,30234,0
20,2005-07-08,279.0,280.05,279.0,280.04999,149508,0
21,2005-07-11,281.0,281.0,281.0,281.0,46065,0
22,2005-07-12,286.0,286.0,286.0,286.0,149940,0
23,2005-07-13,286.0,286.0,284.0,285.0,343471,0
24,2005-07-14,284.0,284.0,284.0,284.0,20400,0
25,2005-07-18,284.0,284.0,280.0,280.0,148024,0
26,2005-07-19,275.0,275.0,275.0,275.0,21340,0
27,2005-07-20,274.0,274.0,273.0,274.0,70346,0
28,2005-07-21,270.0,275.0,270.0,274.0,116226,0
29,2005-07-22,276.0,276.5,276.0,276.5,123259,0
30,2005-07-25,276.5,280.0,276.5,280.0,20009,0
31,2005-07-26,280.0,280.0,278.0,278.5,76809,0
32,2005-07-27,278.5,278.5,275.25,275.25,29006,0
33,2005-07-28,277.0,279.5,277.0,278.5,153314,0
34,2005-07-29,278.5,279.25,278.5,279.25,62676,0
35,2005-08-01,279.25,280.0,279.25,279.25,200493,0
36,2005-08-02,279.25,279.25,278.5,279.0,75154,0
37,2005-08-03,279.0,281.0,279.0,280.39999,794353,0
38,2005-08-04,281.0,285.0,281.0,285.0,109033,0
39,2005-08-05,285.0,285.0,285.0,285.0,18000,0
40,2005-08-08,283.0,283.25,283.0,283.25,92800,0
41,2005-08-09,281.5,283.0,281.5,282.10001,70543,0
42,2005-08-10,282.0,282.0,282.0,282.0,53190,0
43,2005-08-11,283.0,283.0,283.0,283.0,16210,0
44,2005-08-12,282.0,282.0,282.0,282.0,70000,0
45,2005-08-16,282.0,282.0,282.0,282.0,8512,0
46,2005-08-18,282.0,282.0,280.0,280.0,14651,0
47,2005-08-19,279.0,279.0,279.0,279.0,37342,0
48,2005-08-23,279.0,280.0,279.0,279.0,40498,0
49,2005-08-24,279.20001,279.5,279.2,279.5,15000,0
50,2005-08-29,280.0,280.0,279.5,279.5,3796,0
51,2005-08-30,280.0,280.0,280.0,280.0,2527,0
52,2005-08-31,283.0,284.5,283.0,284.0,71134,0
53,2005-09-01,285.0,285.0,285.0,285.0,714827,0
54,2005-09-02,285.0,286.0,285.0,286.0,5940,0
55,2005-09-05,291.0,291.0,291.0,291.0,2150,0
56,2005-09-06,289.0,289.0,289.0,289.0,19890,0
57,2005-09-07,289.0,289.0,288.5,289.0,64970,0
58,2005-09-08,290.25,290.25,289.0,290.0,96273,0
59,2005-09-09,291.0,291.0,291.0,291.0,10446,0
60,2005-09-12,291.0,291.0,291.0,291.0,117129,0
61,2005-09-13,290.0,290.0,289.65,289.64999,34983,0
62,2005-09-14,291.0,291.0,291.0,291.0,49500,0
63,2005-09-15,292.0,293.0,290.75,293.0,632004,0
64,2005-09-16,293.0,294.0,293.0,294.0,129860,0
65,2005-09-19,295.0,295.0,294.5,295.0,708000,0
66,2005-09-20,296.0,296.0,295.0,295.75,63130,0
67,2005-09-21,296.0,300.0,296.0,300.0,69000,0
68,2005-09-22,298.0,298.0,297.8,297.79999,36700,0
69,2005-09-23,298.0,298.0,298.0,298.0,8890,0
70,2005-09-26,298.5,298.5,298.0,298.0,146896,0
71,2005-09-27,298.0,298.0,297.0,297.0,63242,0
72,2005-09-28,299.0,302.0,297.0,302.0,2290613,0
73,2005-09-29,307.0,307.5,304.0,307.5,133122,0
74,2005-09-30,314.0,314.0,314.0,314.0,69102,0
75,2005-10-03,316.0,317.0,314.0,314.0,17934,0
76,2005-10-04,314.0,314.0,314.0,314.0,13250,0
77,2005-10-05,312.0,312.0,312.0,312.0,30000,0
78,2005-10-06,311.0,311.0,308.0,308.0,26828,0
79,2005-10-07,307.5,307.5,307.5,307.5,24280,0
80,2005-10-12,306.25,306.25,301.0,301.0,37073,0
81,2005-10-13,300.0,300.0,299.0,299.0,20000,0
82,2005-10-14,299.0,299.0,299.0,299.0,809,0
83,2005-10-17,300.0,300.0,300.0,300.0,10000,0
84,2005-10-18,299.0,300.0,299.0,299.0,179200,0
85,2005-10-19,298.0,298.5,298.0,298.5,36783,0
86,2005-10-20,298.5,299.0,297.0,298.0,35695,0
87,2005-10-21,297.5,297.5,297.5,297.5,20000,0
88,2005-10-24,297.5,297.5,297.5,297.5,15459,0
89,2005-10-25,299.0,299.0,298.5,298.5,19180,0
90,2005-10-26,298.0,298.0,297.5,297.5,32283,0
91,2005-10-27,300.0,300.70799999999997,297.5,297.5,1066573,0
92,2005-10-28,299.0,303.0,299.0,301.5,126038,0
93,2005-10-31,301.0,305.0,301.0,305.0,32482,0
94,2005-11-01,305.0,305.25,305.0,305.0,123861,0
95,2005-11-02,305.5,306.0,305.5,305.5,90021,0
96,2005-11-03,305.5,305.5,305.0,305.0,346300,0
97,2005-11-04,304.0,305.0,301.5,305.0,383070,0
98,2005-11-07,303.0,305.0,303.0,305.0,187310,0
99,2005-11-08,305.0,305.0,304.0,304.0,23730,0
100,2005-11-09,304.0,305.5,304.0,304.60001,196100,0
101,2005-11-10,304.5,304.5,304.5,304.5,49720,0
102,2005-11-11,306.5,306.5,306.5,306.5,50002,0
103,2005-11-14,307.0,307.0,306.0,306.0,370286,0
104,2005-11-15,305.94,305.94,304.975,305.25,15449310,0
105,2005-11-16,306.0,309.0,306.0,309.0,432000,0
106,2005-11-17,307.75,314.0,307.75,313.10001,11009800,0
107,2005-11-18,313.39999,315.0,312.5,314.0,3615860,0
108,2005-11-21,315.0,318.0,315.0,318.0,15676160,0
109,2005-11-22,319.0,322.0,319.0,322.0,94819,0
110,2005-11-23,322.0,322.0,320.0,320.0,72200,0
111,2005-11-24,322.0,325.0,322.0,325.0,74975,0
112,2005-11-25,325.0,329.0,325.0,329.0,40789,0
113,2005-11-30,280.0,280.0,280.0,280.0,2000,0
114,2005-12-02,270.25,274.7,270.25,272.29999,1914215,0
115,2005-12-05,274.0,275.0,274.0,275.0,329698,0
116,2005-12-06,274.29999,280.0,274.3,280.0,1977456,0
117,2005-12-07,280.0,282.0,278.0,282.0,134833,0
118,2005-12-09,279.0,280.5,279.0,280.5,237600,0
119,2005-12-12,278.0,278.0,270.0,270.0,160990,0
