,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-01-27,100.6,100.6,100.6,100.6,440000,0
1,2017-01-30,100.751,101.25,100.7,101.0,343000,0
2,2017-01-31,100.6,101.0,100.4,101.0,1674000,0
3,2017-02-01,100.8,101.3,100.7,101.3,706000,0
4,2017-02-02,101.75,102.45,101.3,102.0,1419000,0
5,2017-02-03,102.499,102.499,101.95,101.95,592000,0
6,2017-02-06,101.95,102.3,101.95,102.2,1372000,0
7,2017-02-07,101.95,101.99,101.6,101.8,1368000,0
8,2017-02-08,101.9,102.25,101.75,102.25,560000,0
9,2017-02-09,102.1,102.3,102.1,102.25,805000,0
10,2017-02-10,102.3,102.551,102.25,102.5,671000,0
11,2017-02-13,102.6,102.9,102.5,102.8,543000,0
12,2017-02-14,102.6,102.75,102.47,102.5,484000,0
13,2017-02-15,102.25,102.25,102.2,102.2,594000,0
14,2017-02-16,102.35,102.35,101.85,101.85,595000,0
15,2017-02-17,101.8,102.0,101.8,102.0,148000,0
16,2017-02-20,102.6,102.6,102.4,102.5,251000,0
17,2017-02-21,102.25,102.35,102.0,102.25,859000,0
18,2017-02-22,103.0,103.0,102.25,102.25,684000,0
19,2017-02-23,102.5,102.5,102.2,102.2,670000,0
20,2017-02-24,102.3,102.5,102.25,102.5,414000,0
21,2017-03-01,101.5,102.3,101.4,102.0,364000,0
22,2017-03-02,102.49,102.5,101.8,101.8,532000,0
23,2017-03-03,102.45,102.5,102.249,102.25,155000,0
24,2017-03-06,102.25,102.25,102.0,102.25,318000,0
25,2017-03-07,102.4,102.75,102.1,102.1,470000,0
26,2017-03-08,102.0,102.0,101.25,101.25,903000,0
27,2017-03-09,101.4,101.4,100.9,100.9,677000,0
28,2017-03-10,101.85,101.9,101.39,101.5,1965000,0
29,2017-03-13,101.5,101.5,100.75,100.75,1102000,0
30,2017-03-14,100.9,101.05,100.8,101.05,1094000,0
31,2017-03-15,101.5,102.0,101.34,102.0,829000,0
32,2017-03-16,102.0,102.0,101.81,101.81,1772000,0
33,2017-03-17,102.55,102.55,102.3,102.5,420000,0
34,2017-03-20,102.5,103.5,102.4,102.85,2048000,0
35,2017-03-21,102.92,103.0,102.75,102.75,3578000,0
36,2017-03-22,102.75,102.85,102.5,102.85,792000,0
37,2017-03-23,103.2,103.2,102.9,103.0,1571000,0
38,2017-03-27,103.0,103.2,103.0,103.0,950000,0
39,2017-03-28,103.5,103.5,103.0,103.0,1028000,0
40,2017-03-29,103.4,103.9,103.4,103.4,264000,0
41,2017-03-30,103.9,104.0,103.4,103.6,1024000,0
42,2017-03-31,103.7,104.1,103.65,104.1,752000,0
43,2017-04-03,104.1,104.4,104.0,104.3,1432000,0
44,2017-04-04,104.5,104.5,104.25,104.3,1193000,0
45,2017-04-05,104.5,105.5,104.05,104.8,3724000,0
46,2017-04-06,104.8,105.0,104.5,104.5,1904000,0
47,2017-04-07,104.6,104.7,104.4,104.7,1561000,0
48,2017-04-10,104.75,105.25,104.75,105.25,2453000,0
49,2017-04-11,105.5,106.75,105.0,106.0,499000,0
50,2017-04-12,106.3,107.3,106.0,107.0,311000,0
51,2017-04-18,105.0,105.5,104.9,105.0,4576000,0
52,2017-04-19,105.1,106.0,104.8,105.2,7372000,0
53,2017-04-20,108.0,108.0,105.1,105.5,6863000,0
54,2017-04-21,105.9,106.0,105.5,105.55,3742000,0
55,2017-04-24,106.4,106.4,105.4,105.7,3105000,0
56,2017-04-25,105.7,105.75,105.5,105.75,4957000,0
57,2017-04-26,105.75,106.0,105.2,105.2,3670000,0
58,2017-04-27,106.0,106.4,105.25,105.8,2200000,0
59,2017-04-28,106.0,106.95,105.7,106.5,1612000,0
60,2017-05-02,107.0,107.0,106.5,106.5,1102000,0
61,2017-05-03,106.45,106.45,106.25,106.25,1787000,0
62,2017-05-04,106.0,106.5,105.75,105.9,1722000,0
63,2017-05-05,105.75,106.1,105.7,106.0,738000,0
64,2017-05-08,105.75,105.75,105.6,105.65,1490000,0
65,2017-05-09,106.25,106.25,105.3,105.55,2978000,0
66,2017-05-10,106.0,106.24,105.5,106.24,989000,0
67,2017-05-11,106.27,106.5,106.0,106.0,2243000,0
68,2017-05-12,106.5,106.9,106.39,106.8,734000,0
69,2017-05-15,109.0,109.0,106.2,106.7,2796000,0
