,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-04-19,102.5,102.5,102.0,102.25,1882440,0
1,2017-04-20,102.5,102.55,102.1,102.5,1519139,0
2,2017-04-21,103.0,104.0,102.5,102.5,4184436,0
3,2017-04-24,104.5,104.5,103.0,103.75,5964738,0
4,2017-04-25,104.3,104.8,103.8,104.7,3370637,0
5,2017-04-26,104.5,105.2,104.25,104.51,4559618,0
6,2017-04-27,104.75,104.75,104.1,104.4,2538659,0
7,2017-04-28,104.5,104.5,104.0,104.45,6004855,0
8,2017-05-02,104.9,105.1,104.4,105.1,1074841,0
9,2017-05-03,106.0,106.0,105.1,105.2,2855108,0
10,2017-05-04,105.05,105.05,101.9,104.85,3772329,0
11,2017-05-05,104.85,105.0,104.501,104.8,2818139,0
12,2017-05-08,105.2,105.25,104.5,104.9,1460752,0
13,2017-05-09,105.0,105.0,104.1,104.2,1953577,0
14,2017-05-10,104.999,104.999,104.45,104.65,3349615,0
15,2017-05-11,103.75,104.0,103.4,103.4,5346626,0
16,2017-05-12,103.85,103.95,103.75,103.87,4597914,0
17,2017-05-15,104.5,104.5,103.75,103.8,5346730,0
18,2017-05-16,104.2,104.5,103.75,103.8,4272379,0
19,2017-05-17,103.9,103.9,103.6,103.7,3462410,0
20,2017-05-18,102.5,103.0,102.3,102.5,4290653,0
21,2017-05-19,102.89,103.4,102.8,103.4,4396744,0
22,2017-05-22,103.4,103.5,103.05,103.1,4612172,0
23,2017-05-23,103.25,103.5,103.2,103.4,2736540,0
24,2017-05-24,103.75,104.1,103.75,103.75,4856713,0
25,2017-05-26,103.8,104.1,103.76,104.09,2601843,0
26,2017-05-29,104.25,104.25,104.05,104.1,1188849,0
27,2017-05-30,104.25,104.25,103.85,103.85,3424930,0
28,2017-05-31,104.14,104.15,103.9,103.97,3138587,0
29,2017-06-01,104.95,104.95,103.95,103.95,2943331,0
30,2017-06-02,104.5,105.25,104.3,105.15,4989351,0
31,2017-06-05,106.0,106.0,105.0,105.1,3918526,0
32,2017-06-06,105.5,106.0,105.5,105.88,3955679,0
33,2017-06-07,106.5,106.7,106.0,106.1,3191199,0
34,2017-06-08,106.45,106.45,106.0,106.2,2086123,0
35,2017-06-09,106.3,106.6,106.15,106.5,5605426,0
36,2017-06-12,106.3,106.3,106.0,106.15,3926084,0
37,2017-06-13,106.5,106.9,106.15,106.9,2382993,0
38,2017-06-14,108.0,108.0,107.3,107.45,3644922,0
39,2017-06-15,107.25,107.25,106.99,107.0,1869500,0
40,2017-06-16,107.15,107.15,106.8,106.9,4037825,0
41,2017-06-19,106.45,106.45,106.0,106.0,4139854,0
42,2017-06-21,105.0,105.0,104.0,104.6,3812289,0
43,2017-06-22,105.0,105.9,105.0,105.9,4577245,0
44,2017-06-23,107.0,107.0,105.6,106.25,2181447,0
45,2017-06-26,106.5,106.5,106.1,106.25,1943201,0
46,2017-06-27,106.25,106.25,105.4,105.4,1821984,0
47,2017-06-28,105.75,105.75,105.0,105.2,2451077,0
48,2017-06-29,105.0,105.0,104.0,104.05,1324148,0
49,2017-06-30,104.5,104.5,103.75,104.0,1755517,0
50,2017-07-03,105.5,105.5,103.5,103.6,1893222,0
51,2017-07-04,103.65,104.25,103.5,104.0,1539558,0
52,2017-07-05,104.0,104.1,103.0,103.05,1587711,0
53,2017-07-06,102.45,102.45,101.35,102.0,2260202,0
54,2017-07-07,102.75,102.75,101.75,102.45,1360614,0
55,2017-07-10,103.4,103.75,103.1,103.75,1892500,0
56,2017-07-11,103.65,103.7,103.35,103.45,1137725,0
57,2017-07-12,104.0,104.5,104.0,104.45,1069530,0
58,2017-07-13,105.0,105.0,103.75,104.45,1523264,0
59,2017-07-14,105.5,105.5,104.5,104.9,772816,0
60,2017-07-17,106.0,106.0,104.8,105.0,1245614,0
61,2017-07-18,105.0,105.0,104.25,104.6,876560,0
62,2017-07-19,104.6,104.6,103.9,104.2,2075824,0
63,2017-07-20,104.8,104.8,104.0,104.25,1083059,0
64,2017-07-21,105.0,105.0,104.0,104.5,1486546,0
65,2017-07-24,104.5,104.5,103.5,104.0,967095,0
66,2017-07-25,106.0,106.0,103.4,103.4,3006944,0
67,2017-07-26,103.75,104.0,103.2,103.35,1341517,0
68,2017-07-27,103.5,104.0,103.5,103.95,1166130,0
69,2017-07-28,104.0,104.0,103.11,103.6,914028,0
70,2017-07-31,103.8,104.1,103.7,104.0,442066,0
71,2017-08-01,104.25,104.3,103.75,104.15,536136,0
72,2017-08-02,104.0,104.25,103.9,104.05,539582,0
73,2017-08-03,105.0,105.0,104.15,104.25,457540,0
74,2017-08-04,106.39,106.39,103.75,104.0,1298536,0
75,2017-08-07,104.0,104.1,103.9,104.1,689316,0
76,2017-08-08,104.5,105.0,104.25,104.25,548890,0
77,2017-08-09,104.75,104.75,104.0,104.5,1961383,0
78,2017-08-10,104.5,104.5,104.0,104.45,889679,0
79,2017-08-11,104.45,106.0,104.45,106.0,1737473,0
80,2017-08-14,107.25,108.5,107.25,108.4,2817346,0
81,2017-08-15,108.4,109.5,108.3,109.3,1942016,0
82,2017-08-16,109.5,109.9,108.25,109.7,3778748,0
83,2017-08-17,109.25,109.5,109.0,109.3,958567,0
84,2017-08-18,110.0,110.6,109.2,109.8,1819758,0
85,2017-08-22,109.85,110.25,109.6,110.0,1596216,0
86,2017-08-23,110.85,111.6,110.85,111.11,1271484,0
87,2017-08-24,111.95,112.98,111.5,112.9,2213404,0
88,2017-08-25,113.0,114.0,112.5,113.25,1539380,0
89,2017-08-28,113.5,113.75,113.25,113.4,1162841,0
90,2017-08-29,113.0,113.5,113.0,113.4,1135951,0
91,2017-08-30,113.5,113.65,113.1,113.6,2020009,0
92,2017-08-31,114.5,114.5,112.9,113.1,1765393,0
93,2017-09-01,113.5,113.5,113.0,113.1,1841098,0
94,2017-09-04,113.2,113.5,113.0,113.2,834173,0
95,2017-09-05,113.45,113.65,113.0,113.6,2854760,0
96,2017-09-06,113.45,113.75,113.45,113.65,1183356,0
97,2017-09-07,114.2,114.6,114.0,114.25,2224489,0
98,2017-09-08,114.1,114.598,114.05,114.05,3559158,0
99,2017-09-11,114.5,114.5,113.5,113.6,2081234,0
100,2017-09-12,114.75,114.75,112.75,113.4,2934315,0
101,2017-09-13,114.0,114.0,113.49799999999999,113.75,3394181,0
102,2017-09-14,114.0,114.0,113.25,113.45,888271,0
103,2017-09-15,113.9,114.0,113.5,113.85,1865795,0
104,2017-09-18,113.25,114.0,113.25,113.8,869609,0
105,2017-09-19,114.0,114.4,113.5,113.7,1106874,0
106,2017-09-20,114.0,114.0,113.4,113.5,395458,0
107,2017-09-21,113.4,113.7,113.25,113.4,884232,0
108,2017-09-22,113.4,114.8,113.4,113.7,798635,0
109,2017-09-25,113.75,113.75,113.4,113.5,1677002,0
110,2017-09-26,113.55,113.75,112.75,112.95,945132,0
111,2017-09-27,112.85,113.25,112.75,113.15,1927449,0
112,2017-09-28,113.15,113.75,113.0,113.75,1966261,0
113,2017-09-29,114.0,114.3,113.9,114.2,2015684,0
114,2017-10-02,114.25,114.5,113.9,114.2,991259,0
115,2017-10-03,113.75,114.5,113.75,114.35,1653706,0
116,2017-10-04,114.2,114.85,114.0,114.6,1293692,0
117,2017-10-05,115.0,116.5,115.0,115.0,1818712,0
118,2017-10-06,115.45,115.45,114.75,115.2,714354,0
119,2017-10-09,115.4,115.4,115.2,115.34,1475247,0
120,2017-10-10,115.4,116.0,115.4,115.73,432798,0
121,2017-10-11,116.0,116.4,115.5,116.0,1913681,0
122,2017-10-12,116.75,117.4,116.1,117.4,1849516,0
123,2017-10-13,115.448,115.448,114.25,114.9,457351,0
124,2017-10-17,115.3,116.0,115.2,115.85,2446405,0
125,2017-10-18,115.8,115.8,115.0,115.65,425084,0
126,2017-10-19,115.99,115.99,114.25,115.25,1674344,0
127,2017-10-20,116.25,116.25,114.1,114.8,1181099,0
128,2017-10-23,116.0,116.0,114.5,114.85,887815,0
129,2017-10-24,114.65,114.65,113.8,114.0,1019104,0
130,2017-10-25,114.0,114.0,112.75,112.75,1340322,0
131,2017-10-26,112.75,112.75,111.05,112.25,1184457,0
132,2017-10-27,112.26,112.75,112.0,112.7,1341825,0
133,2017-10-30,113.5,113.5,112.25,113.0,3987168,0
134,2017-10-31,112.5,112.9,111.75,111.75,2540591,0
135,2017-11-01,111.0,111.999,111.0,111.751,610857,0
136,2017-11-02,111.75,111.9,111.5,111.65,1116257,0
137,2017-11-03,111.0,111.65,110.0,111.5,1206854,0
