,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2015-10-08,98.2,98.2,98.2,98.2,7773,0
1,2015-10-09,99.2,102.0,99.0,102.0,160348,0
2,2015-10-12,99.2,102.0,99.0,102.0,160348,0
3,2015-10-13,102.0,102.0,102.0,102.0,353993,0
4,2015-10-14,101.0,101.0,100.0,101.0,1185095,0
5,2015-10-15,101.0,101.5,100.99,101.5,212467,0
6,2015-10-16,101.5,101.5,101.25,101.5,162436,0
7,2015-10-19,101.5,102.15,101.45,101.55,272036,0
8,2015-10-20,101.5,102.0,101.45,102.0,301073,0
9,2015-10-21,102.0,102.5,102.0,102.5,314937,0
10,2015-10-22,102.5,102.9,102.5,102.75,438973,0
11,2015-10-23,102.75,103.6,102.75,103.6,216151,0
12,2015-10-26,105.0,106.0,105.0,106.0,298104,0
13,2015-10-28,104.5,104.5,104.5,104.5,3798,0
14,2015-10-29,104.5,105.0,104.5,105.0,160450,0
15,2015-10-30,104.5,104.5,103.5,103.5,91422,0
16,2015-11-02,103.5,103.5,103.45,103.5,63584,0
17,2015-11-03,103.5,103.5,103.5,103.5,144927,0
18,2015-11-04,103.5,103.5,103.5,103.5,27234,0
19,2015-11-05,103.5,104.0,103.5,104.0,157850,0
20,2015-11-10,102.3,104.0,102.3,104.0,46690,0
21,2015-11-11,104.0,105.5,104.0,105.5,69367,0
22,2015-11-12,105.0,105.0,105.0,105.0,6209,0
23,2015-11-13,105.0,105.0,105.0,105.0,10743,0
24,2015-11-17,105.0,105.0,105.0,105.0,4898,0
25,2015-11-18,104.25,104.75,104.25,104.75,11900,0
26,2015-11-19,104.75,104.75,104.75,104.75,34100,0
27,2015-11-20,105.0,105.0,103.0,103.0,81675,0
28,2015-11-24,103.5,103.5,103.5,103.5,57428,0
29,2015-11-30,104.0,106.0,104.0,105.0,13228,0
30,2015-12-02,104.5,104.5,103.5,104.0,45460,0
31,2015-12-03,103.5,103.5,103.5,103.5,25516,0
32,2015-12-11,104.5,104.5,104.0,104.0,22047,0
33,2015-12-14,104.0,104.0,104.0,104.0,26561,0
34,2015-12-15,104.5,104.5,104.0,104.0,7525,0
35,2015-12-17,105.0,105.0,105.0,105.0,7350,0
36,2015-12-18,104.5,104.5,104.5,104.5,3500,0
37,2015-12-21,104.3,104.3,104.3,104.3,6317,0
38,2015-12-22,105.2,106.0,105.0,105.0,43426,0
39,2015-12-23,106.5,107.99,106.5,107.0,76931,0
40,2015-12-29,107.0,107.5,107.0,107.5,121107,0
41,2016-01-05,108.0,108.0,108.0,108.0,32757,0
42,2016-01-06,106.0,107.0,106.0,107.0,8494,0
43,2016-01-07,107.0,107.0,107.0,107.0,145528,0
44,2016-01-08,107.5,107.5,106.5,106.5,70831,0
45,2016-01-13,106.0,106.0,105.0,105.0,7110,0
46,2016-01-18,106.0,106.0,106.0,106.0,51853,0
47,2016-01-19,106.0,106.0,105.75,106.0,306732,0
48,2016-01-20,106.0,106.0,105.5,105.5,47613,0
49,2016-01-21,105.5,106.5,105.5,106.5,10753,0
50,2016-01-22,107.0,107.0,106.5,106.5,36738,0
51,2016-01-25,106.5,106.75,106.5,106.75,28948,0
52,2016-01-26,106.0,106.0,106.0,106.0,74546,0
53,2016-01-27,106.0,106.0,106.0,106.0,61877,0
54,2016-01-28,107.0,107.0,105.25,106.0,300400,0
