,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2014-05-15,85.0,85.0,85.0,85.0,41235,0
1,2014-05-16,87.5,87.55,87.5,87.55,106000,0
2,2014-05-19,87.4,87.4,87.4,87.4,81970,0
3,2014-05-20,87.4,88.5,87.0,88.5,164550,0
4,2014-05-21,87.5,87.75,87.4,87.75,108945,0
5,2014-05-22,87.5,87.8,87.0,87.0,122575,0
6,2014-05-23,87.0,89.5,87.0,88.3,78659,0
7,2014-05-26,88.0,88.3,88.0,88.0,330400,0
8,2014-05-27,88.0,88.0,87.5,87.75,276433,0
9,2014-05-28,87.75,88.0,87.5,87.5,147257,0
10,2014-05-29,87.75,88.0,87.25,88.0,47192,0
11,2014-05-30,88.0,88.5,87.75,87.75,216576,0
12,2014-06-02,87.0,88.0,87.0,88.0,178070,0
13,2014-06-03,88.0,88.0,87.0,87.2,255687,0
14,2014-06-04,87.0,87.0,86.5,87.0,337802,0
15,2014-06-05,87.05,88.0,87.0,88.0,1007783,0
16,2014-06-06,88.5,89.0,88.5,89.0,264706,0
17,2014-06-09,89.0,91.0,89.0,91.0,772365,0
18,2014-06-10,91.0,91.25,91.0,91.25,1097103,0
19,2014-06-11,91.0,91.0,89.0,89.0,95954,0
20,2014-06-12,89.0,89.75,89.0,89.5,407678,0
21,2014-06-13,89.25,90.1,89.25,90.1,578524,0
22,2014-06-16,84.0,84.0,80.0,80.0,302003,0
23,2014-06-17,80.0,82.5,80.0,81.0,343473,0
24,2014-06-18,80.5,84.0,80.0,84.0,407313,0
25,2014-06-19,81.0,82.5,79.75,82.0,514132,0
26,2014-06-23,87.0,90.5,87.0,89.0,1088759,0
27,2014-06-24,90.0,90.0,87.5,88.5,224206,0
28,2014-06-25,88.5,88.5,87.3,88.0,138670,0
29,2014-06-26,88.0,88.8,86.5,87.25,281922,0
30,2014-06-27,85.0,87.0,85.0,86.5,192426,0
31,2014-06-30,86.0,86.0,85.0,85.0,58448,0
32,2014-07-01,87.99,87.99,87.25,87.75,129930,0
33,2014-07-02,87.25,88.0,87.0,88.0,224471,0
34,2014-07-03,88.0,89.0,87.6,88.9,291436,0
35,2014-07-04,88.45,88.7,88.0,88.7,412090,0
36,2014-07-07,87.5,88.0,87.5,87.75,20570,0
37,2014-07-08,88.25,88.5,88.1,88.5,63945,0
38,2014-07-10,90.0,90.3,90.0,90.3,323140,0
39,2014-07-11,90.5,92.0,90.3,91.75,1307717,0
40,2014-07-14,90.0,91.0,90.0,91.0,53372,0
41,2014-07-15,90.5,91.5,90.5,91.5,134511,0
42,2014-07-16,90.5,90.5,89.5,90.0,235846,0
43,2014-07-17,89.0,89.25,89.0,89.1,278850,0
44,2014-07-18,89.1,89.25,88.0,88.0,79772,0
45,2014-07-21,87.0,87.0,84.5,84.5,228560,0
46,2014-07-22,85.0,85.0,84.0,85.0,294863,0
47,2014-07-23,84.5,85.0,84.5,84.75,49380,0
48,2014-07-24,86.0,86.0,84.5,84.5,47958,0
49,2014-07-25,82.0,83.0,81.0,82.0,203204,0
50,2014-07-28,81.0,81.0,78.0,79.0,120364,0
51,2014-07-29,78.0,81.0,78.0,81.0,65438,0
52,2014-07-30,88.0,91.5,88.0,91.5,417153,0
53,2014-07-31,87.5,87.5,85.0,85.0,27914,0
54,2014-08-01,85.0,85.5,82.75,85.5,230480,0
55,2014-08-04,85.0,86.0,82.25,82.5,173604,0
56,2014-08-05,82.0,82.0,81.5,81.9,65413,0
57,2014-08-06,82.0,83.0,81.75,83.0,158353,0
58,2014-08-07,83.0,83.0,82.75,83.0,387757,0
59,2014-08-08,82.999,83.5,82.0,82.5,290092,0
60,2014-08-11,82.5,83.0,81.0,83.0,268594,0
61,2014-08-12,82.0,82.5,81.75,82.0,406007,0
62,2014-08-13,81.5,82.15,81.45,81.5,394175,0
63,2014-08-14,80.0,81.0,80.0,81.0,818226,0
64,2014-08-15,80.0,80.0,79.0,79.25,487430,0
65,2014-08-19,80.0,83.5,80.0,83.5,154146,0
66,2014-08-20,83.5,83.5,80.0,80.0,254292,0
67,2014-08-21,79.0,80.0,78.5,80.0,445986,0
68,2014-08-22,80.0,80.5,78.75,80.0,899694,0
69,2014-08-25,78.95,80.0,78.95,79.5,142257,0
70,2014-08-26,79.8,80.0,79.7,80.0,559988,0
71,2014-08-27,79.99,81.5,79.7,81.5,649272,0
72,2014-08-28,81.0,83.0,81.0,83.0,787231,0
73,2014-08-29,82.8,82.8,82.5,82.5,357343,0
74,2014-09-01,82.5,82.5,82.5,82.5,70389,0
75,2014-09-02,83.0,83.25,82.75,83.25,43389,0
76,2014-09-03,84.5,86.0,84.5,85.5,337956,0
77,2014-09-04,85.0,87.0,84.0,87.0,427246,0
78,2014-09-05,87.0,89.001,87.0,89.001,271280,0
79,2014-09-08,89.0,89.0,87.0,88.0,2047706,0
80,2014-09-09,87.5,87.75,87.0,87.75,207069,0
81,2014-09-10,87.75,87.75,87.0,87.0,536833,0
82,2014-09-11,87.5,88.75,87.5,88.25,263467,0
83,2014-09-12,89.25,90.25,89.0,90.25,130172,0
84,2014-09-15,89.5,90.0,89.5,90.0,91228,0
85,2014-09-16,90.0,91.0,90.0,91.0,52797,0
86,2014-09-17,90.0,90.01,90.0,90.0,202337,0
87,2014-09-18,90.0,90.75,90.0,90.75,534322,0
88,2014-09-19,90.5,90.5,90.25,90.3,824934,0
89,2014-09-22,89.0,90.2,89.0,89.5,744164,0
90,2014-09-23,89.4,91.3,89.4,91.0,419776,0
91,2014-09-24,90.75,90.75,90.5,90.75,279758,0
92,2014-09-25,90.3,90.7,90.25,90.7,147524,0
93,2014-09-26,90.5,90.5,90.4,90.5,230807,0
94,2014-09-29,90.75,91.0,90.75,90.75,726500,0
95,2014-09-30,90.5,90.75,90.3,90.75,212212,0
96,2014-10-01,88.5,89.0,88.5,88.75,257126,0
97,2014-10-02,85.75,86.0,85.0,85.75,338189,0
98,2014-10-03,86.0,88.5,86.0,88.5,358486,0
99,2014-10-06,88.6,88.6,87.0,87.0,182010,0
100,2014-10-07,87.05,89.0,87.0,89.0,114287,0
101,2014-10-08,88.3,88.7,88.1,88.25,93999,0
