,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2016-10-28,1550.0,1550.0,1550.0,1550.0,5000,0
1,2016-10-31,1550.0,1560.0,1550.0,1560.0,93180,0
2,2016-11-01,1560.0,1560.0,1552.0,1552.0,185667,0
3,2016-11-02,1552.0,1560.0,1552.0,1555.0,239500,0
4,2016-11-03,1555.0,1555.0,1555.0,1555.0,215775,0
5,2016-11-04,1555.0,1557.0,1555.0,1556.0,87626,0
6,2016-11-07,1556.0,1556.0,1555.0,1556.0,188400,0
7,2016-11-08,1556.0,1557.0,1556.0,1557.0,137981,0
8,2016-11-09,1550.0,1550.0,1550.0,1550.0,35214,0
9,2016-11-10,1550.0,1550.0,1550.0,1550.0,3209,0
10,2016-11-11,1552.0,1556.5,1552.0,1556.5,104283,0
11,2016-11-14,1560.0,1560.0,1560.0,1560.0,3189,0
12,2016-11-15,1570.0,1570.0,1570.0,1570.0,83000,0
13,2016-11-16,1570.0,1576.0,1570.0,1576.0,9000,0
14,2016-11-18,1576.0,1576.0,1570.0,1575.0,67894,0
15,2016-11-21,1575.0,1575.0,1575.0,1575.0,2000,0
16,2016-11-22,1575.0,1579.0,1575.0,1579.0,121500,0
17,2016-11-23,1584.9000199999998,1585.0,1584.9,1585.0,31000,0
18,2016-11-24,1585.0,1585.0,1583.0,1585.0,32000,0
19,2016-11-29,1590.0,1590.0,1590.0,1590.0,30000,0
20,2016-12-05,1595.0,1595.0,1595.0,1595.0,22300,0
21,2016-12-06,1611.0,1615.0,1611.0,1615.0,18153,0
22,2016-12-07,1625.0,1625.0,1625.0,1625.0,50000,0
23,2016-12-12,1633.0,1633.0,1633.0,1633.0,26929,0
24,2016-12-13,1633.0,1633.0,1633.0,1633.0,14823,0
25,2016-12-15,1630.0,1630.0,1625.0,1630.0,17721,0
26,2016-12-16,1630.0,1630.0,1627.0,1630.0,29669,0
27,2016-12-19,1635.0,1650.0,1635.0,1650.0,71980,0
28,2016-12-20,1640.0,1640.0,1625.0,1625.0,422549,0
29,2016-12-21,1625.0,1625.0,1625.0,1625.0,1000,0
30,2016-12-22,1650.0,1650.0,1625.0,1625.0,8056,0
31,2016-12-23,1620.0,1620.0,1610.0,1610.0,3371,0
32,2016-12-26,1605.0,1605.0,1605.0,1605.0,17765,0
33,2016-12-28,1610.0,1610.0,1610.0,1610.0,23009,0
34,2017-01-03,1665.0,1670.0,1664.0,1670.0,57698,0
35,2017-01-04,1685.0,1685.0,1650.0,1650.0,24928,0
36,2017-01-05,1670.0,1670.0,1670.0,1670.0,5138,0
37,2017-01-06,1660.0,1670.0,1660.0,1670.0,13945,0
38,2017-01-09,1670.0,1670.0,1625.0,1625.0,96725,0
39,2017-01-10,1625.0,1645.0,1625.0,1635.0,41495,0
40,2017-01-11,1625.0,1625.0,1625.0,1625.0,15000,0
41,2017-01-12,1635.0,1645.0,1635.0,1645.0,13785,0
42,2017-01-13,1650.0,1670.0,1650.0,1670.0,53506,0
43,2017-01-16,1675.0,1685.0,1675.0,1685.0,5466,0
44,2017-01-17,1680.0,1684.0,1680.0,1684.0,23389,0
45,2017-01-18,1693.0,1693.0,1693.0,1693.0,1000,0
46,2017-01-19,1690.0,1695.0,1690.0,1695.0,30110,0
47,2017-01-20,1650.0,1650.0,1650.0,1650.0,20000,0
48,2017-01-23,1685.0,1685.0,1685.0,1685.0,19188,0
49,2017-01-24,1655.0,1655.0,1655.0,1655.0,1200,0
50,2017-01-25,1650.0,1650.0,1640.0,1645.0,143000,0
51,2017-01-26,1640.0,1650.0,1640.0,1650.0,11600,0
52,2017-01-27,1631.0,1631.0,1630.0,1630.0,14000,0
53,2017-01-30,1621.0,1635.0,1621.0,1635.0,12912,0
54,2017-01-31,1642.0,1648.0,1642.0,1648.0,22000,0
55,2017-02-01,1650.0,1650.0,1640.0,1640.0,37300,0
56,2017-02-02,1630.0,1630.0,1600.0,1600.0,23915,0
57,2017-02-03,1615.0,1625.0,1615.0,1625.0,48500,0
58,2017-02-06,1627.0,1635.0,1627.0,1635.0,82845,0
59,2017-02-07,1640.0,1640.0,1635.0,1635.0,16570,0
60,2017-02-08,1631.0,1631.0,1631.0,1631.0,1270,0
61,2017-02-09,1625.0,1630.0,1625.0,1630.0,34668,0
62,2017-02-10,1608.0,1635.0,1608.0,1635.0,38917,0
63,2017-02-13,1635.0,1635.0,1635.0,1635.0,24000,0
64,2017-02-14,1635.0,1635.0,1635.0,1635.00098,13000,0
65,2017-02-16,1630.0,1630.0,1605.0,1605.0,17800,0
66,2017-02-17,1595.0,1595.0,1595.0,1595.0,7000,0
67,2017-02-21,1605.0,1608.0,1605.0,1608.0,94180,0
68,2017-02-22,1620.0,1620.0,1620.0,1620.0,1074,0
69,2017-02-23,1630.0,1640.0,1630.0,1640.0,4000,0
70,2017-02-24,1577.0,1577.0,1577.0,1577.0,15000,0
71,2017-03-01,1600.0,1600.0,1573.0,1573.0,67779,0
72,2017-03-03,1574.0,1580.0,1574.0,1580.0,58348,0
73,2017-03-06,1580.0,1600.0,1580.0,1600.0,126273,0
74,2017-03-07,1600.0,1605.0,1600.0,1605.0,16300,0
75,2017-03-08,1590.0,1610.0,1590.0,1610.0,6000,0
76,2017-03-09,1620.0,1620.0,1575.0,1590.0,80797,0
77,2017-03-10,1600.0,1635.0,1590.0,1590.0,81609,0
78,2017-03-14,1615.0,1615.0,1609.0,1609.0,116094,0
79,2017-03-15,1610.0,1625.0,1610.0,1625.0,17300,0
80,2017-03-16,1615.0,1615.0,1615.0,1615.0,16900,0
81,2017-03-17,1615.0,1625.0,1615.0,1625.0,17971,0
82,2017-03-20,1620.0,1620.0,1610.0,1610.0,25000,0
83,2017-03-21,1620.0,1620.0,1600.0,1615.0,105000,0
84,2017-03-22,1625.0,1625.0,1625.0,1625.0,8000,0
85,2017-03-23,1625.0,1625.0,1625.0,1625.0,18964,0
86,2017-03-27,1625.0,1625.0,1624.0,1624.0,55700,0
87,2017-03-28,1620.0,1625.0,1620.0,1625.0,78220,0
88,2017-03-29,1620.0,1622.0,1619.0,1619.0,54935,0
