,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2014-06-10,118.0,118.0,118.0,118.0,33558,0
1,2014-06-11,118.0,118.0,118.0,118.0,16779,0
2,2014-07-01,108.52,108.52,108.52,108.52,4000,0
3,2014-07-02,108.45,108.45,107.9,107.9,24750,0
4,2014-07-03,107.9,108.0,107.9,108.0,59687,0
5,2014-07-10,120.0,120.0,120.0,120.0,40500,0
6,2014-11-12,125.0,125.0,125.0,125.0,4000,0
7,2014-11-17,125.0,125.0,125.0,125.0,9797,0
8,2014-11-20,125.0,125.0,125.0,125.0,35802,0
9,2014-11-21,127.0,127.0,124.5,124.5,23099,0
10,2014-11-25,124.0,125.0,124.0,125.0,65078,0
11,2014-11-27,125.0,125.0,125.0,125.0,7345,0
12,2014-11-28,125.0,125.0,125.0,125.0,3855,0
13,2014-12-01,126.9,126.9,126.9,126.9,21526,0
14,2014-12-02,127.0,127.0,125.0,125.0,6983,0
15,2014-12-03,126.0,126.0,126.0,126.0,38024,0
16,2014-12-04,126.0,126.0,125.0,125.0,28522,0
17,2014-12-05,124.0,124.5,124.0,124.5,33659,0
18,2014-12-10,124.0,124.0,122.0,122.0,21025,0
19,2014-12-11,122.0,122.0,121.0,122.0,94813,0
20,2014-12-12,121.0,121.0,121.0,121.0,16529,0
21,2014-12-15,118.0,119.0,118.0,119.0,10042,0
22,2014-12-16,116.0,116.0,116.0,116.0,4310,0
23,2014-12-17,116.0,116.0,116.0,116.0,4932,0
24,2014-12-19,121.0,121.0,121.0,121.0,14074,0
25,2014-12-22,122.0,122.0,122.0,122.0,23855,0
26,2014-12-29,113.0,113.0,113.0,113.0,11339,0
27,2015-01-07,113.0,113.0,113.0,113.0,138468,0
28,2015-01-08,113.0,113.0,113.0,113.0,6024,0
29,2015-01-09,113.0,114.0,113.0,113.0,81921,0
30,2015-01-13,114.0,114.0,114.0,114.0,3000,0
31,2015-01-14,113.0,113.0,113.0,113.0,8129,0
32,2015-01-15,117.9,117.9,117.9,117.9,16074,0
33,2015-01-21,118.5,118.5,118.5,118.5,2000,0
34,2015-01-22,118.5,118.5,118.5,118.5,2017,0
35,2015-01-26,118.5,118.5,118.5,118.5,12636,0
36,2015-01-28,118.5,118.5,118.5,118.5,16965,0
37,2015-01-29,119.0,120.0,119.0,120.0,13500,0
38,2015-01-30,120.0,120.0,120.0,120.0,4000,0
39,2015-02-02,119.0,120.0,119.0,119.0,61415,0
40,2015-02-03,120.0,120.5,120.0,120.5,32999,0
41,2015-02-04,121.0,122.0,121.0,122.0,145946,0
42,2015-02-05,122.0,124.0,122.0,124.0,18552,0
43,2015-02-09,128.0,128.0,125.999,125.999,84497,0
44,2015-02-10,126.0,126.0,126.0,126.0,169936,0
45,2015-02-11,126.0,126.0,125.0,126.0,317435,0
46,2015-02-12,127.0,127.0,127.0,127.0,45000,0
47,2015-02-13,126.5,127.0,126.5,127.0,24700,0
48,2015-02-18,127.0,127.0,127.0,127.0,29950,0
49,2015-02-19,128.0,128.0,127.49,127.5,73358,0
50,2015-02-20,128.5,128.5,128.0,128.0,221517,0
51,2015-02-24,128.0,128.0,128.0,128.0,48220,0
52,2015-02-27,129.5,129.5,128.0,128.0,28695,0
53,2015-03-02,128.0,128.0,128.0,128.0,65000,0
54,2015-03-03,129.75,130.0,129.5,129.5,158400,0
55,2015-03-04,130.0,131.0,130.0,131.0,49951,0
56,2015-03-05,132.0,132.0,132.0,132.0,46400,0
57,2015-03-09,134.0,135.0,133.6,135.0,140924,0
58,2015-03-10,136.0,136.0,136.0,136.0,57750,0
59,2015-03-11,134.0,136.0,134.0,135.5,120662,0
60,2015-03-12,137.10001,137.1,134.0,135.0,477424,0
61,2015-03-13,135.0,135.0,134.0,134.0,224851,0
62,2015-03-16,135.0,135.5,135.0,135.5,54419,0
63,2015-03-17,135.5,139.0,135.5,139.0,22485,0
64,2015-03-18,139.0,139.0,139.0,139.0,6927,0
65,2015-03-19,139.0,139.0,139.0,139.0,26290,0
66,2015-03-20,140.0,140.0,140.0,140.0,18638,0
67,2015-03-25,139.0,139.0,139.0,139.0,12060,0
68,2015-03-27,134.0,134.0,134.0,134.0,9588,0
69,2015-03-30,137.0,137.0,137.0,137.0,6066,0
70,2015-03-31,134.0,134.0,134.0,134.0,3700,0
71,2015-04-01,134.0,134.0,134.0,134.0,3820,0
72,2015-04-06,137.0,137.0,137.0,137.0,18250,0
73,2015-04-07,140.0,140.0,139.0,139.0,19136,0
74,2015-04-08,139.0,142.0,139.0,142.0,27439,0
75,2015-04-09,140.5,141.0,140.0,141.0,52471,0
76,2015-04-10,143.0,143.5,143.0,143.0,45316,0
77,2015-04-13,142.5,143.0,140.5,141.5,279059,0
78,2015-04-14,139.0,139.0,139.0,139.0,73218,0
79,2015-04-15,139.0,139.0,138.1,138.10001,99928,0
80,2015-04-16,138.0,138.5,138.0,138.2,300850,0
81,2015-04-17,138.5,138.5,137.5,137.60001,193358,0
82,2015-04-21,137.5,137.75,137.5,137.75,50100,0
83,2015-04-22,137.5,137.5,137.0,137.25,115405,0
84,2015-04-23,137.39999,137.4,136.5,137.0,110968,0
85,2015-04-24,139.0,139.0,138.5,138.5,123022,0
86,2015-04-27,137.5,137.5,137.0,137.5,153111,0
87,2015-04-28,137.0,138.0,137.0,137.5,226331,0
88,2015-04-29,137.0,137.25,136.5,137.0,549872,0
89,2015-04-30,135.5,137.0,135.5,136.5,336846,0
90,2015-05-04,136.5,136.75,136.25,136.25,133756,0
91,2015-05-05,136.75,136.75,136.0,136.25,261625,0
92,2015-05-06,136.0,136.25,136.0,136.25,145516,0
93,2015-05-07,136.0,136.5,136.0,136.5,72300,0
94,2015-05-08,136.75,137.0,136.5,136.60001,240671,0
95,2015-05-11,136.39999,137.0,136.25,137.0,315902,0
96,2015-05-12,136.5,136.5,135.9,136.25,376928,0
97,2015-05-13,136.0,136.0,135.0,135.0,497906,0
98,2015-05-14,135.0,135.0,134.0,135.0,430723,0
99,2015-05-15,134.5,135.25,134.25,135.0,204961,0
100,2015-05-18,135.0,136.25,134.75,136.25,107318,0
101,2015-05-19,136.0,136.5,136.0,136.5,128857,0
102,2015-05-20,136.5,136.5,136.0,136.0,117826,0
103,2015-05-21,136.5,136.75,136.5,136.60001,68580,0
104,2015-05-22,136.87,136.87,136.45,136.64999,438720,0
105,2015-05-26,137.0,137.75,136.5,137.0,430764,0
106,2015-05-27,137.0,137.0,135.5,135.5,378844,0
107,2015-05-28,134.75,135.0,134.25,135.0,184408,0
108,2015-05-29,135.0,135.0,133.5,133.5,196004,0
109,2015-06-01,134.0,134.0,133.0,133.0,254662,0
110,2015-06-02,133.5,133.8,133.0,133.5,283330,0
111,2015-06-03,133.5,136.0,133.5,135.75,33930,0
112,2015-06-04,135.75,135.75,134.5,134.5,414203,0
113,2015-06-05,134.5,134.5,134.0,134.0,287762,0
114,2015-06-08,134.0,134.0,133.9,133.89999,118477,0
115,2015-06-09,133.5,134.0,133.5,134.0,194373,0
116,2015-06-10,133.5,133.5,132.5,132.5,321290,0
117,2015-06-11,133.0,133.25,132.0,132.0,483414,0
118,2015-06-12,132.0,132.5,132.0,132.5,90822,0
119,2015-06-15,132.75,133.25,132.75,133.25,70580,0
120,2015-06-16,133.25,133.5,133.0,133.5,72954,0
121,2015-06-17,132.0,132.0,130.0,130.0,542977,0
122,2015-06-18,129.55,129.85,129.0,129.75,271375,0
123,2015-06-19,129.0,129.4,128.95,128.95,128507,0
124,2015-06-22,129.25,129.5,128.5,129.0,215524,0
125,2015-06-23,129.39999,129.5,128.0,128.0,193830,0
126,2015-06-24,128.0,128.0,127.85,127.85,25391,0
127,2015-06-25,121.5,121.5,121.0,121.0,54722,0
128,2015-06-26,121.0,121.0,120.0,121.0,174039,0
129,2015-06-29,119.0,119.0,118.0,118.0,91508,0
130,2015-06-30,119.0,119.0,118.0,119.0,220627,0
131,2015-07-01,120.0,121.5,119.5,121.5,481496,0
132,2015-07-02,121.0,121.0,120.0,120.25,170671,0
133,2015-07-03,120.5,122.0,120.5,121.0,78992,0
134,2015-07-06,121.0,121.25,120.25,121.0,104305,0
135,2015-07-07,121.0,121.0,120.55,121.0,229110,0
136,2015-07-08,121.0,121.0,120.5,121.0,287628,0
137,2015-07-10,121.5,121.5,121.0,121.5,227371,0
138,2015-07-13,122.0,123.0,122.0,122.0,412101,0
139,2015-07-14,122.5,123.25,122.5,123.0,382357,0
140,2015-07-15,123.5,124.75,123.5,124.75,713934,0
141,2015-07-16,125.0,132.0,125.0,128.0,279607,0
142,2015-07-17,127.0,129.0,127.0,129.0,413494,0
143,2015-07-20,128.5,129.0,128.0,128.3,494208,0
144,2015-07-21,128.5,128.5,127.0,127.0,278252,0
145,2015-07-22,125.5,126.0,125.5,126.0,141192,0
146,2015-07-23,125.0,125.5,125.0,125.0,179697,0
147,2015-07-24,124.0,126.0,124.0,126.0,96060,0
148,2015-07-27,126.0,126.0,125.0,125.0,112182,0
149,2015-07-28,124.25,124.25,124.0,124.0,19024,0
150,2015-07-29,124.0,124.0,123.5,123.5,47557,0
151,2015-07-30,123.0,125.0,123.0,125.0,114729,0
152,2015-07-31,125.0,125.0,125.0,125.0,7871,0
153,2015-08-03,124.8,124.8,123.0,123.0,55757,0
154,2015-08-04,121.2,123.75,121.2,123.75,21165,0
155,2015-08-05,125.5,125.5,124.25,125.0,99282,0
156,2015-08-06,125.5,126.6,125.0,126.6,437517,0
157,2015-08-07,130.0,130.0,126.5,126.5,87929,0
158,2015-08-11,127.0,128.5,127.0,128.5,130983,0
159,2015-08-12,127.5,128.5,127.5,128.5,198177,0
160,2015-08-13,130.0,133.0,130.0,133.0,61913,0
161,2015-08-14,130.0,130.0,130.0,130.0,12796,0
162,2015-08-18,131.0,131.5,130.0,131.5,25365,0
163,2015-08-19,130.95,131.25,130.95,131.25,24064,0
164,2015-08-20,130.75,130.75,129.5,129.5,78178,0
165,2015-08-21,128.5,128.5,128.0,128.0,81147,0
166,2015-08-24,122.0,127.0,122.0,127.0,219897,0
167,2015-08-25,127.0,128.0,127.0,128.0,279805,0
168,2015-08-26,127.5,127.8,127.0,127.8,173081,0
169,2015-08-27,127.5,128.0,127.0,127.0,118315,0
170,2015-08-28,127.0,127.0,127.0,127.0,28900,0
171,2015-08-31,128.0,128.0,127.5,127.9,215668,0
172,2015-09-01,126.5,126.5,126.5,126.5,21420,0
