,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,0.7600399999999999,0.76647,0.7579,0.7579,36862,0
1,2005-01-04,0.76432,0.76432,0.7450600000000001,0.74934,104271,0
2,2005-01-05,0.71722,0.71722,0.71722,0.71722,16946,0
3,2005-01-06,0.71722,0.71722,0.71722,0.71722,26287,0
4,2005-01-07,0.71722,0.71722,0.71508,0.71508,49510,0
5,2005-01-10,0.7108,0.7108,0.7108,0.7108,6025,0
6,2005-01-11,0.71722,0.71722,0.70652,0.71508,60860,0
7,2005-01-12,0.7086600000000001,0.7086600000000001,0.68083,0.69367,142954,0
8,2005-01-13,0.70224,0.70224,0.69367,0.69367,98834,0
9,2005-01-14,0.69153,0.69367,0.68511,0.69367,48067,0
10,2005-01-17,0.69367,0.69367,0.68511,0.68939,88572,0
11,2005-01-18,0.68939,0.68939,0.68939,0.68939,20033,0
12,2005-01-19,0.68939,0.68939,0.68511,0.68511,59609,0
13,2005-01-20,0.6744,0.6744,0.6701199999999999,0.6701199999999999,17039,0
14,2005-01-21,0.6744,0.67869,0.6701199999999999,0.67869,56129,0
15,2005-01-24,0.68511,0.69153,0.68083,0.69153,81169,0
16,2005-01-26,0.68511,0.69581,0.67869,0.69581,66325,0
17,2005-01-27,0.68511,0.68511,0.68511,0.68511,18580,0
18,2005-01-28,0.68939,0.68939,0.68511,0.68511,35377,0
19,2005-01-31,0.6744,0.67655,0.6637,0.67655,42168,0
20,2005-02-01,0.66798,0.66798,0.66156,0.66156,111291,0
21,2005-02-02,0.66156,0.66156,0.65514,0.65942,161852,0
22,2005-02-03,0.65942,0.65942,0.65514,0.65942,87367,0
23,2005-02-04,0.65514,0.67655,0.65514,0.67655,65895,0
24,2005-02-07,0.68083,0.68297,0.65728,0.65728,100800,0
25,2005-02-08,0.6637,0.6637,0.64871,0.65942,158998,0
26,2005-02-09,0.65514,0.65942,0.62302,0.62516,359548,0
27,2005-02-10,0.63159,0.64657,0.62302,0.6358699999999999,331743,0
28,2005-02-11,0.63159,0.6358699999999999,0.62302,0.63373,236524,0
29,2005-02-14,0.63373,0.63373,0.62516,0.63373,313807,0
30,2005-02-15,0.63159,0.64015,0.62516,0.63373,203048,0
31,2005-02-16,0.63373,0.63373,0.62516,0.62516,197373,0
32,2005-02-17,0.62516,0.63159,0.62516,0.6273,187714,0
33,2005-02-18,0.6273,0.6273,0.59947,0.59947,544773,0
34,2005-02-21,0.59947,0.60375,0.55237,0.56093,642714,0
35,2005-02-22,0.55665,0.56093,0.54166,0.55665,434650,0
36,2005-02-23,0.55665,0.61232,0.55665,0.59947,782362,0
37,2005-02-24,0.6101800000000001,0.62516,0.6058899999999999,0.61232,264708,0
38,2005-02-25,0.62088,0.62944,0.62088,0.6273,159755,0
39,2005-02-28,0.65299,0.68939,0.65299,0.6701199999999999,899556,0
40,2005-03-01,0.6744,0.70652,0.6744,0.68725,272134,0
41,2005-03-02,0.68725,0.70438,0.6744,0.6744,131254,0
42,2005-03-03,0.68083,0.68511,0.67869,0.67869,110100,0
43,2005-03-04,0.67869,0.68939,0.67869,0.67869,112477,0
44,2005-03-07,0.68297,0.68297,0.67869,0.67869,39066,0
45,2005-03-08,0.67869,0.68511,0.6701199999999999,0.6701199999999999,76302,0
