,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2006-04-27,36.45,36.575,36.35,36.5,671092,0
1,2006-04-28,37.0,37.4,36.9,37.4,389936,0
2,2006-05-02,37.15,38.45,37.15,38.375,307356,0
3,2006-05-03,38.25,38.25,37.4,38.25,208966,0
4,2006-05-04,38.3,38.5,37.5,38.0,235688,0
5,2006-05-05,38.6,39.65,38.6,39.625,297446,0
6,2006-05-08,40.0,40.0,38.75,39.25,139538,0
7,2006-05-09,39.5,40.0,39.3,39.6,146000,0
8,2006-05-10,39.75,39.9,39.4,39.9,92060,0
9,2006-05-11,40.0,40.15,39.0,39.5,143234,0
10,2006-05-12,39.0,39.25,37.7,39.25,146784,0
11,2006-05-15,37.5,37.5,35.9,36.975,235872,0
12,2006-05-16,37.5,37.55,36.75,37.3,70842,0
13,2006-05-17,36.75,36.75,35.0,35.75,83496,0
14,2006-05-18,36.15,36.15,34.5,34.85,101940,0
15,2006-05-19,34.85,34.85,33.5,34.6,131714,0
16,2006-05-22,34.25,34.25,31.5,32.5,52658,0
17,2006-05-23,34.1,34.5,32.5,32.55,71130,0
18,2006-05-24,32.5,32.5,31.0,31.9,119020,0
19,2006-05-26,34.0,35.05,33.4,35.0,92974,0
20,2006-05-29,36.0,36.125,35.95,36.0,29970,0
21,2006-05-30,33.9,33.9,33.0,33.25,91612,0
22,2006-05-31,34.0,34.0,33.1,33.425,46584,0
23,2006-06-01,33.25,34.1,33.25,34.0,29770,0
24,2006-06-02,34.325,34.45,33.625,34.3,25572,0
25,2006-06-05,34.15,34.15,32.8,33.0,18524,0
26,2006-06-06,32.975,32.975,31.75,32.85,78252,0
27,2006-06-07,32.5,32.5,31.8,31.8,28546,0
28,2006-06-08,30.5,31.5,29.4,31.5,129710,0
29,2006-06-09,31.0,31.0,30.0,30.25,30396,0
30,2006-06-12,29.75,30.0,28.5,28.5,139856,0
31,2006-06-13,28.5,28.5,26.75,27.15,88088,0
32,2006-06-14,27.75,28.2,26.75,27.975,52136,0
33,2006-06-15,29.45,30.3,29.45,30.3,74286,0
34,2006-06-16,30.15,30.6,29.5,30.425,58778,0
35,2006-06-20,30.0,30.3,29.5,29.55,16000,0
36,2006-06-21,29.75,30.9,29.75,30.5,38852,0
37,2006-06-22,30.6,30.875,30.5,30.5,23008,0
38,2006-06-23,30.5,32.0,30.5,31.55,43050,0
39,2006-06-26,31.55,31.55,31.1,31.35,285976,0
40,2006-06-27,32.0,32.0,31.1,31.1,346944,0
41,2006-06-28,31.95,31.95,31.5,31.8,20234,0
42,2006-06-29,32.5,33.85,32.35,33.85,62634,0
43,2006-06-30,34.5,34.5,33.8,34.4,42518,0
44,2006-07-03,34.4,34.5,33.9,34.0,9950,0
45,2006-07-04,34.4,34.5,34.0,34.5,2270,0
46,2006-07-05,33.0,33.95,33.0,33.6,48394,0
47,2006-07-06,34.0,34.2,34.0,34.0,30196,0
48,2006-07-07,34.25,34.5,33.45,33.45,77404,0
49,2006-07-10,33.9,34.2,33.375,33.4,37058,0
50,2006-07-11,33.4,34.475,33.35,34.475,30502,0
51,2006-07-12,34.6,34.85,34.25,34.5,66390,0
52,2006-07-13,34.75,34.75,33.35,33.975,23094,0
53,2006-07-14,33.975,34.5,33.6,34.5,34406,0
54,2006-07-17,34.0,34.0,32.9,33.1,234988,0
55,2006-07-18,33.2,33.2,32.7,33.075,30520,0
56,2006-07-19,33.75,34.1,33.5,33.9,55786,0
57,2006-07-20,33.95,33.95,33.0,33.25,7736,0
58,2006-07-21,32.75,32.95,32.5,32.5,9748,0
59,2006-07-24,33.325,34.25,33.325,34.0,36940,0
60,2006-07-25,34.5,34.5,33.5,34.15,15468,0
61,2006-07-26,34.15,34.9,34.15,34.9,34798,0
62,2006-07-27,35.0,35.25,34.8,35.025,36004,0
63,2006-07-28,35.0,35.6,35.0,35.6,70528,0
64,2006-07-31,35.5,35.5,35.1,35.45,8836,0
65,2006-08-01,35.4,35.4,34.75,35.1,6430,0
