,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-09-28,1.0,1.1,1.0,1.1,62100,0
1,2005-09-29,1.21,1.43,1.21,1.43,24000,0
2,2005-09-30,1.57,1.57,1.46,1.46,27070,0
3,2005-10-03,1.43,1.43,1.35,1.35,8380,0
4,2005-10-04,1.3,1.4,1.3,1.4,34750,0
5,2005-10-06,1.4,1.4,1.4,1.4,2500,0
6,2005-10-07,1.3,1.3,1.3,1.3,2500,0
7,2005-10-11,1.35,1.35,1.35,1.35,2600,0
8,2005-10-12,1.28,1.28,1.28,1.28,6500,0
9,2005-10-13,1.2,1.2,1.2,1.2,3200,0
10,2005-10-14,1.22,1.24,1.22,1.24,23400,0
11,2005-10-17,1.25,1.25,1.22,1.22,4000,0
12,2005-10-19,1.2,1.2,1.2,1.2,2000,0
13,2005-10-21,1.25,1.28,1.25,1.28,2000,0
14,2005-10-24,1.3,1.35,1.3,1.35,13200,0
15,2005-10-25,1.36,1.37,1.36,1.37,18000,0
16,2005-10-26,1.33,1.36,1.33,1.36,49985,0
17,2005-10-27,1.3,1.3,1.3,1.3,5000,0
18,2005-10-28,1.3,1.3,1.29,1.29,4885,0
19,2005-10-31,1.3,1.3,1.3,1.3,25000,0
20,2005-11-01,1.29,1.29,1.29,1.29,1500,0
21,2005-11-02,1.29,1.29,1.28,1.28,29275,0
22,2005-11-03,1.29,1.29,1.27,1.27,2500,0
23,2005-11-04,1.25,1.27,1.25,1.27,24115,0
24,2005-11-07,1.2,1.2,1.2,1.2,11000,0
25,2005-11-08,1.2,1.2,1.2,1.2,1000,0
26,2005-11-10,1.0,1.04,1.0,1.04,37600,0
27,2005-11-11,1.04,1.04,1.01,1.04,42000,0
28,2005-11-14,1.05,1.1,1.05,1.1,24500,0
29,2005-11-15,1.04,1.04,1.04,1.04,10000,0
30,2005-11-16,1.02,1.02,1.02,1.02,1700,0
31,2005-11-17,1.04,1.05,1.02,1.05,21050,0
32,2005-11-18,1.05,1.05,1.05,1.05,20180,0
33,2005-11-21,1.08,1.08,1.08,1.08,8000,0
34,2005-11-22,1.1,1.13,1.08,1.08,19310,0
35,2005-11-23,1.1,1.1,1.05,1.05,24500,0
36,2005-11-24,1.1,1.1,1.1,1.1,20000,0
37,2005-11-25,1.1,1.15,1.1,1.14,65800,0
38,2005-11-28,1.05,1.09,1.05,1.09,22700,0
39,2005-11-29,1.1,1.1,1.05,1.07,17300,0
40,2005-11-30,1.09,1.09,1.05,1.05,18675,0
41,2005-12-01,1.08,1.1,1.05,1.06,23270,0
42,2005-12-02,1.06,1.06,1.06,1.06,21691,0
43,2005-12-07,1.07,1.07,1.0,1.03,41000,0
44,2005-12-09,1.0,1.0,0.96,0.98,47033,0
45,2005-12-12,0.95,0.95,0.95,0.95,22230,0
46,2005-12-13,0.95,0.95,0.95,0.95,2700,0
47,2005-12-16,0.95,0.95,0.95,0.95,17100,0
48,2005-12-20,0.9,0.9,0.9,0.9,13050,0
49,2005-12-21,0.9,0.9,0.9,0.9,10000,0
50,2005-12-27,0.88,0.88,0.88,0.88,20000,0
51,2005-12-28,0.91,0.91,0.91,0.91,17500,0
52,2005-12-29,0.99,1.1,0.99,1.1,96300,0
53,2006-01-02,1.11,1.2,1.1,1.1,135299,0
54,2006-01-03,1.11,1.11,1.1,1.1,13570,0
55,2006-01-04,1.1,1.1,1.1,1.1,18500,0
56,2006-01-05,1.1,1.1,1.01,1.01,25502,0
57,2006-01-06,1.01,1.06,1.01,1.06,6310,0
58,2006-01-09,1.13,1.13,1.13,1.13,3500,0
59,2006-01-11,1.12,1.12,1.12,1.12,3190,0
60,2006-01-12,1.03,1.07,1.03,1.05,352295,0
61,2006-01-13,1.05,1.11,1.05,1.1,15400,0
62,2006-01-16,1.12,1.15,1.1,1.12,45964,0
63,2006-01-17,1.1,1.1,1.1,1.1,23455,0
64,2006-01-18,1.1,1.11,1.1,1.1,114461,0
65,2006-01-19,1.12,1.12,1.12,1.12,5000,0
66,2006-01-20,1.14,1.14,1.14,1.14,3000,0
67,2006-01-23,1.13,1.13,1.09,1.09,5500,0
68,2006-01-24,1.09,1.09,1.09,1.09,16670,0
69,2006-01-26,1.09,1.1,1.08,1.1,67707,0
70,2006-01-27,1.1,1.1,1.1,1.1,9800,0
71,2006-02-03,1.04,1.06,1.04,1.04,79602,0
72,2006-02-06,1.04,1.04,1.04,1.04,7208,0
73,2006-02-09,1.02,1.04,1.0,1.04,6000,0
74,2006-02-13,1.02,1.04,1.02,1.04,10270,0
75,2006-02-17,1.0,1.01,1.0,1.01,17100,0
76,2006-02-20,1.01,1.03,1.0,1.0,57800,0
77,2006-02-21,1.06,1.06,1.02,1.02,12993,0
78,2006-02-22,1.0,1.0,1.0,1.0,5000,0
79,2006-02-23,1.0,1.0,1.0,1.0,4620,0
80,2006-02-27,1.01,1.01,1.01,1.01,2000,0
81,2006-02-28,1.01,1.01,1.0,1.0,16042,0
82,2006-03-01,0.9,0.94,0.9,0.94,92482,0
83,2006-03-02,0.95,0.95,0.95,0.95,9484,0
84,2006-03-03,0.955,0.955,0.94,0.94,15500,0
85,2006-03-06,0.94,0.94,0.94,0.94,5200,0
86,2006-03-07,0.93,0.93,0.9,0.9,20520,0
87,2006-03-08,0.88,0.88,0.88,0.88,14420,0
88,2006-03-09,0.9,0.9,0.9,0.9,3000,0
89,2006-03-10,0.88,0.88,0.88,0.88,3000,0
90,2006-03-14,0.85,0.89,0.85,0.88,9000,0
91,2006-03-15,0.86,0.86,0.85,0.85,6530,0
92,2006-03-16,0.85,0.85,0.85,0.85,2975,0
93,2006-03-17,0.87,0.94,0.87,0.94,28710,0
94,2006-03-20,0.98,0.99,0.95,0.96,72000,0
95,2006-03-21,0.98,1.0,0.98,0.98,11925,0
96,2006-03-22,0.99,0.99,0.96,0.96,7449,0
97,2006-03-23,0.95,0.98,0.95,0.98,6000,0
98,2006-03-27,1.0,1.0,1.0,1.0,9892,0
99,2006-03-30,1.0,1.0,1.0,1.0,2500,0
100,2006-04-03,0.98,0.98,0.98,0.98,3750,0
101,2006-04-06,0.98,0.98,0.98,0.98,18905,0
102,2006-04-07,0.96,0.97,0.96,0.97,5000,0
103,2006-04-11,0.95,0.95,0.9,0.91,12000,0
104,2006-04-17,0.95,0.97,0.95,0.97,12490,0
105,2006-04-18,0.97,0.97,0.97,0.97,6030,0
106,2006-04-19,0.97,0.97,0.94,0.94,10470,0
