,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.04,1.04,1.035,1.035,8140,0
1,2005-01-04,1.03,1.03,1.03,1.03,9650,0
2,2005-01-05,1.025,1.025,1.015,1.015,132050,0
3,2005-01-06,1.015,1.025,1.015,1.02,33250,0
4,2005-01-07,1.02,1.02,1.02,1.02,10000,0
5,2005-01-10,1.025,1.025,1.02,1.025,91870,0
6,2005-01-11,1.03,1.035,1.03,1.035,2100880,0
7,2005-01-12,1.035,1.05,1.035,1.05,2078600,0
8,2005-01-13,1.055,1.065,1.055,1.065,286400,0
9,2005-01-14,1.065,1.065,1.065,1.065,297350,0
10,2005-01-17,1.065,1.065,1.065,1.065,50000,0
11,2005-01-18,1.06,1.07,1.06,1.06,42240,0
12,2005-01-19,1.07,1.07,1.065,1.065,35920,0
13,2005-01-20,1.06,1.06,1.06,1.06,34400,0
14,2005-01-21,1.065,1.065,1.065,1.065,30180,0
15,2005-01-24,1.06,1.065,1.06,1.065,12500,0
16,2005-01-25,1.065,1.075,1.065,1.065,2660000,0
17,2005-01-26,1.065,1.095,1.065,1.095,64500,0
18,2005-01-27,1.095,1.1,1.085,1.1,133490,0
19,2005-01-28,1.1,1.1,1.1,1.1,15460,0
20,2005-01-31,1.1,1.1,1.1,1.1,14700,0
21,2005-02-01,1.1,1.105,1.1,1.105,38460,0
22,2005-02-02,1.105,1.105,1.1,1.1,16000,0
23,2005-02-03,1.11,1.115,1.105,1.105,174800,0
24,2005-02-04,1.115,1.12,1.11,1.12,298650,0
25,2005-02-07,1.13,1.13,1.12,1.125,106000,0
26,2005-02-08,1.12,1.165,1.12,1.165,1050740,0
27,2005-02-09,1.175,1.18,1.175,1.18,1041000,0
28,2005-02-10,1.175,1.175,1.165,1.175,123770,0
29,2005-02-11,1.18,1.185,1.175,1.185,148390,0
30,2005-02-14,1.185,1.215,1.185,1.215,878730,0
31,2005-02-15,1.335,1.42,1.335,1.42,2919760,0
32,2005-02-16,1.45,1.63,1.445,1.62,2955510,0
33,2005-02-17,1.6,1.8,1.57,1.72,2698600,0
34,2005-02-18,1.7,1.735,1.695,1.7,1398160,0
35,2005-02-21,1.7,1.705,1.685,1.685,223290,0
36,2005-02-22,1.685,1.685,1.675,1.675,219690,0
37,2005-02-23,1.68,1.7,1.68,1.69,347450,0
38,2005-02-24,1.7,1.72,1.69,1.72,213110,0
39,2005-02-25,1.725,1.8,1.725,1.8,1014980,0
40,2005-02-28,1.8,1.815,1.8,1.8,791420,0
41,2005-03-01,1.79,1.8,1.785,1.785,102620,0
42,2005-03-02,1.82,1.82,1.79,1.8,53310,0
43,2005-03-03,1.8,1.805,1.795,1.805,106440,0
44,2005-03-04,1.805,1.805,1.795,1.795,89940,0
45,2005-03-07,1.8,1.8,1.79,1.795,136070,0
46,2005-03-08,1.795,1.81,1.795,1.805,228120,0
47,2005-03-09,1.8,1.81,1.78,1.78,72760,0
48,2005-03-10,1.61,1.61,1.585,1.605,310650,0
49,2005-03-11,1.625,1.65,1.625,1.625,73470,0
50,2005-03-14,1.6,1.6,1.55,1.55,231180,0
51,2005-03-15,1.55,1.65,1.55,1.61,110940,0
52,2005-03-16,1.605,1.64,1.605,1.64,3050,0
53,2005-03-17,1.64,1.7,1.64,1.7,143360,0
54,2005-03-18,1.7,1.85,1.7,1.75,47910,0
55,2005-03-21,1.7,1.7,1.64,1.67,23840,0
56,2005-03-22,1.67,1.67,1.6,1.6,12730,0
57,2005-03-28,1.59,1.59,1.59,1.59,3000,0
58,2005-03-29,1.55,1.555,1.55,1.555,19370,0
59,2005-03-31,1.555,1.555,1.555,1.555,4600,0
60,2005-04-06,1.45,1.475,1.45,1.475,39320,0
61,2005-04-07,1.425,1.45,1.425,1.44,101450,0
62,2005-04-08,1.42,1.45,1.42,1.45,1031600,0
63,2005-04-11,1.45,1.45,1.45,1.45,2530,0
64,2005-04-13,1.43,1.43,1.43,1.43,2700,0
65,2005-04-14,1.38,1.38,1.38,1.38,2540,0
66,2005-04-15,1.39,1.39,1.39,1.39,2060,0
67,2005-04-19,1.38,1.38,1.335,1.335,42240,0
68,2005-04-20,1.4,1.4,1.39,1.4,1018180,0
69,2005-04-21,1.45,1.54,1.45,1.54,122560,0
70,2005-04-22,1.57,1.59,1.56,1.56,41410,0
71,2005-04-25,1.6,1.62,1.6,1.6,45200,0
72,2005-04-27,1.6,1.6,1.6,1.6,3260,0
73,2005-04-29,1.6,1.6,1.5,1.58,22610,0
74,2005-05-02,1.58,1.58,1.58,1.58,99000,0
75,2005-05-03,1.6,1.6,1.6,1.6,49730,0
76,2005-05-04,1.6,1.625,1.6,1.62,62770,0
77,2005-05-05,1.62,1.625,1.6,1.6,505520,0
78,2005-05-11,1.58,1.58,1.55,1.55,12180,0
79,2005-05-13,1.55,1.6,1.55,1.6,477000,0
80,2005-05-16,1.6,1.6,1.6,1.6,15780,0
81,2005-05-17,1.6,1.6,1.6,1.6,17150,0
82,2005-05-18,1.6,1.61,1.6,1.6,34770,0
83,2005-05-19,1.61,1.61,1.6,1.6,7870,0
84,2005-05-23,1.6,1.61,1.6,1.61,548010,0
85,2005-05-24,1.61,1.64,1.6,1.64,244800,0
86,2005-05-30,1.64,1.665,1.64,1.665,78520,0
87,2005-05-31,1.64,1.64,1.57,1.575,148840,0
88,2005-06-01,1.575,1.59,1.575,1.575,33190,0
89,2005-06-02,1.575,1.6,1.575,1.6,1094550,0
90,2005-06-03,1.52,1.52,1.48,1.48,22560,0
91,2005-06-06,1.5,1.5,1.48,1.5,21990,0
92,2005-06-07,1.5,1.5,1.5,1.5,2750,0
93,2005-06-08,1.5,1.5,1.4,1.4,16980,0
94,2005-06-09,1.41,1.41,1.41,1.41,5830,0
95,2005-06-10,1.4,1.4,1.4,1.4,7100,0
96,2005-06-13,1.41,1.41,1.41,1.41,14150,0
97,2005-06-14,1.41,1.435,1.41,1.435,5000,0
98,2005-06-16,1.485,1.5,1.485,1.495,9900,0
99,2005-06-17,1.45,1.49,1.45,1.49,10680,0
100,2005-06-21,1.49,1.49,1.49,1.49,63330,0
101,2005-06-22,1.49,1.49,1.49,1.49,4910,0
102,2005-06-23,1.45,1.45,1.45,1.45,315670,0
103,2005-06-24,1.41,1.49,1.4,1.49,28430,0
104,2005-06-28,1.47,1.47,1.47,1.47,10000,0
105,2005-06-29,1.45,1.45,1.45,1.45,8400,0
106,2005-06-30,1.4,1.4,1.4,1.4,27940,0
107,2005-07-04,1.4,1.4,1.4,1.4,5850,0
108,2005-07-05,1.405,1.405,1.38,1.385,9470,0
109,2005-07-08,1.35,1.35,1.35,1.35,16710,0
110,2005-07-11,1.35,1.35,1.35,1.35,3000,0
111,2005-07-12,1.35,1.35,1.31,1.32,13960,0
112,2005-07-13,1.275,1.275,1.23,1.245,49650,0
113,2005-07-14,1.3,1.33,1.3,1.33,15230,0
114,2005-07-15,1.36,1.37,1.34,1.34,93150,0
115,2005-07-18,1.35,1.36,1.35,1.36,29100,0
116,2005-07-19,1.39,1.39,1.34,1.34,15730,0
117,2005-07-20,1.35,1.35,1.33,1.33,17900,0
118,2005-07-21,1.33,1.33,1.33,1.33,9450,0
119,2005-07-22,1.3,1.3,1.3,1.3,24280,0
120,2005-07-25,1.26,1.26,1.17,1.17,163640,0
121,2005-07-26,1.17,1.2,1.11,1.2,197140,0
122,2005-07-27,1.25,1.25,1.22,1.24,30250,0
123,2005-07-28,1.3,1.32,1.22,1.23,60810,0
124,2005-07-29,1.2,1.2,1.2,1.2,3610,0
125,2005-08-01,1.22,1.22,1.2,1.2,55770,0
126,2005-08-02,1.25,1.25,1.21,1.21,20480,0
127,2005-08-03,1.275,1.275,1.22,1.25,247810,0
128,2005-08-04,1.26,1.27,1.25,1.27,37250,0
129,2005-08-05,1.27,1.37,1.27,1.37,265520,0
130,2005-08-08,1.34,1.34,1.31,1.31,75270,0
131,2005-08-09,1.32,1.36,1.32,1.34,31860,0
132,2005-08-10,1.35,1.42,1.35,1.42,97700,0
133,2005-08-11,1.45,1.45,1.42,1.42,121570,0
134,2005-08-12,1.425,1.425,1.4,1.42,221020,0
135,2005-08-16,1.435,1.435,1.435,1.435,75000,0
136,2005-08-17,1.42,1.45,1.42,1.45,83810,0
137,2005-08-18,1.46,1.49,1.46,1.46,35280,0
138,2005-08-19,1.46,1.46,1.46,1.46,31500,0
139,2005-08-22,1.46,1.46,1.45,1.46,15480,0
140,2005-08-23,1.46,1.46,1.42,1.42,16460,0
141,2005-08-24,1.425,1.46,1.425,1.46,6480,0
142,2005-08-26,1.42,1.42,1.4,1.4,10510,0
143,2005-08-29,1.35,1.37,1.3,1.37,173260,0
144,2005-08-30,1.36,1.36,1.3,1.32,46490,0
145,2005-08-31,1.32,1.32,1.29,1.29,141280,0
146,2005-09-01,1.31,1.31,1.26,1.285,34600,0
147,2005-09-02,1.29,1.29,1.285,1.285,17500,0
148,2005-09-06,1.285,1.285,1.285,1.285,28000,0
149,2005-09-07,1.2,1.24,1.2,1.24,30650,0
150,2005-09-08,1.26,1.28,1.22,1.245,465050,0
151,2005-09-09,1.245,1.25,1.245,1.25,26100,0
152,2005-09-12,1.25,1.26,1.25,1.25,30850,0
153,2005-09-14,1.25,1.25,1.24,1.25,75000,0
154,2005-09-15,1.25,1.25,1.25,1.25,39600,0
155,2005-09-16,1.25,1.25,1.25,1.25,3000,0
156,2005-09-19,1.25,1.25,1.24,1.24,203250,0
157,2005-09-20,1.24,1.25,1.2,1.2,180820,0
158,2005-09-21,1.2,1.29,1.2,1.29,105350,0
159,2005-09-22,1.29,1.29,1.26,1.26,53700,0
160,2005-09-23,1.27,1.29,1.27,1.29,16150,0
161,2005-09-26,1.29,1.3,1.29,1.3,37240,0
162,2005-09-27,1.28,1.28,1.28,1.28,26250,0
163,2005-09-28,1.28,1.28,1.28,1.28,4480,0
164,2005-09-29,1.27,1.27,1.25,1.25,87400,0
165,2005-09-30,1.25,1.25,1.22,1.225,34190,0
166,2005-10-03,1.23,1.25,1.205,1.245,54100,0
167,2005-10-04,1.27,1.27,1.22,1.22,17960,0
168,2005-10-05,1.235,1.245,1.2,1.245,12090,0
169,2005-10-06,1.245,1.245,1.2,1.2,7770,0
170,2005-10-07,1.23,1.23,1.22,1.22,77360,0
171,2005-10-12,1.22,1.22,1.22,1.22,38100,0
172,2005-10-13,1.2,1.2,1.19,1.2,6410,0
