,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2007-03-22,0.12293,0.12703,0.12293,0.12586,254827,0
1,2007-03-23,0.1241,0.12703,0.1241,0.12703,483517,0
2,2007-03-27,0.12878,0.12878,0.12586,0.12586,183796,0
3,2007-03-28,0.12586,0.12995,0.12586,0.12995,1079115,0
4,2007-03-29,0.13464,0.13932,0.13464,0.13932,657695,0
5,2007-03-30,0.14634,0.1481,0.14165999999999998,0.1481,1240361,0
6,2007-04-03,0.1481,0.16274,0.1481,0.15980999999999998,1268992,0
7,2007-04-04,0.16508,0.16508,0.16097999999999998,0.16097999999999998,286174,0
8,2007-04-09,0.16097999999999998,0.16097999999999998,0.15805,0.15805,156548,0
9,2007-04-10,0.15805,0.15805,0.1522,0.1522,124279,0
10,2007-04-11,0.1522,0.15337,0.14927,0.1522,107537,0
11,2007-04-13,0.14634,0.1481,0.14634,0.1481,105914,0
12,2007-04-16,0.14634,0.14634,0.14342,0.14342,158018,0
13,2007-04-17,0.14049,0.14282999999999998,0.13756,0.14282999999999998,263505,0
14,2007-04-18,0.14165999999999998,0.14165999999999998,0.14049,0.14049,97065,0
15,2007-04-19,0.14049,0.14049,0.14049,0.14049,83006,0
16,2007-04-20,0.14049,0.14049,0.13698,0.13698,243176,0
17,2007-04-23,0.13522,0.13522,0.12878,0.12878,121597,0
18,2007-04-24,0.12878,0.13756,0.12878,0.13756,380472,0
19,2007-04-25,0.14049,0.14049,0.13756,0.14049,472874,0
20,2007-04-27,0.13873,0.14282999999999998,0.13873,0.14282999999999998,191039,0
21,2007-04-30,0.14459,0.14634,0.14400000000000002,0.14634,122382,0
22,2007-05-02,0.14634,0.14869000000000002,0.14225,0.14225,458217,0
23,2007-05-04,0.13756,0.14049,0.13464,0.14049,384264,0
24,2007-05-08,0.13873,0.13873,0.13405,0.13756,378371,0
25,2007-05-09,0.14049,0.14049,0.13581,0.14049,132393,0
26,2007-05-10,0.13522,0.14049,0.13522,0.14049,138235,0
27,2007-05-11,0.14049,0.14576,0.14049,0.14576,234737,0
28,2007-05-14,0.13932,0.14049,0.13756,0.13873,131044,0
29,2007-05-15,0.13932,0.13932,0.13873,0.13873,98005,0
30,2007-05-16,0.13873,0.14225,0.13873,0.14225,50241,0
31,2007-05-17,0.13873,0.13873,0.13756,0.13873,70433,0
32,2007-05-21,0.13464,0.13756,0.13464,0.13756,182378,0
33,2007-05-22,0.13639,0.13639,0.13639,0.13639,97766,0
34,2007-05-23,0.13639,0.13639,0.13464,0.13464,368685,0
35,2007-05-24,0.13464,0.13464,0.13347,0.13347,134050,0
