,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2007-07-19,3.3702099999999997,3.3702099999999997,3.3702099999999997,3.3702099999999997,0,0
1,2007-07-20,3.6518300000000004,3.7186800000000004,3.5849800000000003,3.7103300000000004,9347472,0
2,2007-07-23,3.72704,3.74375,3.6351199999999997,3.66019,2165924,0
3,2007-07-24,3.66019,3.66019,3.55155,3.5682699999999996,1726240,0
4,2007-07-25,3.59334,3.6351199999999997,3.5264800000000003,3.6351199999999997,1006387,0
5,2007-07-26,3.59334,3.59334,3.4262,3.4847,1456608,0
6,2007-07-27,3.4847,3.51813,3.4429199999999995,3.4847,720553,0
7,2007-07-30,3.4847,3.55991,3.4512699999999996,3.45963,784077,0
8,2007-07-31,3.5264800000000003,3.5432,3.4679900000000004,3.4679900000000004,1978495,0
9,2007-08-01,3.4512699999999996,3.5097699999999996,3.4262,3.5097699999999996,645606,0
10,2007-08-02,3.5097699999999996,3.55155,3.5097699999999996,3.5097699999999996,391094,0
11,2007-08-03,3.5097699999999996,3.5097699999999996,3.45963,3.45963,88526,0
12,2007-08-06,3.4429199999999995,3.4429199999999995,3.40113,3.4094900000000004,291832,0
13,2007-08-07,3.39278,3.4429199999999995,3.39278,3.4094900000000004,162437,0
14,2007-08-08,3.4262,3.45963,3.4262,3.4262,221892,0
15,2007-08-09,3.3844199999999995,3.4262,3.3092099999999998,3.3092099999999998,670702,0
16,2007-08-10,3.25907,3.25907,3.14208,3.15044,1106228,0
17,2007-08-13,3.20893,3.21729,3.15879,3.20893,254581,0
18,2007-08-14,3.17551,3.1922200000000003,3.05016,3.11701,761374,0
19,2007-08-15,3.05016,3.06687,2.84124,2.90809,406416,0
20,2007-08-16,2.75768,2.75768,2.5905400000000003,2.75768,1360230,0
21,2007-08-17,2.91645,2.91645,2.79946,2.89138,764213,0
22,2007-08-21,2.92481,2.92481,2.84124,2.88302,206724,0
23,2007-08-22,2.94988,2.95823,2.87467,2.89138,353558,0
24,2007-08-23,2.92481,2.95823,2.90809,2.94152,1922456,0
25,2007-08-24,2.94152,3.05851,2.94152,3.05851,2964957,0
26,2007-08-27,3.05851,3.05851,3.00837,3.03344,367031,0
27,2007-08-28,2.99166,2.99166,2.84124,2.84124,790413,0
28,2007-08-29,2.84124,2.92481,2.84124,2.92481,600063,0
29,2007-08-30,2.88302,2.89974,2.85795,2.88302,575401,0
