,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.66,1.67,1.65,1.65,8922,0
1,2005-01-04,1.65,1.65,1.635,1.635,11400,0
2,2005-01-05,1.6,1.635,1.575,1.635,9884,0
3,2005-01-06,1.63,1.63,1.63,1.63,4210,0
4,2005-01-07,1.64,1.64,1.64,1.64,1200,0
5,2005-01-11,1.625,1.625,1.625,1.625,2196,0
6,2005-01-12,1.63,1.63,1.63,1.63,2564,0
7,2005-01-13,1.6,1.67,1.6,1.67,6700,0
8,2005-01-19,1.62,1.665,1.62,1.665,2026,0
9,2005-01-20,1.64,1.64,1.6,1.6,7716,0
10,2005-01-21,1.6,1.625,1.6,1.6,3900,0
11,2005-01-24,1.59,1.6,1.59,1.59,4000,0
12,2005-01-28,1.605,1.61,1.605,1.61,2560,0
13,2005-01-31,1.61,1.61,1.61,1.61,1000,0
14,2005-02-03,1.625,1.625,1.625,1.625,1034,0
15,2005-02-04,1.65,1.66,1.65,1.65,9410,0
16,2005-02-07,1.635,1.635,1.635,1.635,2160,0
17,2005-02-08,1.65,1.65,1.65,1.65,6802,0
18,2005-02-09,1.65,1.65,1.65,1.65,4000,0
19,2005-02-10,1.675,1.675,1.675,1.675,1760,0
20,2005-02-11,1.695,1.7,1.66,1.66,6424,0
21,2005-02-14,1.705,1.705,1.65,1.65,14860,0
22,2005-02-15,1.65,1.675,1.65,1.675,10300,0
23,2005-02-16,1.675,1.675,1.65,1.65,4090,0
24,2005-02-17,1.71,1.71,1.705,1.705,10400,0
25,2005-02-18,1.725,1.725,1.725,1.725,14270,0
26,2005-02-21,1.72,1.72,1.72,1.72,6190,0
27,2005-02-22,1.72,1.725,1.72,1.725,4600,0
28,2005-02-23,1.7,1.7,1.7,1.7,4220,0
29,2005-02-25,1.715,1.715,1.715,1.715,2000,0
30,2005-02-28,1.725,1.725,1.72,1.72,3740,0
31,2005-03-01,1.7,1.7,1.7,1.7,8580,0
32,2005-03-03,1.675,1.7,1.65,1.65,18712,0
33,2005-03-04,1.655,1.67,1.655,1.655,43128,0
34,2005-03-08,1.675,1.725,1.665,1.725,21056,0
35,2005-03-09,1.665,1.675,1.655,1.665,9940,0
36,2005-03-10,1.675,1.675,1.6,1.6,13168,0
37,2005-03-11,1.6,1.605,1.6,1.6,7800,0
38,2005-03-14,1.575,1.575,1.575,1.575,6000,0
39,2005-03-15,1.575,1.575,1.575,1.575,1220,0
40,2005-03-17,1.6,1.63,1.6,1.625,46668,0
41,2005-03-21,1.585,1.585,1.585,1.585,5600,0
42,2005-03-23,1.545,1.55,1.545,1.55,4400,0
43,2005-03-30,1.575,1.6,1.575,1.6,3120,0
44,2005-04-01,1.6,1.6,1.56,1.56,3880,0
45,2005-04-05,1.6,1.6,1.6,1.6,2960,0
46,2005-04-14,1.5,1.54,1.5,1.54,17060,0
47,2005-04-20,1.54,1.54,1.525,1.525,3696,0
48,2005-04-21,1.575,1.575,1.575,1.575,800,0
49,2005-05-02,1.525,1.54,1.525,1.54,44680,0
50,2005-05-03,1.54,1.575,1.5,1.575,12622,0
51,2005-05-04,1.55,1.575,1.55,1.575,3000,0
52,2005-05-06,1.525,1.525,1.525,1.525,1294,0
53,2005-05-11,1.525,1.6,1.525,1.6,5278,0
54,2005-05-13,1.525,1.6,1.5,1.575,44188,0
55,2005-05-18,1.525,1.545,1.525,1.545,2854,0
56,2005-05-19,1.54,1.54,1.54,1.54,2000,0
57,2005-05-23,1.5,1.52,1.5,1.5,9000,0
58,2005-05-24,1.5,1.525,1.5,1.525,13064,0
59,2005-05-26,1.52,1.52,1.52,1.52,2000,0
60,2005-05-27,1.5,1.5,1.475,1.475,19240,0
61,2005-05-30,1.475,1.5,1.475,1.5,6726,0
62,2005-05-31,1.475,1.475,1.46,1.465,47292,0
63,2005-06-01,1.45,1.45,1.45,1.45,94632,0
64,2005-06-02,1.45,1.495,1.45,1.495,19582,0
65,2005-06-03,1.485,1.485,1.485,1.485,3200,0
66,2005-06-15,1.29,1.37,1.29,1.37,16748,0
67,2005-06-16,1.4,1.4,1.39,1.4,8622,0
68,2005-06-21,1.37,1.37,1.37,1.37,3640,0
69,2005-06-22,1.37,1.375,1.365,1.375,9104,0
70,2005-06-23,1.4,1.4,1.4,1.4,1972,0
