,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-05-23,100.0,150.0,100.0,150.0,196066,0
1,2017-05-24,150.0,177.0,140.0,170.95,1157552,0
2,2017-05-26,171.2,194.9,171.2,189.5,676826,0
3,2017-05-29,188.25,189.0,175.5,177.10001,442047,0
4,2017-05-30,175.0,175.0,159.4,159.39999,437496,0
5,2017-05-31,157.0,169.0,152.1,167.2,308584,0
6,2017-06-01,168.0,170.0,156.5,158.0,127574,0
7,2017-06-02,159.0,159.0,153.55,155.5,164099,0
8,2017-06-05,156.89999,156.9,153.0,153.60001,95375,0
9,2017-06-06,158.0,166.0,154.0,164.5,167079,0
10,2017-06-07,166.5,168.95,163.2,163.5,148786,0
11,2017-06-08,165.89999,165.9,156.0,161.10001,47387,0
12,2017-06-09,161.0,165.5,160.0,162.89999,96496,0
13,2017-06-12,162.5,162.5,157.0,158.0,59563,0
14,2017-06-13,158.5,159.0,156.0,158.75,51005,0
15,2017-06-14,160.5,162.0,159.0,161.75,180890,0
16,2017-06-15,161.75,162.1,160.0,161.35001,72277,0
17,2017-06-16,161.5,161.5,159.0,160.39999,27345,0
18,2017-06-19,160.39999,161.0,157.9,158.75,34645,0
19,2017-06-21,148.0,151.0,145.0,148.5,194435,0
20,2017-06-22,149.0,153.0,149.0,150.75,100955,0
21,2017-06-23,150.39999,150.75,149.1,150.5,52036,0
22,2017-06-26,150.5,150.5,149.1,149.7,93495,0
23,2017-06-27,149.5,151.0,149.0,150.0,104046,0
24,2017-06-28,150.0,150.0,149.0,149.14999,91852,0
25,2017-06-29,150.0,150.0,147.0,147.0,56476,0
26,2017-06-30,147.0,148.0,144.5,145.5,56810,0
27,2017-07-03,145.0,145.0,139.0,141.8,82552,0
28,2017-07-04,142.3,144.0,139.5,139.60001,32539,0
29,2017-07-05,140.0,141.0,139.2,139.3,82570,0
30,2017-07-06,139.35001,140.0,134.25,135.45,30111,0
31,2017-07-07,135.45,137.0,130.0,135.10001,58965,0
32,2017-07-10,133.2,135.0,132.85,133.5,25443,0
33,2017-07-11,133.0,133.0,130.55,131.3,38706,0
34,2017-07-12,130.0,130.0,128.3,129.5,57096,0
35,2017-07-13,129.0,134.95,129.0,134.0,104359,0
36,2017-07-14,134.05,139.5,134.05,138.5,141355,0
37,2017-07-17,139.0,140.0,137.0,138.5,131105,0
38,2017-07-18,139.0,142.0,138.0,138.0,86166,0
39,2017-07-19,138.5,142.15,136.4,142.0,92747,0
40,2017-07-20,142.05,142.05,138.0,139.5,51060,0
41,2017-07-21,139.5,140.0,138.5,139.75,49639,0
42,2017-07-24,139.0,141.5,138.0,140.0,72823,0
43,2017-07-25,140.2,140.2,138.5,139.0,44638,0
44,2017-07-26,140.0,141.4,138.5,140.0,45983,0
45,2017-07-27,141.0,141.0,140.0,140.85001,16451,0
46,2017-07-28,142.0,142.0,141.0,141.0,42558,0
47,2017-07-31,141.0,141.5,140.5,141.25,27819,0
48,2017-08-01,141.2,142.0,140.5,141.0,31528,0
49,2017-08-02,141.0,141.0,139.1,139.5,14066,0
50,2017-08-03,139.89999,141.0,139.3,140.0,87999,0
51,2017-08-04,140.95,142.0,139.5,141.0,88709,0
52,2017-08-07,141.0,143.0,140.0,141.0,48459,0
53,2017-08-08,142.0,142.0,139.0,139.8,52912,0
54,2017-08-09,141.89999,141.9,134.2,135.0,144865,0
55,2017-08-10,135.0,137.0,135.0,137.0,59004,0
56,2017-08-11,139.0,140.5,137.0,140.0,124879,0
57,2017-08-14,143.5,144.9,140.1,141.8,78553,0
58,2017-08-15,144.0,144.0,139.0,139.5,89389,0
59,2017-08-16,139.5,140.0,137.5,139.0,42650,0
60,2017-08-17,140.0,140.3,137.9,140.3,113223,0
61,2017-08-18,140.5,140.5,138.75,140.0,37920,0
62,2017-08-22,138.25,140.0,138.0,140.0,27965,0
63,2017-08-23,139.0,140.4,139.0,140.39999,115791,0
64,2017-08-24,140.39999,141.0,139.5,140.75,41889,0
65,2017-08-25,142.0,142.0,138.55,140.0,62294,0
66,2017-08-28,140.0,140.0,138.5,138.7,49693,0
67,2017-08-29,138.2,138.2,136.15,138.0,11939,0
68,2017-08-30,138.0,140.0,136.5,138.0,29868,0
69,2017-08-31,138.0,139.5,138.0,139.0,97898,0
70,2017-09-01,139.3,141.5,138.9,141.25,107330,0
71,2017-09-04,140.5,142.5,140.0,141.89999,165461,0
72,2017-09-05,139.5,141.8,139.5,139.99001,55571,0
73,2017-09-06,139.0,142.8,138.5,142.75,327160,0
74,2017-09-07,142.0,144.0,140.95,144.0,239537,0
75,2017-09-08,142.0,149.5,142.0,149.5,102807,0
76,2017-09-11,149.0,151.0,148.0,150.0,39181,0
77,2017-09-12,150.0,154.9,150.0,153.05,241831,0
78,2017-09-13,152.89999,160.0,152.9,159.0,135315,0
79,2017-09-14,160.0,160.0,156.0,159.2,43166,0
80,2017-09-15,159.5,160.0,158.0,159.89999,46365,0
81,2017-09-18,160.39999,160.5,158.0,159.39999,31931,0
82,2017-09-19,158.5,165.5,158.5,165.5,81302,0
83,2017-09-20,163.10001,168.0,163.0,167.0,52708,0
84,2017-09-21,166.8,172.6,166.8,172.45,145087,0
85,2017-09-22,170.0,179.0,170.0,179.0,76414,0
86,2017-09-25,178.0,182.0,178.0,178.5,113455,0
87,2017-09-26,179.7,179.7,174.35,176.5,89613,0
88,2017-09-27,175.0,178.0,172.0,176.0,105093,0
89,2017-09-28,176.0,180.5,176.0,179.8,134472,0
90,2017-09-29,180.0,185.0,179.2,182.0,239495,0
91,2017-10-02,183.0,184.5,182.75,183.0,45783,0
92,2017-10-03,183.0,184.5,183.0,184.0,42443,0
93,2017-10-04,184.0,187.0,182.0,187.0,131164,0
94,2017-10-05,188.0,190.0,187.5,189.8,81209,0
95,2017-10-06,190.0,190.0,185.0,188.8,43168,0
96,2017-10-09,188.5,189.5,187.0,189.0,95287,0
97,2017-10-10,190.0,190.0,186.5,186.5,59330,0
98,2017-10-11,186.5,189.0,186.5,189.0,117956,0
99,2017-10-12,190.0,190.0,186.0,186.5,62810,0
100,2017-10-13,186.5,189.0,186.5,188.5,119099,0
101,2017-10-17,189.0,190.5,189.0,190.0,202248,0
102,2017-10-18,192.0,195.0,192.0,194.75,360349,0
103,2017-10-19,198.0,210.0,196.0,207.5,415650,0
104,2017-10-20,210.0,223.0,210.0,220.5,159166,0
105,2017-10-23,222.5,230.0,222.5,226.0,212691,0
106,2017-10-24,220.0,231.8,220.0,231.8,115674,0
107,2017-10-25,233.0,234.0,229.0,231.95,122415,0
108,2017-10-26,239.0,253.5,232.65,247.5,167959,0
109,2017-10-27,250.10001,253.5,237.2,237.2,78073,0
110,2017-10-30,237.2,237.2,223.0,230.0,76926,0
111,2017-10-31,229.5,236.0,226.0,235.5,67138,0
112,2017-11-01,236.0,246.0,236.0,246.0,166731,0
113,2017-11-02,248.0,252.9,247.05,249.0,70477,0
114,2017-11-03,250.0,250.0,239.6,245.89999,28808,0
115,2017-11-07,240.0,243.0,239.0,242.5,64251,0
116,2017-11-08,243.0,245.0,235.0,237.5,68509,0
117,2017-11-09,240.5,241.0,232.0,233.8,90733,0
118,2017-11-10,239.0,239.0,221.0,225.0,48332,0
119,2017-11-13,225.0,234.0,225.0,226.0,26807,0
120,2017-11-14,227.0,227.1,222.5,225.0,55903,0
121,2017-11-15,225.0,240.0,211.0,239.89999,40133,0
122,2017-11-16,240.5,243.0,237.1,241.25,51181,0
123,2017-11-17,243.0,243.0,235.1,237.25,23485,0
124,2017-11-21,235.0,248.0,235.0,248.0,33002,0
125,2017-11-22,251.0,252.0,242.5,244.8,33563,0
126,2017-11-23,250.0,250.0,244.9,245.0,27161,0
127,2017-11-24,248.0,250.0,243.0,248.0,40753,0
128,2017-11-27,250.0,252.0,246.0,246.5,79533,0
129,2017-11-28,246.95,247.0,245.0,246.0,88989,0
130,2017-11-29,246.0,246.5,244.0,244.0,307552,0
131,2017-11-30,245.5,245.7,242.0,244.0,162162,0
132,2017-12-01,245.0,248.0,243.0,247.0,30866,0
133,2017-12-04,247.05,249.0,245.0,247.0,87561,0
134,2017-12-05,248.95,264.0,247.95,257.0,204126,0
135,2017-12-06,258.0,264.95,257.0,262.0,155322,0
136,2017-12-07,264.89999,276.0,262.55,273.0,119524,0
137,2017-12-11,274.0,275.5,273.0,273.0,204432,0
138,2017-12-12,273.0,275.0,271.75,271.75,104282,0
139,2017-12-13,271.0,274.0,267.0,269.0,84502,0
140,2017-12-14,271.95001,277.0,266.0,274.0,235521,0
141,2017-12-15,274.0,280.0,274.0,280.0,162447,0
142,2017-12-18,280.0,290.0,276.0,286.5,45167,0
143,2017-12-19,299.0,300.0,287.5,300.0,215174,0
144,2017-12-20,300.0,322.0,299.0,315.0,195146,0
145,2017-12-21,320.0,320.0,314.05,317.95001,155541,0
146,2017-12-22,320.0,321.0,318.0,320.0,127996,0
147,2017-12-26,322.0,324.95,320.0,320.04999,94509,0
148,2017-12-27,322.0,323.45,315.0,321.0,119174,0
149,2017-12-28,323.0,335.0,323.0,335.0,108767,0
150,2017-12-29,335.0,344.0,335.0,340.5,125015,0
151,2018-01-02,350.0,360.0,343.0,348.0,277015,0
152,2018-01-03,350.0,350.0,330.0,334.70001,236815,0
153,2018-01-04,340.0,340.0,312.0,324.0,364966,0
154,2018-01-05,320.10001,328.0,317.0,326.79999,227839,0
155,2018-01-08,329.89999,329.95,318.0,324.5,120528,0
156,2018-01-09,329.0,329.0,317.3,318.10001,88468,0
157,2018-01-10,318.20001,320.0,304.05,317.0,187653,0
158,2018-01-11,320.0,323.0,317.45,319.10001,171359,0
159,2018-01-12,322.0,337.0,321.0,329.0,380061,0
160,2018-01-15,337.0,339.95,333.0,335.0,173033,0
161,2018-01-16,338.0,338.0,325.0,332.39999,121117,0
162,2018-01-17,332.5,336.5,328.0,330.29999,111570,0
163,2018-01-18,334.0,344.0,331.0,336.0,207549,0
164,2018-01-19,340.0,344.0,324.0,335.0,138960,0
165,2018-01-22,335.0,335.0,324.7,325.5,92560,0
166,2018-01-23,328.5,336.0,326.0,335.0,233446,0
167,2018-01-24,337.10001,352.0,337.1,351.10001,401882,0
168,2018-01-25,353.89999,364.0,353.9,359.20001,339099,0
169,2018-01-26,359.5,362.0,351.05,354.64999,166360,0
170,2018-01-29,355.0,355.0,340.0,348.35001,69885,0
171,2018-01-30,348.29999,348.3,332.6,343.64999,176314,0
172,2018-01-31,343.0,360.0,343.0,359.70001,275540,0
173,2018-02-01,363.0,364.0,349.0,352.29999,139789,0
174,2018-02-02,350.39999,350.4,330.0,342.39999,149615,0
175,2018-02-05,336.0,338.45,314.8,330.0,164013,0
176,2018-02-06,326.0,327.0,316.0,320.0,188608,0
177,2018-02-07,322.0,344.0,319.0,319.79999,110749,0
178,2018-02-08,329.0,329.0,312.0,317.45001,155766,0
179,2018-02-09,317.0,317.5,299.0,300.79999,130765,0
180,2018-02-14,311.0,317.0,302.0,312.0,167585,0
181,2018-02-15,315.0,320.0,314.0,317.25,128064,0
182,2018-02-16,317.25,330.0,317.15,326.75,293649,0
183,2018-02-19,326.75,339.0,326.75,334.0,120265,0
184,2018-02-20,334.5,334.5,325.0,331.04999,47231,0
185,2018-02-21,330.0,332.0,325.0,328.54999,47368,0
186,2018-02-22,327.0,327.0,320.15,324.10001,102057,0
187,2018-02-23,320.04999,327.0,318.4,320.0,108208,0
188,2018-02-26,321.0,355.0,321.0,348.70001,348710,0
189,2018-02-27,350.5,357.0,340.0,350.0,118372,0
190,2018-02-28,346.0,360.0,343.0,359.10001,262234,0
191,2018-03-01,358.79999,358.8,345.0,353.10001,138301,0
192,2018-03-02,349.0,357.0,339.0,356.79999,153596,0
