,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,2.43751,2.48265,2.43751,2.45256,144554,0
1,2005-01-04,2.48265,2.48265,2.3698099999999998,2.38485,35271,0
2,2005-01-05,2.33219,2.40742,2.25696,2.40742,70844,0
3,2005-01-06,2.41494,2.44504,2.40742,2.40742,54501,0
4,2005-01-07,2.40742,2.44504,2.38485,2.43751,44569,0
5,2005-01-10,2.43751,2.6255900000000003,2.43751,2.6255900000000003,42934,0
6,2005-01-11,2.5955,2.5955,2.48265,2.55036,49945,0
7,2005-01-12,2.55036,2.56541,2.50522,2.55036,93652,0
8,2005-01-13,2.52027,2.53532,2.48265,2.52027,32873,0
9,2005-01-14,2.48265,2.48265,2.48265,2.48265,8238,0
10,2005-01-17,2.52027,2.54284,2.4977,2.53532,23162,0
11,2005-01-18,2.5955,2.5955,2.55036,2.58798,31756,0
12,2005-01-19,2.58798,2.5955,2.55789,2.5955,16232,0
13,2005-01-20,2.55789,2.58798,2.55789,2.58798,20749,0
14,2005-01-21,2.5955,2.63312,2.5955,2.63312,15846,0
15,2005-01-24,2.60302,2.63312,2.60302,2.63312,15127,0
16,2005-01-25,2.63312,2.63312,2.5955,2.5955,3692,0
17,2005-01-26,2.63312,2.63312,2.5955,2.63312,34649,0
18,2005-01-27,2.64816,2.64816,2.5955,2.63312,22767,0
19,2005-01-28,2.63312,2.63312,2.5955,2.61807,18936,0
20,2005-01-31,2.61807,2.63312,2.61807,2.63312,9271,0
21,2005-02-01,2.63312,2.63312,2.6255900000000003,2.6255900000000003,8683,0
22,2005-02-02,2.60302,2.63312,2.5955,2.61055,30112,0
23,2005-02-03,2.61055,2.6255900000000003,2.58045,2.6255900000000003,12175,0
24,2005-02-04,2.63312,2.63312,2.5955,2.6255900000000003,13935,0
25,2005-02-07,2.61055,2.61055,2.58798,2.61055,26558,0
26,2005-02-08,2.5955,2.5955,2.54284,2.58798,78574,0
27,2005-02-09,2.55789,2.58045,2.55036,2.58045,21401,0
28,2005-02-10,2.55789,2.55789,2.54284,2.54284,10315,0
29,2005-02-11,2.54284,2.54284,2.52027,2.54284,26571,0
30,2005-02-14,2.54284,2.58798,2.54284,2.58045,72203,0
31,2005-02-15,2.58045,2.58045,2.54284,2.55789,41302,0
32,2005-02-16,2.55789,2.5955,2.52779,2.5955,46072,0
33,2005-02-17,2.5955,2.7309200000000002,2.5955,2.70835,121760,0
34,2005-02-18,2.7835799999999997,2.7835799999999997,2.64816,2.68578,38470,0
35,2005-02-21,2.68578,2.70835,2.58045,2.61807,78025,0
36,2005-02-22,2.63312,2.63312,2.58045,2.61807,17826,0
37,2005-02-23,2.6255900000000003,2.6255900000000003,2.55789,2.55789,41941,0
38,2005-02-24,2.55789,2.55789,2.46008,2.55036,46855,0
39,2005-02-25,2.55789,2.60302,2.55789,2.58798,54046,0
40,2005-02-28,2.58798,2.58798,2.50522,2.57293,31269,0
41,2005-03-01,2.52027,2.55789,2.52027,2.55789,21450,0
42,2005-03-02,2.55789,2.56541,2.4977,2.55789,27833,0
43,2005-03-03,2.55789,2.55789,2.55036,2.55036,5078,0
44,2005-03-04,2.52027,2.56541,2.48265,2.48265,44156,0
45,2005-03-07,2.48265,2.49018,2.48265,2.49018,4449,0
46,2005-03-08,2.49018,2.51275,2.47513,2.51275,18399,0
47,2005-03-09,2.48265,2.48265,2.44504,2.44504,22760,0
48,2005-03-10,2.40742,2.48265,2.3698099999999998,2.44504,57635,0
49,2005-03-11,2.44504,2.44504,2.39237,2.40742,8401,0
50,2005-03-14,2.33219,2.3622799999999997,2.29457,2.3622799999999997,24713,0
51,2005-03-15,2.3622799999999997,2.3622799999999997,2.3622799999999997,2.3622799999999997,3968,0
52,2005-03-16,2.3096200000000002,2.3698099999999998,2.3096200000000002,2.3698099999999998,5352,0
53,2005-03-17,2.3622799999999997,2.40742,2.3622799999999997,2.40742,21807,0
54,2005-03-18,2.3698099999999998,2.41494,2.3698099999999998,2.41494,24147,0
55,2005-03-22,2.40742,2.40742,2.3698099999999998,2.40742,5131,0
56,2005-03-23,2.272,2.3698099999999998,2.272,2.3698099999999998,5220,0
57,2005-03-28,2.3246700000000002,2.3246700000000002,2.28705,2.28705,4852,0
58,2005-03-29,2.272,2.3698099999999998,2.272,2.29457,8933,0
59,2005-03-30,2.3698099999999998,2.3698099999999998,2.33219,2.3698099999999998,6354,0
60,2005-03-31,2.3397099999999997,2.3698099999999998,2.3397099999999997,2.3698099999999998,14232,0
61,2005-04-01,2.3698099999999998,2.3698099999999998,2.3698099999999998,2.3698099999999998,9703,0
62,2005-04-04,2.33219,2.33219,2.33219,2.33219,2512,0
63,2005-04-05,2.33219,2.3622799999999997,2.33219,2.3622799999999997,3990,0
64,2005-04-06,2.39237,2.39237,2.39237,2.39237,965,0
65,2005-04-08,2.34724,2.39237,2.34724,2.39237,3323,0
66,2005-04-11,2.39237,2.39237,2.33219,2.33219,11033,0
67,2005-04-12,2.29457,2.29457,2.2193400000000003,2.28705,6298,0
68,2005-04-13,2.272,2.28705,2.25696,2.28705,17262,0
69,2005-04-14,2.2193400000000003,2.272,2.2193400000000003,2.272,1852,0
70,2005-04-15,2.2193400000000003,2.2193400000000003,2.10649,2.18173,30916,0
71,2005-04-18,2.18173,2.3021,2.18173,2.3021,18908,0
72,2005-04-19,2.3021,2.33219,2.3021,2.31714,45683,0
73,2005-04-20,2.29457,2.29457,2.2343900000000003,2.25696,119550,0
74,2005-04-21,2.27953,2.29457,2.27953,2.29457,18331,0
75,2005-04-22,2.33219,2.40742,2.31714,2.40742,62766,0
76,2005-04-25,2.43751,2.45256,2.42999,2.44504,25456,0
77,2005-04-26,2.44504,2.48265,2.42999,2.42999,39167,0
78,2005-04-27,2.44504,2.46008,2.42999,2.46008,21686,0
79,2005-04-28,2.48265,2.67073,2.48265,2.5955,125250,0
80,2005-04-29,2.54284,2.61055,2.52779,2.61055,50259,0
81,2005-05-02,2.61055,2.63312,2.55036,2.55036,79920,0
82,2005-05-03,2.52027,2.53532,2.49018,2.50522,46345,0
83,2005-05-04,2.52779,2.54284,2.50522,2.54284,30187,0
84,2005-05-05,2.54284,2.54284,2.48265,2.51275,14789,0
85,2005-05-06,2.52027,2.52027,2.4977,2.4977,3604,0
86,2005-05-09,2.48265,2.48265,2.48265,2.48265,1196,0
87,2005-05-10,2.48265,2.48265,2.39237,2.42999,13245,0
88,2005-05-11,2.42999,2.52027,2.42999,2.52027,9850,0
89,2005-05-12,2.52027,2.60302,2.4977,2.52027,45762,0
90,2005-05-13,2.52027,2.55789,2.52027,2.52027,37226,0
91,2005-05-16,2.52027,2.53532,2.48265,2.53532,22954,0
92,2005-05-17,2.53532,2.55789,2.53532,2.54284,74250,0
93,2005-05-18,2.55789,2.55789,2.53532,2.55789,4785,0
94,2005-05-19,2.55789,2.55789,2.55789,2.55789,18943,0
95,2005-05-20,2.55036,2.57293,2.55036,2.57293,31804,0
96,2005-05-23,2.57293,2.58045,2.52027,2.54284,12541,0
97,2005-05-24,2.52027,2.54284,2.51275,2.54284,14887,0
98,2005-05-26,2.52779,2.52779,2.52027,2.52027,3722,0
99,2005-05-27,2.52779,2.5955,2.52779,2.5955,40718,0
100,2005-05-30,2.5955,2.70835,2.5955,2.6933,121972,0
101,2005-05-31,2.6933,2.6933,2.6933,2.6933,15985,0
102,2005-06-01,2.66321,2.7309200000000002,2.66321,2.7234,50933,0
103,2005-06-02,2.7158700000000002,2.7158700000000002,2.6933,2.70835,12561,0
104,2005-06-03,2.66321,2.66321,2.63312,2.6556900000000003,10918,0
105,2005-06-06,2.55789,2.66321,2.55789,2.66321,3017,0
106,2005-06-07,2.6255900000000003,2.63312,2.6255900000000003,2.63312,3863,0
107,2005-06-08,2.63312,2.63312,2.63312,2.63312,1196,0
108,2005-06-09,2.5955,2.5955,2.55789,2.55789,1329,0
109,2005-06-10,2.55789,2.55789,2.55789,2.55789,4652,0
110,2005-06-13,2.55789,2.55789,2.52027,2.52027,20116,0
111,2005-06-14,2.52027,2.60302,2.52027,2.52027,10143,0
112,2005-06-15,2.54284,2.54284,2.52027,2.52779,7979,0
113,2005-06-16,2.52027,2.55789,2.51275,2.51275,21747,0
114,2005-06-17,2.51275,2.51275,2.51275,2.51275,2010,0
115,2005-06-21,2.53532,2.55036,2.53532,2.55036,4200,0
116,2005-06-23,2.54284,2.54284,2.54284,2.54284,1220,0
117,2005-06-24,2.50522,2.55036,2.50522,2.55036,18626,0
118,2005-06-27,2.48265,2.54284,2.48265,2.54284,1454,0
119,2005-06-28,2.54284,2.57293,2.54284,2.57293,8158,0
120,2005-06-29,2.53532,2.54284,2.53532,2.54284,10894,0
121,2005-06-30,2.54284,2.5955,2.52779,2.5955,14929,0
122,2005-07-01,2.55036,2.55036,2.50522,2.50522,19340,0
123,2005-07-04,2.52027,2.52027,2.52027,2.52027,997,0
124,2005-07-05,2.52027,2.55789,2.52027,2.55036,27307,0
125,2005-07-06,2.51275,2.51275,2.51275,2.51275,3661,0
126,2005-07-07,2.52779,2.55789,2.52779,2.55789,10080,0
127,2005-07-08,2.52027,2.52027,2.52027,2.52027,1622,0
128,2005-07-11,2.52027,2.55036,2.52027,2.52027,9172,0
129,2005-07-12,2.52027,2.55789,2.52027,2.55789,27030,0
130,2005-07-13,2.57293,2.64816,2.57293,2.6406400000000003,166128,0
131,2005-07-14,2.64816,2.67073,2.6255900000000003,2.64816,114466,0
132,2005-07-15,2.64816,2.66321,2.6255900000000003,2.6556900000000003,30904,0
133,2005-07-18,2.6556900000000003,2.6556900000000003,2.64816,2.64816,7477,0
134,2005-07-19,2.6556900000000003,2.6556900000000003,2.63312,2.6556900000000003,16096,0
135,2005-07-20,2.6556900000000003,2.8738599999999996,2.6556900000000003,2.84377,219263,0
136,2005-07-21,2.8738599999999996,2.94909,2.82872,2.82872,542163,0
137,2005-07-22,2.81367,2.8212,2.7986299999999997,2.7986299999999997,40633,0
138,2005-07-25,2.81367,2.81367,2.73844,2.7459599999999997,56224,0
139,2005-07-26,2.7685299999999997,2.85881,2.7459599999999997,2.81367,373689,0
140,2005-07-27,2.81367,2.85881,2.7986299999999997,2.85881,294704,0
141,2005-07-28,2.84377,2.84377,2.81367,2.83624,60361,0
142,2005-07-29,2.8212,2.82872,2.7835799999999997,2.7835799999999997,35730,0
143,2005-08-01,2.80615,2.8212,2.7835799999999997,2.80615,14246,0
144,2005-08-02,2.7835799999999997,2.81367,2.7835799999999997,2.7911,17679,0
145,2005-08-03,2.80615,2.85881,2.80615,2.85881,95321,0
146,2005-08-04,2.85881,2.92652,2.8212,2.84377,369308,0
147,2005-08-05,2.88138,2.90395,2.85881,2.90395,70450,0
148,2005-08-08,2.88138,2.88138,2.8212,2.8212,27817,0
149,2005-08-09,2.89643,2.93404,2.8738599999999996,2.93404,241552,0
150,2005-08-10,2.93404,2.95661,2.90395,2.919,60100,0
151,2005-08-11,2.90395,2.90395,2.8212,2.82872,96701,0
152,2005-08-12,2.8212,2.85881,2.7911,2.85881,44032,0
153,2005-08-16,2.8738599999999996,2.8738599999999996,2.8212,2.85129,9730,0
154,2005-08-17,2.8212,2.82872,2.7911,2.8212,284186,0
155,2005-08-18,2.8212,2.83624,2.80615,2.8212,110458,0
156,2005-08-19,2.80615,2.8889099999999996,2.7986299999999997,2.8889099999999996,177803,0
157,2005-08-22,2.91147,2.96414,2.91147,2.95661,193608,0
158,2005-08-23,2.95661,2.95661,2.89643,2.90395,49314,0
159,2005-08-24,2.91147,2.93404,2.90395,2.91147,7235,0
160,2005-08-25,2.91147,2.96414,2.91147,2.94157,94694,0
161,2005-08-26,2.93404,2.96414,2.93404,2.95661,124549,0
162,2005-08-29,2.95661,3.00175,2.95661,2.99423,59076,0
163,2005-08-30,2.97166,2.97166,2.93404,2.96414,29887,0
164,2005-08-31,2.94909,2.94909,2.86634,2.8889099999999996,97426,0
165,2005-09-01,2.88138,2.91147,2.86634,2.91147,61472,0
166,2005-09-02,2.92652,2.95661,2.9189999999999996,2.95661,94182,0
167,2005-09-05,2.93404,2.93404,2.88138,2.88138,24697,0
168,2005-09-06,2.89643,2.92652,2.8889099999999996,2.8889099999999996,16276,0
169,2005-09-07,2.89643,2.9189999999999996,2.89643,2.91147,12844,0
170,2005-09-08,2.89643,2.89643,2.85129,2.85129,11033,0
171,2005-09-09,2.86634,2.86634,2.8212,2.8212,23354,0
172,2005-09-12,2.84377,2.84377,2.8212,2.84377,21444,0
173,2005-09-13,2.83624,2.83624,2.8212,2.8212,12619,0
174,2005-09-14,2.84377,2.85881,2.8212,2.85881,16144,0
175,2005-09-15,2.84377,2.86634,2.84377,2.86634,10099,0
176,2005-09-16,2.85881,2.93404,2.85881,2.91147,43979,0
177,2005-09-19,2.90395,2.93404,2.90395,2.93404,35766,0
178,2005-09-20,2.92652,2.92652,2.86634,2.89643,17385,0
179,2005-09-21,2.89643,2.89643,2.85881,2.8889099999999996,27321,0
180,2005-09-22,2.89643,2.90395,2.84377,2.85881,41496,0
181,2005-09-23,2.85881,2.85881,2.83624,2.83624,20409,0
182,2005-09-26,2.81367,2.84377,2.81367,2.84377,25551,0
183,2005-09-27,2.85881,2.85881,2.84377,2.85881,31678,0
184,2005-09-28,2.85881,2.89643,2.8212,2.85881,90829,0
185,2005-09-29,2.85881,2.90395,2.85881,2.90395,45068,0
186,2005-09-30,2.91147,2.93404,2.7459599999999997,2.88138,38472,0
187,2005-10-03,2.90395,2.90395,2.86634,2.86634,20751,0
188,2005-10-04,2.85881,2.85881,2.7685299999999997,2.80615,37470,0
189,2005-10-05,2.7835799999999997,2.8212,2.7459599999999997,2.8212,61292,0
190,2005-10-06,2.83624,2.85881,2.7835799999999997,2.8212,101490,0
191,2005-10-07,2.8212,2.84377,2.8212,2.84377,34441,0
192,2005-10-11,2.8212,2.8889099999999996,2.8212,2.84377,140133,0
193,2005-10-12,2.85881,2.88138,2.7459599999999997,2.7911,131261,0
194,2005-10-13,2.7459599999999997,2.7459599999999997,2.70835,2.73844,127463,0
195,2005-10-14,2.73844,2.7835799999999997,2.7309200000000002,2.7610099999999997,125277,0
196,2005-10-17,2.7610099999999997,2.80615,2.7234,2.80615,155084,0
197,2005-10-18,2.7911,2.85881,2.7835799999999997,2.84377,101977,0
198,2005-10-19,2.7835799999999997,2.82872,2.7459599999999997,2.7986299999999997,105673,0
199,2005-10-20,2.7911,2.80615,2.7685299999999997,2.7685299999999997,39223,0
200,2005-10-21,2.80615,2.81367,2.80615,2.80615,38815,0
201,2005-10-24,2.83624,2.85129,2.81367,2.85129,86949,0
202,2005-10-25,2.85881,2.85881,2.84377,2.84377,122067,0
203,2005-10-26,2.8889099999999996,2.9189999999999996,2.8738599999999996,2.88138,68006,0
204,2005-10-27,2.84377,2.84377,2.7760599999999998,2.7835799999999997,62092,0
205,2005-10-28,2.85129,2.85129,2.85129,2.85129,1068,0
206,2005-10-31,2.8889099999999996,2.9189999999999996,2.85881,2.89643,57560,0
207,2005-11-01,2.85881,2.85881,2.84377,2.84377,15472,0
208,2005-11-02,2.82872,2.84377,2.82872,2.82872,24276,0
209,2005-11-03,2.82872,2.86634,2.82872,2.82872,16923,0
210,2005-11-07,2.84377,2.84377,2.7986299999999997,2.83624,9102,0
211,2005-11-08,2.81367,2.82872,2.81367,2.82872,6686,0
212,2005-11-09,2.82872,2.82872,2.80615,2.80615,33809,0
213,2005-11-10,2.7835799999999997,2.7835799999999997,2.7685299999999997,2.7685299999999997,17838,0
214,2005-11-11,2.7835799999999997,2.8212,2.7835799999999997,2.8212,14881,0
215,2005-11-14,2.85881,2.8889099999999996,2.84377,2.8889099999999996,18609,0
216,2005-11-15,2.85129,2.85129,2.83624,2.84377,14938,0
217,2005-11-16,2.80615,2.8212,2.7685299999999997,2.8212,78416,0
218,2005-11-17,2.83624,2.85881,2.83624,2.85881,35714,0
219,2005-11-18,2.8738599999999996,2.89643,2.86634,2.86634,25459,0
220,2005-11-21,2.86634,2.86634,2.86634,2.86634,4918,0
221,2005-11-22,2.86634,2.86634,2.83624,2.86634,36554,0
222,2005-11-23,2.84377,2.88138,2.84377,2.88138,93245,0
223,2005-11-24,2.88138,3.02432,2.8738599999999996,3.00928,148105,0
224,2005-11-25,3.03185,3.10708,2.97166,3.10708,264764,0
225,2005-11-28,3.0619400000000003,3.0619400000000003,2.96414,3.0168,100246,0
226,2005-11-29,2.97166,2.98671,2.92652,2.94157,56919,0
227,2005-11-30,2.97918,3.0468900000000003,2.97918,3.03937,54912,0
228,2005-12-01,3.03937,3.06946,2.99423,2.99423,34505,0
229,2005-12-02,2.99423,3.03937,2.99423,3.03937,18839,0
230,2005-12-05,3.06946,3.1522200000000002,3.06946,3.1371700000000002,99327,0
231,2005-12-06,3.1371700000000002,3.2876300000000005,3.1371700000000002,3.2876300000000005,323321,0
232,2005-12-07,3.3102,3.3102,3.1221200000000002,3.15974,240732,0
233,2005-12-09,3.1973599999999998,3.1973599999999998,3.12965,3.1672599999999997,115570,0
234,2005-12-12,3.1898299999999997,3.2425,3.1747900000000002,3.1973599999999998,186684,0
