,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,0.23625,0.2375,0.23375,0.235,359200,0
1,2005-01-04,0.22875,0.23,0.22625,0.23,166080,0
2,2005-01-05,0.225,0.22625,0.2175,0.22,759344,0
3,2005-01-06,0.225,0.225,0.225,0.225,246512,0
4,2005-01-07,0.2225,0.2225,0.21875,0.2225,259200,0
5,2005-01-10,0.2225,0.23,0.2225,0.23,798000,0
6,2005-01-11,0.2375,0.2375,0.23,0.23375,200384,0
7,2005-01-12,0.2325,0.2325,0.23125,0.23125,50632,0
8,2005-01-13,0.225,0.225,0.225,0.225,301072,0
9,2005-01-14,0.2225,0.225,0.22,0.225,160960,0
10,2005-01-17,0.225,0.225,0.225,0.225,45576,0
11,2005-01-18,0.2225,0.2225,0.22125,0.22125,287896,0
12,2005-01-19,0.2225,0.225,0.22,0.22,416080,0
13,2005-01-20,0.2225,0.2225,0.21625,0.22125,168440,0
14,2005-01-21,0.22,0.22,0.21875,0.22,59200,0
15,2005-01-24,0.21875,0.22,0.21875,0.21875,64776,0
16,2005-01-25,0.21875,0.21875,0.21875,0.21875,35264,0
17,2005-01-27,0.225,0.225,0.2225,0.2225,121880,0
18,2005-01-28,0.225,0.22875,0.225,0.22875,299200,0
19,2005-01-31,0.22375,0.225,0.22375,0.225,246656,0
20,2005-02-01,0.22875,0.22875,0.22875,0.22875,236440,0
21,2005-02-02,0.225,0.225,0.225,0.225,158000,0
22,2005-02-03,0.225,0.22875,0.225,0.22875,112688,0
23,2005-02-04,0.22875,0.2325,0.22875,0.2325,387520,0
24,2005-02-07,0.2275,0.23,0.2275,0.23,198800,0
25,2005-02-08,0.23,0.23125,0.2275,0.23,206848,0
26,2005-02-09,0.23,0.2375,0.225,0.2375,717576,0
27,2005-02-10,0.23125,0.2375,0.23125,0.23625,478192,0
28,2005-02-11,0.23125,0.245,0.23125,0.24375,1244064,0
29,2005-02-14,0.24625,0.25125,0.24375,0.25,2584080,0
30,2005-02-15,0.25,0.25,0.24375,0.24375,187520,0
31,2005-02-16,0.24375,0.2475,0.24,0.24625,1073528,0
32,2005-02-17,0.24375,0.25625,0.24375,0.255,1529656,0
33,2005-02-18,0.2575,0.26875,0.255,0.2675,1904200,0
34,2005-02-21,0.2775,0.2775,0.25625,0.2625,1440288,0
35,2005-02-22,0.2625,0.265,0.25625,0.25625,326464,0
36,2005-02-23,0.25625,0.25875,0.25,0.25,1001784,0
37,2005-02-24,0.24625,0.2475,0.2375,0.24375,608160,0
38,2005-02-25,0.245,0.25,0.24,0.24,872600,0
39,2005-02-28,0.2475,0.25,0.24,0.24,1091176,0
40,2005-03-01,0.24,0.2475,0.24,0.24625,607512,0
41,2005-03-02,0.25,0.25,0.24125,0.24125,514688,0
42,2005-03-03,0.2375,0.245,0.2375,0.2375,859160,0
43,2005-03-04,0.24375,0.25,0.2375,0.2375,714952,0
44,2005-03-07,0.2375,0.2425,0.23125,0.24,645944,0
45,2005-03-08,0.2425,0.255,0.2425,0.2475,1931344,0
46,2005-03-09,0.25,0.25375,0.24,0.2475,1399440,0
47,2005-03-10,0.24375,0.24375,0.22875,0.23125,1189792,0
48,2005-03-11,0.235,0.23875,0.235,0.235,217160,0
49,2005-03-14,0.21875,0.225,0.21875,0.21875,464000,0
50,2005-03-15,0.2225,0.225,0.2125,0.2125,1215616,0
51,2005-03-16,0.215,0.21625,0.2125,0.21625,376688,0
52,2005-03-17,0.22,0.2225,0.21875,0.2225,380000,0
53,2005-03-18,0.225,0.225,0.21875,0.22,253176,0
54,2005-03-21,0.22125,0.22125,0.2125,0.2125,347968,0
55,2005-03-22,0.21,0.2125,0.20625,0.20625,944832,0
56,2005-03-23,0.205,0.21,0.20125,0.20125,377432,0
57,2005-03-28,0.19625,0.19875,0.195,0.195,523672,0
58,2005-03-29,0.195,0.19875,0.195,0.1975,281872,0
59,2005-03-30,0.2,0.20625,0.2,0.2025,321760,0
60,2005-03-31,0.2,0.2025,0.2,0.2025,65184,0
61,2005-04-01,0.2025,0.20625,0.2025,0.205,318392,0
62,2005-04-04,0.20125,0.20125,0.20125,0.20125,44800,0
63,2005-04-05,0.2,0.2,0.2,0.2,37904,0
