,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-11,1.33,1.33,1.33,1.33,2500,0
1,2005-01-17,1.32,1.32,1.32,1.32,1000,0
2,2005-01-18,1.3,1.3,1.3,1.3,3000,0
3,2005-01-19,1.29,1.3,1.29,1.3,4500,0
4,2005-02-04,1.31,1.35,1.31,1.35,8465,0
5,2005-02-07,1.4,1.4,1.4,1.4,1000,0
6,2005-02-08,1.4,1.43,1.4,1.43,5500,0
7,2005-02-09,1.48,1.48,1.48,1.48,2000,0
8,2005-02-10,1.45,1.45,1.45,1.45,2000,0
9,2005-02-15,1.43,1.43,1.43,1.43,2000,0
10,2005-02-23,1.42,1.42,1.42,1.42,2285,0
11,2005-02-24,1.4,1.4,1.4,1.4,2467,0
12,2005-02-25,1.45,1.45,1.45,1.45,1585,0
13,2005-02-28,1.45,1.45,1.42,1.42,3315,0
14,2005-03-01,1.4,1.4,1.4,1.4,2000,0
15,2005-03-04,1.38,1.38,1.38,1.38,41715,0
16,2005-03-08,1.43,1.43,1.43,1.43,3000,0
17,2005-03-09,1.43,1.43,1.43,1.43,24544,0
18,2005-03-10,1.4,1.4,1.4,1.4,6000,0
19,2005-04-04,1.26,1.26,1.26,1.26,1000,0
20,2005-04-21,1.26,1.26,1.18,1.18,7000,0
21,2005-04-28,1.07,1.07,1.07,1.07,2500,0
22,2005-04-29,1.1,1.1,1.1,1.1,4000,0
23,2005-05-04,1.1,1.1,1.1,1.1,5000,0
24,2005-05-05,1.1,1.1,1.1,1.1,1500,0
25,2005-05-09,1.07,1.13,1.05,1.13,62252,0
26,2005-05-11,1.07,1.13,1.07,1.13,17337,0
27,2005-05-12,1.15,1.17,1.12,1.15,47655,0
28,2005-05-16,1.15,1.15,1.15,1.15,2145,0
29,2005-05-17,1.15,1.15,1.15,1.15,3000,0
30,2005-05-18,1.14,1.14,1.14,1.14,2000,0
31,2005-05-20,1.14,1.14,1.14,1.14,5100,0
32,2005-05-23,1.16,1.16,1.16,1.16,2000,0
33,2005-05-24,1.16,1.16,1.16,1.16,2000,0
34,2005-05-27,1.16,1.16,1.16,1.16,2100,0
35,2005-06-02,1.16,1.2,1.14,1.2,57000,0
36,2005-06-07,1.16,1.16,1.15,1.16,16656,0
37,2005-06-09,1.1,1.1,1.1,1.1,10000,0
38,2005-06-13,1.1,1.1,1.1,1.1,1000,0
39,2005-06-17,1.08,1.08,1.07,1.07,22900,0
40,2005-06-21,1.06,1.06,1.06,1.06,11000,0
41,2005-06-22,1.05,1.05,1.03,1.03,20000,0
42,2005-06-23,1.02,1.02,1.01,1.02,110467,0
43,2005-06-24,1.0,1.04,1.0,1.04,42535,0
44,2005-06-27,1.0,1.0,0.98,0.98,27010,0
45,2005-06-28,0.98,0.98,0.98,0.98,19816,0
46,2005-06-29,0.98,0.98,0.98,0.98,15219,0
47,2005-06-30,0.93,0.95,0.93,0.95,50000,0
48,2005-07-01,0.96,0.96,0.96,0.96,12215,0
49,2005-07-04,0.92,0.92,0.92,0.92,2000,0
50,2005-07-05,0.88,0.89,0.88,0.88,27900,0
51,2005-07-06,0.85,0.88,0.85,0.88,30000,0
52,2005-07-07,0.88,0.95,0.88,0.94,40500,0
53,2005-07-08,0.98,0.98,0.97,0.98,17455,0
54,2005-07-11,0.98,0.98,0.97,0.97,34000,0
55,2005-07-12,0.96,0.97,0.96,0.96,27900,0
56,2005-07-13,0.97,0.97,0.95,0.97,52518,0
57,2005-07-14,0.97,0.97,0.96,0.97,45000,0
58,2005-07-18,0.96,0.96,0.905,0.905,80526,0
59,2005-07-19,0.84,0.92,0.84,0.92,59100,0
60,2005-07-20,0.85,0.92,0.85,0.92,45300,0
61,2005-07-21,0.9,0.95,0.9,0.94,39366,0
62,2005-07-22,0.9,0.93,0.9,0.93,56295,0
63,2005-07-25,0.93,0.93,0.93,0.93,24000,0
64,2005-07-26,0.95,0.97,0.93,0.96,54555,0
65,2005-07-27,0.98,0.99,0.96,0.97,68078,0
66,2005-07-28,0.98,1.01,0.98,1.01,52716,0
67,2005-07-29,1.02,1.07,1.01,1.02,185978,0
68,2005-08-01,1.03,1.1,1.03,1.09,157423,0
69,2005-08-02,1.09,1.12,1.09,1.11,118116,0
70,2005-08-03,1.15,1.15,1.09,1.1,83600,0
71,2005-08-04,1.1,1.1,1.08,1.1,28810,0
72,2005-08-05,1.1,1.1,1.08,1.09,42372,0
73,2005-08-08,1.08,1.09,1.06,1.08,64000,0
74,2005-08-09,1.1,1.1,1.05,1.07,154609,0
75,2005-08-10,1.07,1.07,1.07,1.07,9975,0
76,2005-08-11,1.07,1.07,1.06,1.06,43760,0
77,2005-08-12,1.05,1.07,1.03,1.05,38802,0
78,2005-08-16,1.05,1.07,1.05,1.05,79471,0
79,2005-08-17,1.08,1.08,1.08,1.08,28010,0
