,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,4.39,4.39,4.35,4.35,4545,0
1,2005-01-04,4.35,4.35,4.25,4.25,5000,0
2,2005-01-05,4.1,4.1,4.1,4.1,1024,0
3,2005-01-06,4.09,4.09,4.09,4.09,976,0
4,2005-01-07,4.1,4.1,4.1,4.1,2000,0
5,2005-01-10,4.1,4.15,4.1,4.15,26885,0
6,2005-01-11,4.15,4.15,4.05,4.05,5420,0
7,2005-01-12,4.05,4.05,4.0,4.0,4760,0
8,2005-01-13,4.0,4.0,3.9,3.9,5930,0
9,2005-01-14,4.0,4.0,4.0,4.0,1190,0
10,2005-01-17,4.0,4.05,4.0,4.05,9450,0
11,2005-01-18,4.05,4.1,4.03,4.1,14720,0
12,2005-01-19,4.05,4.05,4.0,4.0,5083,0
13,2005-01-20,4.0,4.0,4.0,4.0,1090,0
14,2005-01-21,4.0,4.0,4.0,4.0,500,0
15,2005-01-24,4.0,4.03,4.0,4.03,8435,0
16,2005-01-25,4.05,4.08,4.05,4.08,8000,0
17,2005-01-26,4.08,4.12,4.08,4.12,18500,0
18,2005-01-27,4.15,4.23,4.15,4.23,26200,0
19,2005-01-28,4.25,4.25,4.25,4.25,2682,0
20,2005-01-31,4.25,4.35,4.25,4.3,26370,0
21,2005-02-01,4.35,4.35,4.35,4.35,9600,0
22,2005-02-02,4.4,4.45,4.4,4.42,32685,0
23,2005-02-03,4.42,4.45,4.42,4.45,12000,0
24,2005-02-04,4.5,4.5,4.45,4.5,21820,0
25,2005-02-07,4.55,4.7,4.55,4.55,47910,0
26,2005-02-08,4.6,4.65,4.6,4.61,34330,0
27,2005-02-09,4.65,4.8,4.65,4.75,33000,0
28,2005-02-10,4.8,4.81,4.8,4.8,20790,0
29,2005-02-11,4.75,4.75,4.7,4.7,2715,0
30,2005-02-14,4.68,4.7,4.68,4.7,2082,0
31,2005-02-15,4.75,4.75,4.75,4.75,14775,0
32,2005-02-16,4.65,4.65,4.65,4.65,3000,0
33,2005-02-17,4.45,4.55,4.37,4.55,97199,0
34,2005-02-18,4.55,4.55,4.45,4.45,7194,0
35,2005-02-21,4.45,4.45,4.3,4.35,5454,0
36,2005-02-22,4.35,4.45,4.35,4.4,13541,0
37,2005-02-23,4.5,4.5,4.48,4.48,17568,0
38,2005-02-24,4.5,4.65,4.5,4.58,15290,0
39,2005-02-25,4.6,4.75,4.58,4.75,31166,0
40,2005-02-28,4.82,4.85,4.82,4.83,11717,0
41,2005-03-01,4.85,4.86,4.85,4.85,21010,0
42,2005-03-02,4.86,4.86,4.75,4.79,41698,0
43,2005-03-03,4.8,4.86,4.79,4.84,30800,0
44,2005-03-04,4.8,4.9,4.8,4.88,38140,0
45,2005-03-07,4.8,5.0,4.8,5.0,38590,0
46,2005-03-08,4.95,4.95,4.92,4.92,29910,0
47,2005-03-09,4.81,4.82,4.81,4.82,14242,0
48,2005-03-10,4.5,4.5,4.5,4.5,2000,0
49,2005-03-11,4.35,4.38,4.32,4.32,15425,0
50,2005-03-14,4.3,4.3,4.0,4.05,38050,0
51,2005-03-15,4.1,4.15,4.1,4.15,26630,0
52,2005-03-16,4.15,4.25,4.15,4.25,6500,0
53,2005-03-17,4.2,4.2,4.2,4.2,7000,0
54,2005-03-18,4.16,4.16,4.16,4.16,1550,0
55,2005-03-21,4.1,4.15,4.1,4.15,33500,0
56,2005-03-22,4.1,4.1,4.1,4.1,37200,0
57,2005-03-23,4.05,4.05,3.86,3.86,10442,0
58,2005-03-28,3.96,3.96,3.96,3.96,1000,0
59,2005-03-29,4.0,4.0,4.0,4.0,1550,0
60,2005-03-30,3.95,4.0,3.95,4.0,326451,0
61,2005-03-31,4.0,4.0,4.0,4.0,740,0
62,2005-04-01,4.0,4.0,4.0,4.0,2700,0
63,2005-04-04,3.95,4.0,3.95,4.0,22280,0
64,2005-04-05,4.0,4.0,4.0,4.0,1000,0
65,2005-04-06,4.0,4.1,4.0,4.1,1300,0
66,2005-04-07,4.0,4.0,4.0,4.0,1000,0
67,2005-04-08,4.0,4.0,4.0,4.0,2400,0
68,2005-04-11,4.0,4.0,3.99,3.99,1050,0
69,2005-04-12,3.95,3.95,3.9,3.9,2750,0
70,2005-04-13,3.9,3.9,3.85,3.85,10810,0
71,2005-04-14,3.69,3.69,3.69,3.69,740,0
72,2005-04-15,3.45,3.5,3.4,3.44,5228,0
73,2005-04-18,3.42,3.45,3.4,3.4,7000,0
74,2005-04-19,3.4,3.4,3.4,3.4,4950,0
75,2005-04-20,3.41,3.41,3.28,3.28,21000,0
76,2005-04-21,3.3,3.3,3.16,3.2,20410,0
77,2005-04-22,3.23,3.28,3.22,3.22,30400,0
78,2005-04-25,3.22,3.22,3.15,3.16,29435,0
79,2005-04-26,3.16,3.21,3.16,3.2,32145,0
80,2005-04-27,3.16,3.16,3.02,3.05,75105,0
81,2005-04-28,3.0,3.02,2.92,2.93,586911,0
82,2005-04-29,2.98,3.04,2.96,3.02,188800,0
83,2005-05-02,3.05,3.1,3.05,3.08,143430,0
84,2005-05-03,3.12,3.24,3.12,3.21,245291,0
85,2005-05-04,3.31,3.39,3.31,3.38,135836,0
86,2005-05-05,3.38,3.38,3.18,3.25,236549,0
87,2005-05-06,3.25,3.25,3.15,3.23,164648,0
88,2005-05-09,3.1,3.15,3.05,3.09,177483,0
89,2005-05-10,3.12,3.25,3.12,3.23,123450,0
90,2005-05-11,3.25,3.48,3.25,3.45,159422,0
91,2005-05-12,3.48,3.53,3.41,3.44,191206,0
92,2005-05-13,3.4,3.6,3.38,3.5,102132,0
93,2005-05-16,3.6,3.63,3.55,3.58,214676,0
94,2005-05-17,3.58,3.58,3.48,3.5,58846,0
95,2005-05-18,3.5,3.56,3.45,3.56,49844,0
96,2005-05-19,3.63,3.65,3.58,3.65,123487,0
97,2005-05-20,3.65,3.69,3.63,3.68,57719,0
98,2005-05-23,3.6,3.62,3.56,3.62,33771,0
99,2005-05-24,3.65,3.72,3.65,3.72,76751,0
100,2005-05-26,3.74,3.76,3.71,3.75,108249,0
101,2005-05-27,3.7,3.74,3.7,3.72,12286,0
102,2005-05-30,3.73,3.8,3.73,3.78,29166,0
103,2005-05-31,3.75,3.76,3.75,3.76,26855,0
104,2005-06-01,3.75,3.75,3.65,3.67,52399,0
105,2005-06-02,3.63,3.63,3.55,3.56,53784,0
106,2005-06-03,3.52,3.55,3.43,3.47,101245,0
107,2005-06-06,3.47,3.54,3.47,3.54,128776,0
108,2005-06-07,3.62,3.62,3.54,3.54,88646,0
109,2005-06-08,3.63,3.66,3.62,3.65,143123,0
110,2005-06-09,3.62,3.62,3.56,3.56,10256,0
111,2005-06-10,3.5,3.53,3.5,3.53,10000,0
112,2005-06-13,3.53,3.53,3.48,3.48,15142,0
113,2005-06-14,3.5,3.55,3.5,3.55,17498,0
114,2005-06-15,3.55,3.58,3.55,3.58,9608,0
115,2005-06-16,3.6,3.6,3.57,3.57,27306,0
116,2005-06-17,3.58,3.65,3.56,3.56,12773,0
117,2005-06-21,3.5,3.5,3.43,3.43,103418,0
118,2005-06-22,3.44,3.45,3.42,3.45,33830,0
119,2005-06-23,3.45,3.58,3.45,3.55,71160,0
120,2005-06-24,3.5,3.5,3.47,3.48,7424,0
121,2005-06-27,3.45,3.45,3.44,3.44,6683,0
122,2005-06-28,3.4,3.4,3.4,3.4,1190,0
123,2005-06-29,3.45,3.45,3.4,3.44,77799,0
124,2005-06-30,3.45,3.48,3.4,3.4,13660,0
125,2005-07-01,3.4,3.4,3.4,3.4,3600,0
