,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2008-05-29,3.2,3.21,3.18,3.2,237803,0
1,2008-05-30,3.22,3.22,3.18,3.22,134930,0
2,2008-06-02,3.2,3.2,3.18,3.19,106799,0
3,2008-06-03,3.18,3.19,3.16,3.19,196046,0
4,2008-06-04,3.17,3.17,3.15,3.17,316742,0
5,2008-06-05,3.15,3.15,3.13,3.13,73616,0
6,2008-06-06,3.1,3.1,3.1,3.1,1000,0
7,2008-06-09,3.02,3.04,3.0,3.0,109795,0
8,2008-06-10,2.95,2.95,2.85,2.9,365725,0
9,2008-06-11,2.88,2.88,2.87,2.87,50780,0
10,2008-06-12,2.85,2.85,2.84,2.84,229806,0
11,2008-06-13,2.86,2.9,2.86,2.9,45000,0
12,2008-06-19,2.9,2.9,2.9,2.9,500,0
13,2008-06-20,2.9,2.9,2.9,2.9,2000,0
14,2008-06-23,2.8,2.84,2.7,2.84,456269,0
15,2008-06-24,2.84,2.86,2.84,2.86,14416,0
16,2008-06-25,2.8,2.81,2.8,2.81,98570,0
17,2008-06-26,2.8,2.8,2.72,2.79,137553,0
18,2008-06-27,2.79,2.79,2.75,2.75,102975,0
19,2008-06-30,2.7,2.8,2.65,2.8,605192,0
20,2008-07-08,2.6,2.6,2.52,2.6,222160,0
21,2008-07-14,2.6,2.6,2.6,2.6,751723,0
22,2008-07-15,2.55,2.7,2.55,2.7,14727,0
23,2008-07-17,2.85,2.85,2.7,2.7,5705,0
24,2008-07-21,2.78,2.83,2.78,2.83,3500,0
25,2008-07-24,2.62,2.7,2.62,2.7,201000,0
26,2008-07-25,2.63,2.72,2.63,2.72,162090,0
27,2008-07-28,2.7,2.7,2.7,2.7,832,0
28,2008-07-31,2.67,2.79,2.67,2.79,20000,0
29,2008-08-04,2.62,2.7,2.62,2.7,72113,0
30,2008-08-07,2.65,2.65,2.65,2.65,2640,0
31,2008-08-08,2.63,2.65,2.6,2.65,854598,0
32,2008-08-12,2.6,2.65,2.6,2.65,14052,0
33,2008-08-13,2.7,2.7,2.7,2.7,10582,0
34,2008-08-20,2.55,2.7,2.55,2.7,5000,0
35,2008-08-25,2.6,2.75,2.6,2.75,2000,0
36,2008-09-01,2.75,2.75,2.75,2.75,2130,0
37,2008-09-02,2.75,2.75,2.7,2.7,2237,0
38,2008-09-05,2.55,2.55,2.5,2.5,60165,0
39,2008-09-09,2.5,2.6,2.45,2.6,50914,0
40,2008-09-11,2.46,2.6,2.46,2.6,14271,0
41,2008-09-17,2.34,2.5,2.34,2.5,16243,0
42,2008-09-18,2.45,2.45,2.45,2.45,1924,0
43,2008-09-19,2.5,2.5,2.5,2.5,641,0
44,2008-09-23,2.4,2.5,2.4,2.5,4584,0
45,2008-09-29,2.3,2.4,2.3,2.4,9825,0
46,2008-09-30,2.5,2.5,2.35,2.4,7561,0
47,2008-10-02,2.2,2.3,2.2,2.3,179200,0
48,2008-10-03,2.2,2.3,2.2,2.3,15733,0
49,2008-10-06,2.28,2.28,2.28,2.28,711,0
50,2008-10-07,2.2,2.3,2.2,2.3,8500,0
51,2008-10-08,2.25,2.3,2.2,2.3,12116,0
52,2008-10-09,2.15,2.15,2.15,2.15,5765,0
53,2008-10-10,2.15,2.3,2.15,2.3,9382,0
54,2008-10-14,2.25,2.3,2.25,2.3,22955,0
