,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-08-30,350.0,440.0,350.0,423.29999000000004,74517,0
1,2017-08-31,425.10000999999994,445.0,425.1,431.89999000000006,46318,0
2,2017-09-01,449.0,449.0,432.25,434.75,21214,0
3,2017-09-04,428.0,433.0,420.05,424.0,7159,0
4,2017-09-05,426.95000999999996,426.95,412.5,418.04999,14536,0
5,2017-09-06,420.0,430.0,418.0,426.0,35395,0
6,2017-09-07,430.14999000000006,440.0,426.0,426.75,32337,0
7,2017-09-08,429.45000999999996,429.45,420.5,425.0,7668,0
8,2017-09-11,426.0,428.95,420.0,425.0,12539,0
9,2017-09-12,426.0,430.0,420.0,425.95000999999996,6594,0
10,2017-09-13,420.0,425.2,420.0,424.89999000000006,89202,0
11,2017-09-14,425.0,430.0,423.0,426.0,8386,0
12,2017-09-15,429.0,429.0,424.0,425.60000999999994,8304,0
13,2017-09-18,425.60000999999994,427.0,425.0,426.0,3773,0
14,2017-09-19,427.0,427.5,420.0,425.75,6707,0
15,2017-09-20,426.0,427.0,418.0,420.0,6207,0
16,2017-09-21,420.0,420.0,413.0,418.0,13335,0
17,2017-09-22,418.0,418.0,405.0,406.0,10064,0
18,2017-09-25,406.0,412.0,401.0,403.5,12429,0
19,2017-09-26,404.0,404.0,395.0,400.0,13381,0
20,2017-09-27,400.0,403.0,395.0,395.0,8869,0
21,2017-09-28,395.0,408.0,395.0,400.0,14710,0
22,2017-09-29,400.0,412.5,397.0,406.0,21725,0
23,2017-10-02,406.10001,410.0,400.0,403.0,8940,0
24,2017-10-03,403.0,403.0,395.0,398.0,17268,0
25,2017-10-04,400.0,400.0,395.0,396.0,7118,0
26,2017-10-05,401.0,401.0,390.0,394.60001,6994,0
27,2017-10-06,395.0,400.0,395.0,396.0,7217,0
28,2017-10-09,395.5,398.0,390.0,395.89999,7277,0
29,2017-10-10,397.0,398.0,390.0,395.0,23583,0
30,2017-10-11,395.0,415.0,395.0,404.0,14081,0
31,2017-10-12,405.0,410.0,398.0,406.0,17938,0
32,2017-10-13,406.04999,407.5,400.0,400.0,13010,0
33,2017-10-17,404.0,406.0,392.0,395.20001,8961,0
34,2017-10-18,395.0,400.0,392.1,394.5,15386,0
35,2017-10-19,394.0,395.0,388.0,390.0,34182,0
36,2017-10-20,395.0,402.0,388.0,390.5,17962,0
37,2017-10-23,402.0,406.95,395.0,397.0,49346,0
38,2017-10-24,402.0,404.0,396.0,398.5,58123,0
39,2017-10-25,405.0,425.0,404.5,406.75,100246,0
40,2017-10-26,414.95001,414.95,400.0,403.0,53010,0
41,2017-10-27,407.0,408.95,400.0,400.0,25991,0
42,2017-10-30,408.0,409.95,402.0,405.0,35843,0
43,2017-10-31,409.0,409.0,405.5,406.70001,16408,0
44,2017-11-01,410.0,410.0,405.05,406.75,30592,0
45,2017-11-02,408.5,414.0,408.5,413.75,78926,0
46,2017-11-03,423.0,436.5,423.0,432.5,142943,0
47,2017-11-07,440.0,442.0,431.5,433.0,38616,0
48,2017-11-08,435.75,437.95,422.0,424.0,28817,0
49,2017-11-09,424.0,429.95,416.0,422.04999000000004,12789,0
50,2017-11-10,422.0,423.0,410.0,423.0,31004,0
51,2017-11-13,425.0,430.0,416.0,420.0,22194,0
52,2017-11-14,421.0,427.4,409.0,413.0,15879,0
53,2017-11-15,415.0,423.0,411.05,414.60001,73245,0
54,2017-11-16,420.0,425.0,414.7,418.0,127534,0
55,2017-11-17,425.0,429.35,415.7,417.0,42879,0
56,2017-11-21,417.0,422.85,415.5,420.5,30401,0
57,2017-11-22,422.0,424.9,418.75,420.0,30333,0
58,2017-11-23,422.0,422.0,418.1,420.45000999999996,7250,0
59,2017-11-24,424.95000999999996,424.95,419.0,422.0,13268,0
60,2017-11-27,422.0,433.0,414.45,414.45001,58424,0
61,2017-11-28,420.0,420.0,412.0,414.70001,19378,0
62,2017-11-29,415.5,420.5,412.0,416.10001,4940,0
63,2017-11-30,415.0,418.0,413.5,414.95001,6414,0
64,2017-12-01,425.0,425.0,415.05,422.39999000000006,55534,0
65,2017-12-04,425.5,428.45,416.0,418.0,10625,0
66,2017-12-05,420.0,423.5,411.0,412.79999,36973,0
67,2017-12-06,414.0,418.0,408.0,409.5,18448,0
