,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.7,1.71,1.68,1.7,32766,0
1,2005-01-04,1.68,1.68,1.63,1.67,12494,0
2,2005-01-05,1.62,1.65,1.6,1.62,15250,0
3,2005-01-06,1.62,1.62,1.6,1.6,12692,0
4,2005-01-07,1.66,1.66,1.63,1.63,4172,0
5,2005-01-10,1.63,1.65,1.6,1.65,14800,0
6,2005-01-11,1.67,1.67,1.65,1.67,17185,0
7,2005-01-12,1.68,1.68,1.65,1.65,17440,0
8,2005-01-13,1.63,1.63,1.63,1.63,1555,0
9,2005-01-14,1.65,1.67,1.65,1.67,26000,0
10,2005-01-17,1.7,1.7,1.68,1.68,18120,0
11,2005-01-18,1.66,1.66,1.66,1.66,8614,0
12,2005-01-19,1.68,1.7,1.68,1.7,6500,0
13,2005-01-20,1.68,1.68,1.66,1.67,13830,0
14,2005-01-21,1.65,1.66,1.65,1.66,15500,0
15,2005-01-24,1.65,1.65,1.65,1.65,6000,0
16,2005-01-25,1.64,1.66,1.64,1.65,23050,0
17,2005-01-26,1.65,1.69,1.65,1.69,12270,0
18,2005-01-27,1.7,1.7,1.65,1.65,26200,0
19,2005-01-28,1.66,1.7,1.66,1.7,18210,0
20,2005-01-31,1.7,1.71,1.7,1.7,14600,0
21,2005-02-01,1.7,1.72,1.7,1.72,24428,0
22,2005-02-02,1.71,1.72,1.71,1.72,10000,0
23,2005-02-03,1.72,1.72,1.72,1.72,25300,0
24,2005-02-04,1.72,1.74,1.72,1.74,17060,0
25,2005-02-07,1.75,1.77,1.75,1.77,57550,0
26,2005-02-08,1.75,1.77,1.75,1.75,10200,0
27,2005-02-09,1.75,1.77,1.75,1.77,17651,0
28,2005-02-11,1.75,1.77,1.75,1.77,16650,0
29,2005-02-14,1.78,1.78,1.73,1.76,18990,0
30,2005-02-15,1.75,1.75,1.69,1.71,28210,0
31,2005-02-16,1.71,1.72,1.68,1.72,26350,0
32,2005-02-17,1.75,1.75,1.72,1.72,30900,0
33,2005-02-18,1.79,1.79,1.75,1.77,19298,0
34,2005-02-21,1.79,1.79,1.72,1.75,23354,0
35,2005-02-22,1.73,1.74,1.7,1.74,17294,0
36,2005-02-23,1.74,1.76,1.72,1.74,47100,0
37,2005-02-24,1.74,1.74,1.7,1.7,29000,0
38,2005-02-25,1.75,1.75,1.73,1.75,21646,0
39,2005-02-28,1.77,1.8,1.72,1.72,53308,0
40,2005-03-01,1.7,1.73,1.69,1.73,47000,0
41,2005-03-02,1.73,1.75,1.72,1.75,13390,0
42,2005-03-03,1.75,1.75,1.72,1.73,27945,0
43,2005-03-04,1.7,1.75,1.7,1.75,36832,0
44,2005-03-07,1.77,1.85,1.77,1.84,43685,0
45,2005-03-08,1.88,1.92,1.87,1.88,149961,0
46,2005-03-09,1.9,1.91,1.82,1.83,73156,0
47,2005-03-10,1.9,1.9,1.75,1.85,47655,0
48,2005-03-11,1.83,1.85,1.8,1.83,16268,0
49,2005-03-14,1.74,1.76,1.68,1.69,24725,0
50,2005-03-15,1.7,1.75,1.69,1.69,40243,0
51,2005-03-17,1.7,1.75,1.7,1.75,5750,0
52,2005-03-18,1.75,1.78,1.75,1.78,13430,0
53,2005-03-21,1.78,1.78,1.78,1.78,8000,0
