,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2007-04-26,2.8,2.85,2.75,2.76,11247397,0
1,2007-04-27,2.78,2.8,2.76,2.79,5943577,0
2,2007-04-30,2.76,2.84,2.75,2.81,7235272,0
3,2007-05-02,2.8,2.81,2.76,2.76,2382285,0
4,2007-05-03,2.77,2.77,2.75,2.76,1346879,0
5,2007-05-04,2.79,2.81,2.77,2.78,2333765,0
6,2007-05-07,2.77,2.78,2.74,2.76,1528367,0
7,2007-05-08,2.72,2.76,2.7,2.76,748387,0
8,2007-05-09,2.74,2.78,2.73,2.78,915258,0
9,2007-05-10,2.77,2.77,2.75,2.75,1770811,0
10,2007-05-11,2.75,2.8,2.75,2.78,1041989,0
11,2007-05-14,2.78,2.8,2.77,2.8,1304639,0
12,2007-05-15,2.8,2.81,2.76,2.77,1926363,0
13,2007-05-16,2.78,2.78,2.73,2.75,1104185,0
14,2007-05-17,2.75,2.79,2.74,2.79,1685806,0
15,2007-05-18,2.79,2.79,2.74,2.77,1243645,0
16,2007-05-21,2.75,2.75,2.72,2.75,2053158,0
17,2007-05-22,2.74,2.78,2.73,2.76,1027370,0
18,2007-05-23,2.75,2.81,2.75,2.79,1484246,0
19,2007-05-24,2.78,2.78,2.74,2.77,1697215,0
20,2007-05-28,2.75,2.76,2.74,2.76,151271,0
21,2007-05-29,2.75,2.76,2.74,2.76,693400,0
22,2007-05-30,2.73,2.79,2.73,2.78,2151517,0
23,2007-05-31,2.77,2.8,2.77,2.79,2080884,0
24,2007-06-01,2.79,2.84,2.78,2.84,1290401,0
25,2007-06-04,2.84,2.92,2.8,2.88,3207798,0
26,2007-06-05,2.84,2.88,2.8,2.87,1737593,0
27,2007-06-06,2.84,2.86,2.83,2.86,445874,0
28,2007-06-07,2.86,2.88,2.79,2.84,866677,0
29,2007-06-08,2.84,2.86,2.8,2.86,1298591,0
30,2007-06-11,2.84,2.9,2.83,2.87,1323798,0
31,2007-06-12,2.84,2.85,2.81,2.81,2563697,0
32,2007-06-13,2.83,2.89,2.83,2.89,1537283,0
33,2007-06-14,2.89,2.94,2.89,2.93,3457333,0
34,2007-06-15,3.01,3.05,2.99,3.02,2797852,0
35,2007-06-19,3.14,3.34,3.13,3.33,6633880,0
36,2007-06-20,3.37,3.38,3.27,3.27,3021316,0
37,2007-06-21,3.22,3.36,3.22,3.34,2092320,0
38,2007-06-22,3.33,3.39,3.32,3.36,1553302,0
39,2007-06-25,3.34,3.35,3.3,3.33,1072887,0
40,2007-06-26,3.34,3.34,3.19,3.28,1716473,0
41,2007-06-27,3.24,3.26,3.18,3.19,1289313,0
42,2007-06-28,3.2,3.22,3.13,3.14,470837,0
43,2007-06-29,3.15,3.22,3.14,3.14,1106036,0
44,2007-07-02,3.17,3.28,3.17,3.28,801190,0
45,2007-07-03,3.28,3.37,3.28,3.34,844747,0
46,2007-07-04,3.35,3.45,3.34,3.43,342070,0
47,2007-07-05,3.43,3.5,3.38,3.46,1643589,0
48,2007-07-06,3.5,3.53,3.37,3.42,2101746,0
49,2007-07-10,3.48,3.55,3.47,3.51,1121407,0
50,2007-07-11,3.51,3.55,3.48,3.54,1480396,0
51,2007-07-12,3.55,3.66,3.55,3.62,1406230,0
52,2007-07-13,3.64,3.8,3.64,3.8,1130226,0
53,2007-07-16,3.82,3.82,3.68,3.71,1554405,0
54,2007-07-17,3.72,3.74,3.69,3.7,1134111,0
55,2007-07-18,3.69,3.69,3.6,3.63,691448,0
56,2007-07-19,3.63,3.68,3.62,3.66,977350,0
57,2007-07-20,3.6,3.68,3.6,3.64,287019,0
58,2007-07-23,3.64,3.66,3.59,3.61,457676,0
59,2007-07-24,3.59,3.61,3.54,3.54,579397,0
60,2007-07-25,3.54,3.56,3.4,3.4,760122,0
61,2007-07-26,3.36,3.4,3.25,3.27,720756,0
62,2007-07-27,3.32,3.45,3.24,3.3,1210046,0
63,2007-07-30,3.4,3.46,3.34,3.41,433379,0
64,2007-07-31,3.48,3.48,3.36,3.41,1525669,0
65,2007-08-01,3.38,3.38,3.26,3.29,1319277,0
66,2007-08-02,3.28,3.39,3.27,3.35,962282,0
67,2007-08-03,3.33,3.34,3.3,3.3,155972,0
68,2007-08-06,3.28,3.28,3.19,3.22,996128,0
69,2007-08-07,3.23,3.3,3.23,3.3,330493,0
70,2007-08-08,3.31,3.34,3.27,3.3,1175756,0
71,2007-08-09,3.22,3.28,3.22,3.22,175908,0
72,2007-08-10,3.22,3.28,3.17,3.24,376819,0
73,2007-08-13,3.25,3.28,3.23,3.27,193129,0
74,2007-08-14,3.28,3.28,3.16,3.2,851910,0
75,2007-08-15,3.17,3.2,3.0,3.03,472970,0
76,2007-08-16,2.9,2.98,2.75,2.9,2369625,0
77,2007-08-17,3.0,3.05,2.93,3.05,568977,0
78,2007-08-21,3.07,3.08,3.02,3.08,581984,0
79,2007-08-22,3.13,3.2,3.13,3.2,794640,0
80,2007-08-23,3.22,3.25,3.2,3.25,837817,0
81,2007-08-24,3.24,3.35,3.23,3.33,1514086,0
82,2007-08-27,3.28,3.33,3.25,3.33,823906,0
83,2007-08-28,3.16,3.25,3.16,3.18,873008,0
84,2007-08-29,3.19,3.36,3.19,3.36,834139,0
85,2007-08-30,3.36,3.53,3.36,3.5,1417040,0
86,2007-08-31,3.5,3.56,3.46,3.5,548037,0
87,2007-09-03,3.5,3.5,3.45,3.46,154195,0
88,2007-09-04,3.46,3.47,3.36,3.44,685951,0
89,2007-09-05,3.38,3.52,3.37,3.48,416415,0
90,2007-09-06,3.5,3.53,3.42,3.5,5382000,0
91,2007-09-07,3.37,3.42,3.29,3.32,558315,0
92,2007-09-10,3.39,3.39,3.2,3.22,1383203,0
93,2007-09-11,3.22,3.23,3.19,3.22,242524,0
94,2007-09-12,3.23,3.29,3.23,3.23,338420,0
95,2007-09-13,3.21,3.22,3.17,3.17,476971,0
96,2007-09-14,3.18,3.33,3.17,3.33,1235619,0
97,2007-09-17,3.38,3.38,3.3,3.36,343821,0
98,2007-09-18,3.38,3.41,3.33,3.4,313655,0
99,2007-09-19,3.5,3.5,3.38,3.38,492065,0
100,2007-09-20,3.4,3.43,3.35,3.41,421849,0
101,2007-09-21,3.44,3.52,3.41,3.5,1080849,0
102,2007-09-24,3.5,3.53,3.48,3.53,292787,0
103,2007-09-25,3.5,3.52,3.48,3.49,168934,0
104,2007-09-26,3.48,3.52,3.47,3.52,343386,0
105,2007-09-27,3.52,3.73,3.5,3.73,1286449,0
106,2007-09-28,3.8,3.82,3.7,3.82,1754292,0
107,2007-10-01,3.89,3.89,3.77,3.84,1224908,0
108,2007-10-02,3.84,3.86,3.75,3.75,718999,0
109,2007-10-03,3.76,3.8,3.73,3.75,566333,0
110,2007-10-04,3.78,3.8,3.74,3.74,261628,0
111,2007-10-05,3.77,3.84,3.77,3.84,531230,0
112,2007-10-08,3.85,4.0,3.85,3.94,661991,0
113,2007-10-09,3.94,3.94,3.88,3.9,449918,0
114,2007-10-10,3.85,3.87,3.81,3.81,1414046,0
115,2007-10-11,3.82,3.82,3.65,3.72,1030535,0
116,2007-10-12,3.73,3.78,3.73,3.77,588870,0
117,2007-10-16,3.66,3.69,3.65,3.67,287928,0
118,2007-10-17,3.67,3.68,3.6,3.68,2742574,0
119,2007-10-18,3.65,3.77,3.65,3.77,830863,0
120,2007-10-19,3.77,3.8,3.68,3.78,1331537,0
121,2007-10-22,3.67,3.78,3.67,3.78,639482,0
122,2007-10-23,3.81,3.84,3.76,3.83,431876,0
