,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2007-10-19,30.15,30.6,30.0,30.45,397480,0
1,2007-10-22,30.4,30.4,30.15,30.4,127093,0
2,2007-10-23,30.55,30.6,30.25,30.5,99533,0
3,2007-10-24,30.6,31.0,30.6,30.9,194901,0
4,2007-10-25,31.0,32.2,31.0,32.2,142885,0
5,2007-10-26,32.5,32.5,32.0,32.3,203898,0
6,2007-10-29,32.5,32.6,32.25,32.3,138399,0
7,2007-10-30,32.4,32.4,31.9,32.0,105618,0
8,2007-10-31,32.05,32.2,31.9,32.1,84467,0
9,2007-11-01,32.2,32.2,31.9,31.95,50558,0
10,2007-11-02,31.95,32.6,31.9,32.6,139388,0
11,2007-11-05,32.6,32.8,32.55,32.75,35287,0
12,2007-11-07,32.8,32.85,32.5,32.7,101329,0
13,2007-11-08,32.6,32.6,32.3,32.45,138015,0
14,2007-11-09,32.45,32.5,31.9,32.3,303715,0
15,2007-11-12,32.1,32.3,31.75,32.2,65849,0
16,2007-11-13,32.15,32.2,32.15,32.2,499397,0
17,2007-11-14,32.2,32.2,31.8,31.8,104252,0
18,2007-11-15,31.55,31.55,31.0,31.3,23462,0
19,2007-11-16,31.25,31.3,31.0,31.2,8947,0
20,2007-11-19,31.2,31.3,31.0,31.3,2776,0
21,2007-11-20,30.85,31.0,30.85,31.0,25210,0
22,2007-11-21,30.95,30.95,30.0,30.25,12992,0
23,2007-11-22,30.1,30.2,29.8,30.1,36400,0
24,2007-11-23,30.0,30.2,29.8,30.2,70700,0
25,2007-11-26,30.1,30.25,30.0,30.25,128015,0
26,2007-11-27,30.25,30.25,29.9,30.0,56760,0
27,2007-11-28,31.5,31.5,29.75,30.1,116903,0
28,2007-11-29,29.85,30.0,29.4,29.8,71216,0
29,2007-11-30,29.8,30.0,29.15,29.3,54445,0
30,2007-12-03,28.8,28.9,28.75,28.8,46774,0
31,2007-12-04,28.4,28.5,28.3,28.5,26150,0
32,2007-12-05,28.25,28.25,27.8,28.0,71469,0
33,2007-12-06,27.55,27.8,27.45,27.75,186096,0
34,2007-12-07,27.4,27.9,27.15,27.9,101391,0
35,2007-12-10,27.7,27.7,27.25,27.5,16130,0
36,2007-12-11,27.5,27.5,27.25,27.35,52120,0
37,2007-12-12,27.2,27.5,27.1,27.5,40310,0
38,2007-12-13,27.15,27.3,27.0,27.05,123189,0
39,2007-12-14,27.0,27.2,27.0,27.2,70222,0
40,2007-12-17,27.0,27.2,26.95,27.2,531510,0
41,2007-12-18,27.3,27.5,27.3,27.5,45272,0
42,2007-12-19,27.75,27.75,27.5,27.55,20366,0
43,2007-12-20,27.7,27.7,27.5,27.55,129598,0
44,2007-12-21,27.55,28.0,27.55,28.0,41691,0
45,2007-12-26,28.0,28.5,28.0,28.5,772,0
46,2007-12-27,28.5,29.25,28.5,29.25,34632,0
47,2007-12-28,29.25,29.5,28.85,29.5,28966,0
48,2008-01-02,29.4,29.4,28.5,28.8,28335,0
49,2008-01-03,29.0,29.0,28.4,29.0,20741,0
50,2008-01-04,28.5,29.0,28.5,29.0,14510,0
51,2008-01-08,28.0,28.5,27.8,28.5,14354,0
52,2008-01-09,27.75,28.2,27.5,27.5,8965,0
53,2008-01-10,27.25,27.75,27.25,27.75,81380,0
54,2008-01-11,27.8,27.8,27.0,27.0,26683,0
55,2008-01-14,27.2,27.8,27.2,27.8,214672,0
56,2008-01-15,27.8,27.8,27.4,27.7,52644,0
57,2008-01-16,27.5,27.5,27.0,27.5,10034,0
58,2008-01-17,27.05,27.25,27.0,27.25,24662,0
59,2008-01-18,27.25,27.4,26.85,27.4,18710,0
60,2008-01-21,27.05,27.05,26.0,26.5,22639,0
61,2008-01-22,26.0,26.0,25.7,25.75,23941,0
62,2008-01-23,25.6,25.6,24.0,24.75,105350,0
63,2008-01-24,24.75,25.55,24.75,25.55,26938,0
64,2008-01-25,25.75,26.0,25.75,26.0,1661,0
65,2008-01-29,24.8,25.0,24.75,24.85,97600,0
66,2008-01-30,24.6,24.6,24.0,24.6,166275,0
67,2008-01-31,24.0,24.0,24.0,24.0,2216,0
68,2008-02-01,23.5,24.4,23.5,24.4,161877,0
69,2008-02-04,24.6,24.6,23.1,23.5,479941,0
70,2008-02-05,23.1,23.1,22.9,23.1,406400,0
71,2008-02-06,22.9,23.1,22.9,23.1,71198,0
72,2008-02-07,22.25,22.75,22.25,22.5,397652,0
73,2008-02-08,22.2,22.5,22.1,22.5,4972,0
74,2008-02-11,22.0,22.0,21.0,21.5,383220,0
75,2008-02-12,22.0,22.2,21.5,22.0,24480,0
76,2008-02-13,22.6,22.9,22.6,22.9,46243,0
77,2008-02-14,23.0,24.0,23.0,24.0,428673,0
78,2008-02-15,22.8,23.0,22.8,22.85,145862,0
79,2008-02-18,22.85,23.0,22.85,23.0,1040,0
80,2008-02-19,22.75,23.15,22.75,23.0,342054,0
81,2008-02-20,22.65,22.75,22.25,22.75,26600,0
82,2008-02-21,22.75,23.0,22.75,22.85,61343,0
83,2008-02-22,22.0,22.3,21.65,22.3,81720,0
84,2008-02-25,22.3,22.3,21.75,21.8,13926,0
85,2008-02-26,22.0,22.3,21.95,22.3,121100,0
86,2008-02-27,22.0,22.0,21.9,22.0,260404,0
87,2008-02-28,21.75,22.3,21.75,22.3,39797,0
88,2008-02-29,22.35,22.35,22.15,22.3,8543,0
89,2008-03-03,22.5,22.65,22.5,22.65,32925,0
90,2008-03-04,22.65,22.65,22.5,22.6,26264,0
91,2008-03-05,22.25,22.35,22.2,22.35,18973,0
