,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,2.54,2.59,2.54,2.55,3025253,0
1,2005-01-04,2.55,2.55,2.45,2.46,5247718,0
2,2005-01-05,2.45,2.45,2.38,2.4,8349846,0
3,2005-01-06,2.4,2.43,2.4,2.41,3574236,0
4,2005-01-07,2.44,2.45,2.38,2.4,4021568,0
5,2005-01-10,2.41,2.44,2.39,2.43,5964676,0
6,2005-01-11,2.45,2.49,2.45,2.48,5995070,0
7,2005-01-12,2.49,2.52,2.47,2.5,4271615,0
8,2005-01-13,2.5,2.51,2.46,2.48,4022787,0
9,2005-01-14,2.48,2.48,2.42,2.45,2967120,0
10,2005-01-17,2.44,2.47,2.44,2.47,896468,0
11,2005-01-18,2.45,2.46,2.43,2.44,2261786,0
12,2005-01-19,2.45,2.46,2.39,2.41,2275062,0
13,2005-01-20,2.38,2.4,2.34,2.36,5049358,0
14,2005-01-21,2.36,2.39,2.36,2.38,1870033,0
15,2005-01-24,2.38,2.38,2.34,2.35,2894507,0
16,2005-01-25,2.35,2.4,2.35,2.37,3526537,0
17,2005-01-26,2.37,2.47,2.35,2.47,5603730,0
18,2005-01-27,2.49,2.53,2.47,2.51,5202607,0
19,2005-01-28,2.53,2.54,2.49,2.51,3636762,0
20,2005-01-31,2.52,2.53,2.49,2.5,1827396,0
21,2005-02-01,2.5,2.51,2.47,2.5,2892665,0
22,2005-02-02,2.5,2.51,2.46,2.49,3331790,0
23,2005-02-03,2.48,2.55,2.48,2.55,3877501,0
24,2005-02-04,2.57,2.62,2.57,2.6,7788018,0
25,2005-02-07,2.6,2.62,2.57,2.6,5897062,0
26,2005-02-08,2.62,2.69,2.62,2.68,10559230,0
27,2005-02-09,2.72,2.74,2.66,2.69,11702490,0
28,2005-02-10,2.69,2.72,2.68,2.69,7021194,0
29,2005-02-11,2.7,2.74,2.68,2.72,5363323,0
30,2005-02-14,2.72,2.76,2.72,2.74,4329344,0
31,2005-02-15,2.74,2.76,2.68,2.68,4410699,0
32,2005-02-16,2.68,2.71,2.65,2.7,5591707,0
33,2005-02-17,2.7,2.72,2.68,2.7,11090920,0
34,2005-02-18,2.7,2.73,2.67,2.69,10970250,0
35,2005-02-21,2.71,2.71,2.61,2.61,5829906,0
