,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2016-06-09,37.5,37.6,37.3,37.4,182297,0
1,2016-06-10,37.6,37.6,37.5,37.6,53437,0
2,2016-06-13,37.7,37.75,37.6,37.75,10966,0
3,2016-06-14,37.7,37.7,37.65,37.7,18603,0
4,2016-06-15,37.7,37.7,37.6,37.6,11019,0
5,2016-06-16,37.65,37.7,37.6,37.65,6634,0
6,2016-06-21,37.65,37.65,37.5,37.6,13850,0
7,2016-06-22,37.75,37.75,37.4,37.6,19479,0
8,2016-06-23,37.6,37.7,37.6,37.6,22210,0
9,2016-06-24,37.0,37.0,36.65,36.65,3556,0
10,2016-06-27,36.2,36.5,35.5,36.0,15586,0
11,2016-06-28,36.5,36.6,36.0,36.6,9047,0
12,2016-06-29,36.9,36.9,36.3,36.5,15683,0
13,2016-06-30,36.5,36.5,36.0,36.5,17456,0
14,2016-07-01,36.5,36.8,36.5,36.5,12475,0
15,2016-07-04,36.5,36.5,35.75,36.2,13332,0
16,2016-07-05,36.2,36.2,36.2,36.2,1626,0
17,2016-07-06,36.2,36.2,35.0,35.5,12368,0
18,2016-07-07,35.5,35.5,35.0,35.3,11725,0
19,2016-07-11,35.3,35.3,33.15,34.0,23168,0
20,2016-07-12,34.0,34.0,32.5,32.9,11397,0
21,2016-07-13,32.7,33.3,32.7,33.3,25314,0
22,2016-07-14,33.6,33.6,33.45,33.5,4355,0
23,2016-07-15,33.5,33.9,33.2,33.9,5484,0
24,2016-07-18,33.0,33.9,32.6,33.9,19938,0
25,2016-07-19,34.0,34.0,33.5,33.8,13562,0
26,2016-07-20,33.5,33.5,32.5,33.5,4135,0
27,2016-07-21,33.5,33.5,32.7,32.7,2574,0
28,2016-07-22,32.8,32.8,32.0,32.3,6218,0
29,2016-07-25,32.3,32.3,32.0,32.15,1920,0
30,2016-07-26,32.5,33.5,32.1,32.3,11836,0
31,2016-07-27,32.3,32.3,32.0,32.0,6713,0
32,2016-07-28,32.1,32.1,31.2,31.2,9885,0
33,2016-07-29,31.0,31.25,30.0,31.0,3121,0
34,2016-08-01,30.85,31.0,30.0,30.4,9547,0
35,2016-08-02,30.2,30.2,29.9,30.0,21440,0
36,2016-08-03,30.0,30.35,29.5,30.1,4930,0
37,2016-08-04,30.3,30.4,30.25,30.4,1175,0
38,2016-08-05,30.9,31.0,30.9,31.0,3961,0
39,2016-08-08,31.2,31.2,30.0,31.0,10834,0
40,2016-08-09,31.5,31.6,30.9,31.6,1634,0
41,2016-08-10,31.65,32.2,31.65,32.2,7896,0
42,2016-08-11,32.5,32.55,32.5,32.5,1055,0
43,2016-08-12,32.85,33.4,32.6,33.4,1660,0
44,2016-08-16,34.0,34.0,32.0,32.0,6292,0
45,2016-08-17,32.5,32.5,32.1,32.3,2667,0
