,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,3.39,3.39,3.35,3.35,16545,0
1,2005-01-04,3.3,3.3,3.27,3.27,322000,0
2,2005-01-05,3.25,3.25,3.2,3.22,467501,0
3,2005-01-06,3.25,3.3,3.25,3.3,41453,0
4,2005-01-10,3.3,3.3,3.3,3.3,4990,0
5,2005-01-11,3.3,3.37,3.28,3.37,21144,0
6,2005-01-12,3.37,3.45,3.37,3.42,23130,0
7,2005-01-13,3.4,3.4,3.4,3.4,1820,0
8,2005-01-14,3.39,3.4,3.39,3.4,2940,0
9,2005-01-17,3.44,3.44,3.44,3.44,1008,0
10,2005-01-18,3.4,3.4,3.33,3.33,4578,0
11,2005-01-19,3.32,3.33,3.32,3.33,4096,0
12,2005-01-20,3.33,3.33,3.33,3.33,2840,0
13,2005-01-21,3.35,3.35,3.35,3.35,1000,0
14,2005-01-24,3.35,3.4,3.32,3.4,67600,0
15,2005-01-26,3.38,3.5,3.36,3.5,81201,0
16,2005-01-27,3.5,3.51,3.5,3.5,48654,0
17,2005-01-28,3.5,3.6,3.5,3.6,92654,0
18,2005-01-31,3.6,3.62,3.59,3.59,18467,0
19,2005-02-01,3.6,3.6,3.6,3.6,1000,0
20,2005-02-02,3.6,3.62,3.58,3.58,778873,0
21,2005-02-03,3.58,3.6,3.58,3.6,254188,0
22,2005-02-04,3.6,3.7,3.6,3.7,140105,0
23,2005-02-07,3.7,3.8,3.7,3.74,38311,0
24,2005-02-08,3.8,3.83,3.79,3.8,20892,0
25,2005-02-09,3.82,3.88,3.82,3.83,764633,0
26,2005-02-10,3.81,3.88,3.81,3.84,82658,0
27,2005-02-11,3.95,4.1,3.95,4.04,94404,0
28,2005-02-14,4.05,4.44,4.05,4.36,94022,0
29,2005-02-15,4.36,4.41,4.35,4.4,32260,0
30,2005-02-16,4.42,4.5,4.4,4.5,43257,0
31,2005-02-17,4.5,4.5,4.29,4.4,729410,0
32,2005-02-18,4.38,4.38,4.2,4.38,121955,0
33,2005-02-21,4.34,4.35,4.2,4.35,8825,0
34,2005-02-22,4.28,4.35,4.28,4.35,21385,0
35,2005-02-23,4.28,4.65,4.28,4.64,124483,0
36,2005-02-24,4.69,4.85,4.58,4.67,67653,0
37,2005-02-25,4.67,5.0,4.67,4.97,241296,0
38,2005-02-28,5.0,5.15,4.93,4.94,74724,0
39,2005-03-01,4.89,4.94,4.86,4.94,100909,0
40,2005-03-02,4.94,5.06,4.94,5.05,171652,0
41,2005-03-03,5.08,5.08,4.93,4.93,38613,0
42,2005-03-04,4.98,5.06,4.95,4.95,96231,0
43,2005-03-07,4.9,4.95,4.8,4.9,117029,0
44,2005-03-08,4.92,4.92,4.88,4.88,5398,0
45,2005-03-09,4.89,4.89,4.43,4.45,261383,0
46,2005-03-10,4.45,4.45,4.3,4.35,21569,0
47,2005-03-11,4.4,4.4,4.2,4.2,41698,0
48,2005-03-14,4.2,4.2,4.0,4.0,383253,0
49,2005-03-15,4.0,4.05,3.98,4.05,10088,0
50,2005-03-16,4.05,4.2,4.05,4.17,17760,0
51,2005-03-17,4.16,4.16,4.06,4.09,76405,0
52,2005-03-18,4.1,4.12,4.05,4.05,15567,0
53,2005-03-21,4.2,4.2,3.84,3.86,93926,0
54,2005-03-22,3.86,3.86,3.86,3.86,6595,0
55,2005-03-23,3.78,3.78,3.78,3.78,40000,0
56,2005-03-28,3.75,3.8,3.75,3.76,261255,0
57,2005-03-29,3.9,3.9,3.8,3.8,14136,0
58,2005-03-30,3.82,3.82,3.7,3.82,20685,0
59,2005-03-31,3.8,3.8,3.74,3.74,10128,0
60,2005-04-01,3.77,3.77,3.75,3.75,3390,0
61,2005-04-04,3.77,3.8,3.75,3.8,26992,0
62,2005-04-05,3.8,3.8,3.65,3.65,12500,0
63,2005-04-06,3.7,3.7,3.66,3.66,9760,0
64,2005-04-07,3.65,3.65,3.65,3.65,732,0
65,2005-04-08,3.7,3.7,3.6,3.6,5670,0
66,2005-04-12,3.55,3.6,3.46,3.6,17300,0
67,2005-04-13,3.55,3.55,3.55,3.55,2195,0
68,2005-04-14,3.5,3.5,3.45,3.45,2067,0
69,2005-04-15,3.37,3.37,3.3,3.3,2986,0
70,2005-04-18,3.35,3.35,3.35,3.35,2650,0
71,2005-04-19,3.35,3.35,3.32,3.35,15250,0
72,2005-04-20,3.35,3.35,3.3,3.3,3308,0
73,2005-04-21,3.32,3.32,3.26,3.26,33490,0
74,2005-04-22,3.31,3.31,3.22,3.22,24054,0
75,2005-04-25,3.25,3.4,3.25,3.4,8270,0
76,2005-04-26,3.5,3.5,3.33,3.35,26500,0
77,2005-04-27,3.39,3.42,3.33,3.35,213651,0
78,2005-04-28,3.28,3.29,3.24,3.25,86626,0
79,2005-04-29,3.32,3.32,3.32,3.32,13298,0
80,2005-05-02,3.4,3.4,3.32,3.32,116200,0
81,2005-05-03,3.35,3.42,3.35,3.41,109437,0
82,2005-05-04,3.5,3.6,3.45,3.6,128205,0
83,2005-05-05,3.62,3.65,3.5,3.5,76814,0
84,2005-05-06,3.5,3.52,3.45,3.52,46480,0
85,2005-05-09,3.65,3.65,3.65,3.65,1500,0
86,2005-05-10,3.65,3.65,3.56,3.6,183328,0
87,2005-05-11,3.65,3.7,3.62,3.69,266450,0
88,2005-05-12,3.68,3.7,3.65,3.65,214834,0
89,2005-05-13,3.4,3.63,3.4,3.61,56794,0
90,2005-05-16,3.61,3.61,3.48,3.55,22745,0
91,2005-05-17,3.5,3.52,3.49,3.5,37656,0
92,2005-05-18,3.63,3.65,3.55,3.55,235198,0
93,2005-05-19,3.7,3.7,3.6,3.64,35769,0
94,2005-05-20,3.65,3.65,3.65,3.65,8045,0
95,2005-05-23,3.68,3.68,3.59,3.6,33265,0
96,2005-05-24,3.6,3.65,3.57,3.6,146306,0
97,2005-05-26,3.5,3.6,3.5,3.57,592860,0
98,2005-05-27,3.57,3.69,3.57,3.67,657350,0
99,2005-05-30,3.72,3.73,3.69,3.73,227225,0
100,2005-05-31,3.69,3.69,3.62,3.62,309768,0
101,2005-06-01,3.62,3.65,3.62,3.62,306206,0
102,2005-06-02,3.62,3.63,3.58,3.6,38874,0
103,2005-06-03,3.62,3.62,3.59,3.59,15676,0
104,2005-06-06,3.55,3.69,3.55,3.68,75529,0
105,2005-06-07,3.6,3.6,3.55,3.6,39970,0
106,2005-06-08,3.6,3.6,3.55,3.55,16619,0
107,2005-06-09,3.55,3.55,3.5,3.54,15124,0
