,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-11-01,76.5,78.2,74.1,75.55,3448760,0
1,2017-11-03,77.0,77.5,75.0,75.75,814176,0
2,2017-11-07,76.0,77.4,74.85,74.9,530985,0
3,2017-11-08,75.1,76.5,74.65,76.5,389262,0
4,2017-11-09,77.2,77.7,75.0,75.5,373747,0
5,2017-11-10,75.5,77.3,74.0,74.1,384201,0
6,2017-11-13,75.0,75.0,73.8,74.25,206096,0
7,2017-11-14,74.35,74.35,72.5,73.0,222649,0
8,2017-11-15,73.0,74.5,72.0,74.15,403619,0
9,2017-11-16,74.2,76.9,74.2,76.65,244688,0
10,2017-11-17,76.5,77.25,76.5,77.0,162035,0
11,2017-11-21,77.9,79.85,77.9,79.3,304979,0
12,2017-11-22,80.0,82.9,80.0,82.6,311960,0
13,2017-11-23,84.75,84.95,82.6,83.2,185417,0
14,2017-11-24,83.0,83.0,81.5,82.9,143256,0
15,2017-11-27,84.0,84.0,79.0,80.4,93674,0
16,2017-11-28,80.4,81.0,79.6,79.7,248369,0
17,2017-11-29,80.0,80.0,75.1,77.9,87243,0
18,2017-11-30,77.0,80.0,76.1,77.9,117097,0
19,2017-12-01,77.9,78.0,75.9,75.9,62301,0
20,2017-12-04,76.0,77.9,74.0,75.2,83813,0
21,2017-12-05,76.95,76.95,73.0,74.0,128116,0
22,2017-12-06,74.2,74.7,72.75,74.0,49281,0
23,2017-12-07,74.0,75.8,73.8,75.0,67960,0
24,2017-12-11,76.0,76.95,74.9,76.0,101912,0
25,2017-12-12,76.4,76.7,75.0,76.25,61388,0
26,2017-12-13,77.0,78.0,75.0,75.1,67342,0
27,2017-12-14,76.0,77.0,73.5,75.8,85017,0
28,2017-12-15,76.5,76.5,75.0,75.3,79522,0
29,2017-12-18,76.0,76.8,74.95,75.6,45344,0
30,2017-12-19,76.8,81.0,76.0,81.0,256595,0
31,2017-12-20,81.0,81.0,78.5,79.75,67990,0
32,2017-12-21,79.0,80.2,79.0,79.6,103080,0
33,2017-12-22,79.5,81.0,79.4,80.1,81036,0
34,2017-12-26,80.1,82.3,80.1,81.9,122303,0
35,2017-12-27,81.9,84.0,81.4,83.2,90396,0
36,2017-12-28,83.3,86.9,83.3,84.9,69613,0
37,2017-12-29,85.3,87.0,84.0,85.4,29391,0
38,2018-01-02,86.0,90.5,85.5,88.4,119780,0
39,2018-01-03,89.1,92.0,88.0,89.0,195267,0
40,2018-01-04,90.0,94.5,90.0,92.1,336986,0
41,2018-01-05,93.0,94.7,91.0,92.0,281532,0
