,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1376.01001,1390.3,1367.62,1369.5,52038580,0
1,2005-01-04,1367.48999,1367.49,1333.81,1337.45996,58506860,0
2,2005-01-05,1336.06006,1336.06,1298.37,1305.56006,68741432,0
3,2005-01-06,1305.56006,1324.82,1305.56,1316.63,36876060,0
4,2005-01-07,1316.81006,1333.15,1304.22,1309.44995,39520760,0
5,2005-01-10,1309.82996,1335.62,1309.45,1334.57996,47657600,0
6,2005-01-11,1339.95996,1356.54,1339.96,1350.92004,66331820,0
7,2005-01-12,1351.57996,1358.55,1336.89,1344.10999,64506808,0
8,2005-01-13,1344.10999,1347.29,1331.88,1347.29004,37372088,0
9,2005-01-14,1348.45996,1353.04,1330.99,1344.69995,41869260,0
10,2005-01-17,1344.69995,1351.81,1341.37,1348.68994,15234310,0
11,2005-01-18,1348.68994,1349.21,1333.84,1345.4699699999999,43705232,0
12,2005-01-19,1343.56995,1352.26,1333.21,1336.95996,27028540,0
13,2005-01-20,1336.95996,1336.96,1313.42,1319.18994,40580200,0
14,2005-01-21,1319.18994,1329.02,1319.13,1325.73999,23991640,0
15,2005-01-24,1325.73999,1326.39,1306.72,1311.92004,25429660,0
16,2005-01-25,1310.63,1321.77,1307.49,1309.67004,35964200,0
17,2005-01-26,1309.67004,1355.32,1306.7,1355.31995,51737920,0
18,2005-01-27,1355.31995,1380.2,1355.32,1378.43005,81474872,0
19,2005-01-28,1378.43005,1389.63,1373.09,1381.92004,42571680,0
20,2005-01-31,1381.80005,1387.36,1370.59,1373.79004,32226220,0
21,2005-02-01,1373.79004,1379.82,1365.3,1373.41003,41440568,0
22,2005-02-02,1373.9699699999999,1379.88,1359.07,1371.02002,71275456,0
23,2005-02-03,1371.87,1399.23,1371.04,1399.22998,71675848,0
24,2005-02-04,1404.02002,1430.37,1404.02,1428.54004,140794096,0
25,2005-02-07,1429.39001,1437.15,1419.66,1434.0300300000001,76790032,0
26,2005-02-08,1434.7199699999999,1480.48,1434.72,1480.10999,163602496,0
27,2005-02-09,1479.93005,1497.64,1468.54,1484.5999800000002,170588096,0
28,2005-02-10,1485.35999,1495.92,1475.17,1487.39001,89597048,0
29,2005-02-11,1488.1500199999998,1511.13,1487.57,1496.91003,100105600,0
30,2005-02-14,1496.91003,1523.77,1496.91,1517.93005,96390608,0
31,2005-02-15,1518.8499800000002,1527.37,1491.14,1493.95996,88900472,0
32,2005-02-16,1494.08997,1509.13,1486.82,1508.83997,138821296,0
33,2005-02-17,1508.83997,1535.83,1502.83,1531.85999,143619600,0
34,2005-02-18,1531.91003,1566.0,1531.91,1557.77002,186996096,0
35,2005-02-21,1556.7800300000001,1569.32,1533.85,1534.01001,92517472,0
36,2005-02-22,1536.73999,1556.03,1533.73,1556.0300300000001,111909104,0
37,2005-02-23,1559.66003,1571.02,1520.22,1520.9000199999998,126651600,0
38,2005-02-24,1522.0300300000001,1539.22,1510.92,1529.64001,96786576,0
39,2005-02-25,1532.37,1607.47,1532.37,1600.31995,160528896,0
40,2005-02-28,1603.4699699999999,1619.26,1554.05,1558.62,129593800,0
41,2005-03-01,1558.62,1599.42,1550.35,1598.38,120211400,0
42,2005-03-02,1598.66003,1613.82,1582.39,1582.39001,104169904,0
43,2005-03-03,1582.0300300000001,1598.74,1574.55,1577.13,107014096,0
44,2005-03-04,1576.5,1612.73,1548.73,1581.35999,124328304,0
45,2005-03-07,1581.17004,1591.39,1573.98,1590.73999,71109120,0
46,2005-03-08,1590.73999,1613.86,1589.22,1596.81006,82679720,0
47,2005-03-09,1596.81006,1598.61,1523.99,1530.02002,125999104,0
48,2005-03-10,1523.20996,1523.21,1419.48,1471.89001,146895696,0
49,2005-03-11,1467.66003,1486.43,1435.73,1435.94995,84010312,0
50,2005-03-14,1437.17004,1439.42,1367.45,1374.88,116821800,0
51,2005-03-15,1374.4699699999999,1417.41,1374.35,1386.07996,103588496,0
52,2005-03-16,1386.07996,1399.28,1372.39,1388.08997,56936100,0
53,2005-03-17,1388.4699699999999,1452.94,1388.04,1452.93994,102957904,0
54,2005-03-18,1454.22998,1471.05,1450.0,1458.18994,91281160,0
55,2005-03-21,1458.3499800000002,1458.35,1406.59,1414.4000199999998,57331220,0
56,2005-03-22,1411.18005,1415.65,1385.93,1393.56995,78303968,0
57,2005-03-23,1390.06995,1390.07,1357.92,1364.2800300000001,77236304,0
58,2005-03-28,1363.79004,1363.79,1325.09,1347.98999,61408352,0
59,2005-03-29,1348.63,1369.88,1341.06,1347.77002,57986208,0
60,2005-03-30,1351.85999,1404.25,1351.86,1401.12,91550992,0
61,2005-03-31,1398.4000199999998,1413.04,1389.64,1400.42004,68077608,0
62,2005-04-01,1400.43994,1433.36,1397.46,1424.31006,71266152,0
63,2005-04-04,1424.9699699999999,1425.51,1383.14,1392.51001,46299560,0
64,2005-04-05,1391.0,1411.28,1382.89,1411.2800300000001,52315528,0
65,2005-04-06,1411.2800300000001,1427.68,1408.89,1423.30005,61774740,0
66,2005-04-07,1423.30005,1425.8,1413.01,1423.4699699999999,49680448,0
67,2005-04-08,1421.95996,1424.46,1413.14,1415.32996,42681680,0
68,2005-04-11,1415.32996,1418.2,1402.8,1408.42004,34936272,0
69,2005-04-12,1403.91003,1403.91,1354.12,1372.58997,74055376,0
70,2005-04-13,1373.68005,1380.18,1340.78,1344.56006,79793352,0
71,2005-04-14,1343.9000199999998,1343.9,1310.27,1325.83997,90478144,0
72,2005-04-15,1325.83997,1332.4,1265.97,1276.47998,74289048,0
73,2005-04-18,1290.62,1312.41,1290.62,1307.9000199999998,52880600,0
74,2005-04-19,1310.83997,1344.87,1310.84,1344.60999,70861840,0
75,2005-04-20,1345.38,1349.8,1300.9,1309.47998,70059352,0
76,2005-04-21,1312.63,1354.99,1312.63,1354.72998,65523912,0
77,2005-04-22,1355.1500199999998,1359.81,1349.52,1354.68005,52555920,0
78,2005-04-25,1354.68005,1377.7,1352.77,1368.81995,52273540,0
79,2005-04-26,1369.5999800000002,1374.89,1350.97,1352.68005,84600224,0
80,2005-04-27,1352.68005,1363.46,1338.4,1356.30005,53174780,0
81,2005-04-28,1355.91003,1356.08,1322.58,1324.75,53073152,0
82,2005-04-29,1327.7199699999999,1348.46,1323.16,1348.3499800000002,53576272,0
