,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.3,1.3,1.3,1.3,11440,0
1,2005-01-04,1.3,1.31,1.3,1.31,55133,0
2,2005-01-05,1.3,1.3,1.28,1.28,36641,0
3,2005-01-06,1.3,1.3,1.29,1.29,12040,0
4,2005-01-07,1.29,1.29,1.29,1.29,11238,0
5,2005-01-10,1.3,1.3,1.3,1.3,7606,0
6,2005-01-11,1.3,1.32,1.3,1.32,13653,0
7,2005-01-12,1.33,1.33,1.3,1.3,15156,0
8,2005-01-13,1.28,1.28,1.28,1.28,7687,0
9,2005-01-14,1.28,1.28,1.28,1.28,28605,0
10,2005-01-17,1.3,1.3,1.29,1.3,17579,0
11,2005-01-18,1.27,1.3,1.27,1.3,5630,0
12,2005-01-19,1.3,1.3,1.28,1.29,38456,0
13,2005-01-20,1.27,1.27,1.27,1.27,6350,0
14,2005-01-24,1.25,1.27,1.25,1.27,7560,0
15,2005-01-25,1.25,1.26,1.25,1.26,16862,0
16,2005-01-26,1.28,1.3,1.27,1.28,42771,0
17,2005-01-27,1.28,1.3,1.26,1.3,127949,0
18,2005-01-28,1.32,1.34,1.32,1.32,84802,0
19,2005-01-31,1.32,1.37,1.32,1.37,108449,0
20,2005-02-01,1.38,1.38,1.35,1.37,106553,0
21,2005-02-02,1.39,1.4,1.34,1.35,47884,0
22,2005-02-03,1.35,1.37,1.35,1.37,53485,0
23,2005-02-04,1.4,1.44,1.4,1.4,66001,0
24,2005-02-07,1.4,1.4,1.38,1.4,14513,0
25,2005-02-08,1.42,1.42,1.38,1.38,119333,0
26,2005-02-09,1.36,1.36,1.36,1.36,9520,0
27,2005-02-10,1.36,1.37,1.35,1.36,43590,0
28,2005-02-11,1.36,1.36,1.35,1.36,37599,0
29,2005-02-14,1.38,1.38,1.36,1.37,36276,0
30,2005-02-15,1.39,1.39,1.3,1.31,49998,0
31,2005-02-16,1.32,1.32,1.3,1.3,30560,0
32,2005-02-17,1.3,1.33,1.3,1.33,71220,0
33,2005-02-18,1.33,1.4,1.32,1.4,33216,0
34,2005-02-21,1.4,1.4,1.38,1.4,39173,0
35,2005-02-22,1.42,1.42,1.33,1.4,136647,0
36,2005-02-23,1.36,1.4,1.35,1.4,32425,0
37,2005-02-24,1.35,1.37,1.34,1.35,84513,0
38,2005-02-25,1.35,1.38,1.34,1.34,28281,0
39,2005-02-28,1.34,1.36,1.34,1.36,11910,0
40,2005-03-01,1.38,1.41,1.38,1.4,145681,0
41,2005-03-02,1.4,1.4,1.4,1.4,21182,0
42,2005-03-03,1.4,1.45,1.4,1.43,31650,0
43,2005-03-04,1.49,1.54,1.48,1.5,232919,0
44,2005-03-07,1.5,1.6,1.5,1.59,276475,0
45,2005-03-08,1.6,1.62,1.57,1.62,202461,0
46,2005-03-09,1.63,1.63,1.54,1.54,94887,0
47,2005-03-10,1.57,1.77,1.57,1.63,2182304,0
48,2005-03-11,1.65,1.75,1.65,1.74,401157,0
49,2005-03-14,1.74,1.74,1.61,1.61,174615,0
50,2005-03-15,1.65,1.68,1.61,1.61,47370,0
51,2005-03-16,1.61,1.63,1.61,1.63,21036,0
52,2005-03-17,1.63,1.66,1.63,1.66,28127,0
53,2005-03-18,1.66,1.66,1.66,1.66,8964,0
54,2005-03-21,1.68,1.68,1.66,1.66,16004,0
55,2005-03-22,1.6,1.6,1.6,1.6,1451,0
56,2005-03-23,1.58,1.58,1.55,1.55,4167,0
57,2005-03-29,1.46,1.46,1.38,1.44,154140,0
58,2005-03-30,1.45,1.45,1.33,1.37,240806,0
59,2005-03-31,1.35,1.36,1.35,1.35,29801,0
60,2005-04-01,1.35,1.35,1.31,1.34,51085,0
61,2005-04-04,1.32,1.32,1.29,1.29,23480,0
62,2005-04-06,1.3,1.3,1.24,1.24,95930,0
63,2005-04-07,1.21,1.26,1.21,1.25,107497,0
64,2005-04-08,1.3,1.3,1.29,1.29,33550,0
65,2005-04-11,1.32,1.32,1.3,1.32,20257,0
66,2005-04-12,1.32,1.32,1.32,1.32,7240,0
67,2005-04-13,1.3,1.3,1.29,1.29,16492,0
68,2005-04-14,1.28,1.28,1.27,1.27,40730,0
69,2005-04-15,1.27,1.27,1.27,1.27,16510,0
70,2005-04-18,1.27,1.27,1.25,1.27,6546,0
71,2005-04-19,1.29,1.3,1.29,1.3,12496,0
72,2005-04-20,1.34,1.34,1.27,1.27,27045,0
73,2005-04-21,1.3,1.32,1.3,1.31,72380,0
74,2005-04-22,1.36,1.36,1.31,1.32,21360,0
75,2005-04-25,1.32,1.32,1.31,1.31,16054,0
76,2005-04-26,1.3,1.35,1.3,1.32,66988,0
77,2005-04-27,1.33,1.35,1.32,1.35,22831,0
78,2005-04-28,1.33,1.33,1.33,1.33,9310,0
79,2005-04-29,1.33,1.33,1.33,1.33,2442,0
80,2005-05-02,1.35,1.37,1.35,1.37,40379,0
81,2005-05-03,1.37,1.37,1.33,1.33,47315,0
82,2005-05-04,1.37,1.37,1.35,1.35,18648,0
83,2005-05-05,1.39,1.4,1.35,1.35,44774,0
84,2005-05-06,1.37,1.37,1.37,1.37,2740,0
85,2005-05-09,1.36,1.37,1.36,1.37,9268,0
86,2005-05-10,1.37,1.37,1.32,1.33,41619,0
87,2005-05-11,1.33,1.37,1.33,1.37,44716,0
88,2005-05-12,1.34,1.34,1.32,1.32,24000,0
89,2005-05-13,1.3,1.33,1.28,1.33,40352,0
90,2005-05-16,1.37,1.37,1.33,1.34,33540,0
91,2005-05-17,1.33,1.37,1.33,1.37,34108,0
92,2005-05-18,1.34,1.34,1.34,1.34,33773,0
93,2005-05-19,1.32,1.32,1.32,1.32,12028,0
94,2005-05-20,1.3,1.3,1.3,1.3,7904,0
95,2005-05-24,1.3,1.35,1.3,1.35,60844,0
96,2005-05-26,1.35,1.35,1.3,1.35,79394,0
97,2005-05-27,1.37,1.37,1.37,1.37,7645,0
98,2005-05-30,1.37,1.39,1.35,1.39,91785,0
99,2005-05-31,1.35,1.36,1.35,1.35,44120,0
100,2005-06-01,1.37,1.4,1.36,1.4,73926,0
101,2005-06-02,1.43,1.54,1.43,1.5,379438,0
102,2005-06-03,1.55,1.55,1.43,1.45,143692,0
103,2005-06-06,1.4,1.45,1.35,1.35,667170,0
104,2005-06-07,1.45,1.45,1.34,1.42,115851,0
105,2005-06-08,1.44,1.44,1.42,1.42,10814,0
106,2005-06-09,1.4,1.41,1.34,1.41,182824,0
107,2005-06-10,1.42,1.43,1.42,1.43,49607,0
108,2005-06-13,1.35,1.37,1.34,1.37,179128,0
109,2005-06-14,1.39,1.39,1.35,1.35,4912,0
110,2005-06-15,1.35,1.39,1.35,1.39,23430,0
111,2005-06-16,1.38,1.38,1.38,1.38,16270,0
112,2005-06-17,1.38,1.42,1.38,1.38,86928,0
113,2005-06-21,1.4,1.4,1.35,1.38,15523,0
114,2005-06-22,1.37,1.37,1.37,1.37,21646,0
115,2005-06-23,1.35,1.35,1.33,1.35,96071,0
116,2005-06-24,1.33,1.33,1.3,1.32,106709,0
117,2005-06-27,1.3,1.3,1.28,1.28,19300,0
118,2005-06-28,1.3,1.3,1.28,1.28,42152,0
119,2005-06-29,1.28,1.28,1.24,1.24,16261,0
120,2005-06-30,1.21,1.26,1.21,1.26,71658,0
121,2005-07-01,1.22,1.26,1.22,1.26,33406,0
122,2005-07-05,1.27,1.27,1.25,1.25,128388,0
123,2005-07-06,1.22,1.22,1.2,1.22,39954,0
124,2005-07-07,1.18,1.19,1.17,1.19,49374,0
125,2005-07-08,1.19,1.2,1.19,1.19,31657,0
126,2005-07-11,1.19,1.2,1.19,1.2,30641,0
127,2005-07-12,1.2,1.27,1.2,1.24,58106,0
128,2005-07-13,1.24,1.24,1.24,1.24,24800,0
129,2005-07-14,1.26,1.26,1.26,1.26,58075,0
130,2005-07-15,1.27,1.27,1.26,1.27,137100,0
131,2005-07-18,1.27,1.27,1.27,1.27,17052,0
132,2005-07-19,1.2,1.25,1.2,1.25,112000,0
133,2005-07-20,1.25,1.25,1.24,1.24,55802,0
134,2005-07-21,1.22,1.25,1.22,1.25,78290,0
135,2005-07-22,1.22,1.24,1.21,1.23,244954,0
136,2005-07-25,1.24,1.27,1.23,1.23,70621,0
137,2005-07-26,1.25,1.25,1.24,1.24,302852,0
138,2005-07-27,1.28,1.3,1.25,1.29,114085,0
139,2005-07-28,1.32,1.32,1.26,1.3,110615,0
140,2005-07-29,1.3,1.32,1.29,1.29,76849,0
141,2005-08-01,1.29,1.31,1.27,1.31,202534,0
142,2005-08-02,1.32,1.36,1.32,1.36,109680,0
143,2005-08-03,1.4,1.4,1.36,1.38,20119,0
144,2005-08-04,1.37,1.37,1.34,1.34,39642,0
145,2005-08-05,1.34,1.34,1.32,1.33,28565,0
146,2005-08-08,1.37,1.38,1.32,1.32,61930,0
147,2005-08-09,1.34,1.34,1.29,1.29,55137,0
148,2005-08-10,1.29,1.29,1.28,1.28,44908,0
149,2005-08-11,1.28,1.28,1.27,1.27,21584,0
150,2005-08-12,1.29,1.29,1.27,1.27,7989,0
151,2005-08-16,1.26,1.26,1.25,1.25,3815,0
152,2005-08-17,1.25,1.27,1.23,1.23,33521,0
153,2005-08-19,1.23,1.23,1.2,1.23,40064,0
154,2005-08-22,1.23,1.28,1.23,1.27,98975,0
155,2005-08-23,1.3,1.31,1.27,1.27,32854,0
156,2005-08-24,1.3,1.3,1.28,1.28,53053,0
157,2005-08-25,1.3,1.33,1.3,1.33,115730,0
158,2005-08-26,1.32,1.34,1.31,1.31,67924,0
159,2005-08-29,1.34,1.36,1.31,1.35,105859,0
160,2005-08-30,1.35,1.35,1.32,1.34,45384,0
161,2005-08-31,1.35,1.35,1.32,1.32,9525,0
162,2005-09-01,1.29,1.32,1.29,1.32,36952,0
163,2005-09-02,1.29,1.32,1.29,1.31,19118,0
164,2005-09-05,1.31,1.34,1.31,1.34,24752,0
165,2005-09-06,1.33,1.33,1.29,1.3,52018,0
166,2005-09-07,1.3,1.32,1.3,1.31,37201,0
167,2005-09-08,1.31,1.33,1.31,1.33,132546,0
168,2005-09-09,1.32,1.32,1.29,1.29,29829,0
169,2005-09-12,1.29,1.32,1.29,1.29,40601,0
170,2005-09-13,1.3,1.3,1.29,1.3,41408,0
171,2005-09-14,1.32,1.36,1.29,1.33,139809,0
172,2005-09-15,1.35,1.38,1.34,1.34,68473,0
173,2005-09-16,1.35,1.38,1.35,1.35,87293,0
174,2005-09-19,1.39,1.44,1.38,1.4,162048,0
175,2005-09-20,1.42,1.46,1.42,1.42,332437,0
176,2005-09-21,1.44,1.49,1.43,1.48,265085,0
177,2005-09-22,1.5,1.52,1.45,1.5,388044,0
178,2005-09-23,1.5,1.52,1.48,1.49,110392,0
179,2005-09-26,1.51,1.56,1.47,1.49,335548,0
180,2005-09-27,1.5,1.51,1.47,1.49,76732,0
181,2005-09-28,1.49,1.49,1.43,1.43,82184,0
182,2005-09-29,1.42,1.44,1.42,1.44,46409,0
183,2005-09-30,1.45,1.45,1.41,1.42,73327,0
184,2005-10-03,1.5,1.5,1.43,1.47,324261,0
185,2005-10-04,1.48,1.48,1.45,1.45,82947,0
186,2005-10-05,1.45,1.48,1.43,1.43,129556,0
187,2005-10-06,1.43,1.45,1.38,1.38,28342,0
188,2005-10-07,1.41,1.45,1.41,1.45,51844,0
189,2005-10-11,1.45,1.46,1.45,1.46,22329,0
190,2005-10-12,1.46,1.46,1.4,1.4,17346,0
191,2005-10-13,1.35,1.4,1.35,1.4,45629,0
192,2005-10-14,1.42,1.45,1.42,1.45,15861,0
193,2005-10-17,1.45,1.45,1.45,1.45,11818,0
194,2005-10-19,1.42,1.45,1.42,1.45,31481,0
195,2005-10-20,1.45,1.47,1.45,1.45,52090,0
196,2005-10-21,1.45,1.45,1.42,1.42,14974,0
197,2005-10-24,1.45,1.47,1.45,1.47,131591,0
198,2005-10-25,1.47,1.48,1.45,1.46,116566,0
199,2005-10-26,1.46,1.48,1.46,1.48,39118,0
200,2005-10-27,1.46,1.46,1.41,1.41,11530,0
201,2005-10-28,1.43,1.45,1.42,1.45,13574,0
202,2005-10-31,1.45,1.45,1.45,1.45,4013,0
203,2005-11-01,1.43,1.43,1.39,1.43,72259,0
204,2005-11-02,1.42,1.43,1.42,1.42,65410,0
205,2005-11-03,1.42,1.45,1.4,1.45,140879,0
206,2005-11-04,1.46,1.48,1.46,1.48,98738,0
207,2005-11-07,1.49,1.49,1.46,1.48,94038,0
208,2005-11-08,1.46,1.48,1.45,1.48,101889,0
209,2005-11-09,1.48,1.49,1.45,1.46,86409,0
210,2005-11-10,1.45,1.47,1.42,1.47,22505,0
211,2005-11-11,1.5,1.5,1.47,1.47,40604,0
212,2005-11-14,1.47,1.48,1.45,1.46,41199,0
213,2005-11-15,1.46,1.46,1.46,1.46,7385,0
214,2005-11-16,1.44,1.44,1.44,1.44,16101,0
215,2005-11-17,1.46,1.46,1.42,1.42,32389,0
216,2005-11-18,1.42,1.42,1.41,1.41,16638,0
217,2005-11-21,1.41,1.41,1.41,1.41,5589,0
218,2005-11-22,1.41,1.44,1.4,1.41,37168,0
219,2005-11-23,1.43,1.43,1.41,1.41,51054,0
220,2005-11-24,1.42,1.53,1.42,1.5,49988,0
221,2005-11-25,1.49,1.5,1.45,1.45,19863,0
222,2005-11-28,1.46,1.46,1.31,1.35,88906,0
223,2005-11-29,1.28,1.35,1.28,1.32,64542,0
224,2005-11-30,1.35,1.36,1.32,1.36,43550,0
225,2005-12-01,1.37,1.37,1.35,1.35,14727,0
226,2005-12-02,1.34,1.34,1.34,1.34,10063,0
227,2005-12-05,1.32,1.32,1.32,1.32,3960,0
228,2005-12-06,1.29,1.3,1.28,1.28,93186,0
229,2005-12-07,1.3,1.32,1.28,1.29,84863,0
230,2005-12-09,1.3,1.3,1.3,1.3,26000,0
231,2005-12-12,1.3,1.3,1.3,1.3,10680,0
232,2005-12-13,1.3,1.32,1.3,1.32,4395,0
233,2005-12-14,1.35,1.38,1.35,1.35,90027,0
234,2005-12-15,1.32,1.34,1.32,1.34,22028,0
235,2005-12-16,1.31,1.33,1.31,1.32,5353,0
236,2005-12-19,1.34,1.35,1.34,1.34,17586,0
237,2005-12-20,1.35,1.35,1.28,1.3,19709,0
238,2005-12-21,1.29,1.29,1.29,1.29,2154,0
239,2005-12-22,1.28,1.3,1.28,1.3,119385,0
240,2005-12-23,1.32,1.32,1.29,1.32,12027,0
241,2005-12-26,1.3,1.3,1.3,1.3,2496,0
242,2005-12-27,1.3,1.3,1.3,1.3,4937,0
243,2005-12-28,1.29,1.31,1.29,1.31,19871,0
244,2005-12-29,1.3,1.3,1.3,1.3,1297,0
245,2006-01-02,1.3,1.3,1.3,1.3,2430,0
246,2006-01-03,1.3,1.3,1.3,1.3,16448,0
247,2006-01-04,1.34,1.35,1.34,1.35,26150,0
248,2006-01-05,1.35,1.35,1.34,1.34,14379,0
249,2006-01-06,1.32,1.35,1.31,1.35,34535,0
250,2006-01-09,1.34,1.39,1.34,1.39,113870,0
251,2006-01-10,1.38,1.38,1.38,1.38,7794,0
252,2006-01-11,1.39,1.4,1.37,1.4,163610,0
253,2006-01-12,1.4,1.4,1.35,1.38,151782,0
254,2006-01-13,1.45,1.45,1.36,1.41,40331,0
255,2006-01-16,1.42,1.42,1.4,1.41,56362,0
256,2006-01-17,1.4,1.4,1.37,1.38,39276,0
257,2006-01-18,1.36,1.37,1.36,1.37,23070,0
258,2006-01-19,1.38,1.4,1.35,1.38,65979,0
259,2006-01-20,1.37,1.37,1.35,1.35,11091,0
260,2006-01-23,1.35,1.37,1.35,1.35,41654,0
261,2006-01-24,1.35,1.35,1.32,1.33,16519,0
262,2006-01-25,1.4,1.4,1.39,1.39,49439,0
263,2006-01-26,1.35,1.35,1.3,1.32,37824,0
264,2006-01-27,1.32,1.33,1.32,1.33,14153,0
265,2006-01-30,1.3,1.3,1.29,1.3,14087,0
266,2006-01-31,1.31,1.32,1.3,1.31,16087,0
267,2006-02-01,1.3,1.3,1.29,1.3,14211,0
268,2006-02-02,1.29,1.29,1.25,1.28,32452,0
269,2006-02-03,1.28,1.28,1.28,1.28,1230,0
270,2006-02-06,1.28,1.28,1.28,1.28,7692,0
271,2006-02-07,1.28,1.28,1.28,1.28,29562,0
272,2006-02-08,1.25,1.27,1.24,1.27,182319,0
273,2006-02-09,1.28,1.28,1.26,1.26,109508,0
274,2006-02-10,1.26,1.26,1.26,1.26,15750,0
275,2006-02-13,1.26,1.26,1.25,1.25,17922,0
276,2006-02-14,1.24,1.24,1.24,1.24,14657,0
277,2006-02-15,1.23,1.23,1.21,1.21,22002,0
278,2006-02-16,1.24,1.24,1.24,1.24,13980,0
279,2006-02-17,1.23,1.28,1.23,1.28,24657,0
280,2006-02-20,1.27,1.27,1.27,1.27,4666,0
281,2006-02-21,1.28,1.28,1.28,1.28,6841,0
282,2006-02-22,1.24,1.28,1.23,1.28,55034,0
283,2006-02-23,1.26,1.26,1.25,1.25,16636,0
284,2006-02-24,1.26,1.26,1.26,1.26,10080,0
285,2006-02-27,1.25,1.25,1.24,1.24,18907,0
286,2006-02-28,1.24,1.24,1.23,1.23,17581,0
287,2006-03-01,1.25,1.25,1.25,1.25,2872,0
288,2006-03-02,1.23,1.24,1.22,1.24,22766,0
289,2006-03-03,1.25,1.27,1.25,1.27,11023,0
290,2006-03-06,1.25,1.25,1.25,1.25,9789,0
291,2006-03-08,1.21,1.21,1.21,1.21,1307,0
292,2006-03-09,1.21,1.23,1.21,1.22,32913,0
293,2006-03-10,1.25,1.25,1.23,1.25,23331,0
294,2006-03-13,1.25,1.28,1.25,1.28,26239,0
295,2006-03-14,1.22,1.22,1.22,1.22,9591,0
296,2006-03-15,1.23,1.24,1.23,1.23,10420,0
