,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2017-06-19,178.01873999999998,178.019,169.118,172.23314,2008,0
1,2017-06-21,168.1387,169.118,160.217,167.33762,2929,0
2,2017-06-22,169.1178,200.805,168.22799999999998,200.80515,11055,0
3,2017-06-23,202.05127,220.743,202.051,211.8423,20623,0
4,2017-06-26,213.62247999999997,216.293,196.71099999999998,208.28191999999999,11723,0
5,2017-06-27,210.06212000000002,211.842,208.282,210.95221,5877,0
6,2017-06-28,208.28191999999999,212.287,208.282,211.8423,11959,0
7,2017-06-29,212.28735,215.18,212.287,214.95763,4915,0
8,2017-06-30,214.51259,218.07299999999998,211.887,218.07295,8780,0
9,2017-07-03,218.96306,219.85299999999998,213.622,215.80322,9997,0
10,2017-07-04,216.29277000000002,218.963,214.513,218.87403999999998,3251,0
11,2017-07-05,218.96306,221.63299999999998,218.07299999999998,220.74324,6834,0
12,2017-07-06,221.18828,222.523,220.96599999999998,221.18828,6753,0
13,2017-07-07,221.63332999999997,222.523,210.952,218.96306,2627,0
14,2017-07-10,218.96306,220.743,212.732,213.62247999999997,2226,0
15,2017-07-11,213.62247999999997,213.71200000000002,206.502,206.94679,1139,0
16,2017-07-12,206.54625,210.062,206.502,208.01488999999998,2003,0
17,2017-07-13,210.06212000000002,210.062,201.695,201.69523999999998,1103,0
18,2017-07-14,201.16118,203.831,194.04,195.82062,4644,0
19,2017-07-17,195.82062,195.821,182.46900000000002,183.3593,4522,0
20,2017-07-18,182.46921,185.139,178.019,180.68903,3394,0
21,2017-07-19,183.49281000000002,185.139,179.799,182.46921,2267,0
22,2017-07-20,179.79893,181.579,179.799,180.68903,1863,0
23,2017-07-21,181.57912,183.804,180.68900000000002,182.46921,2191,0
24,2017-07-24,180.68903,182.38,179.799,179.79893,921,0
25,2017-07-25,178.46379,179.799,178.019,178.01873999999998,2509,0
26,2017-07-26,176.90613000000002,182.46900000000002,176.90599999999998,181.04506,4230,0
27,2017-07-27,180.95605,181.579,178.90900000000002,178.90883,2350,0
28,2017-07-28,176.23856,178.90900000000002,174.458,178.01873999999998,3733,0
29,2017-07-31,178.01873999999998,178.019,173.88,178.01873999999998,4205,0
30,2017-08-01,178.59729,181.045,178.597,179.79893,1907,0
31,2017-08-02,180.68903,181.579,179.977,181.57912,3464,0
32,2017-08-03,181.57912,186.92,181.579,182.46921,1899,0
33,2017-08-04,186.91968,186.92,181.579,181.57912,2190,0
34,2017-08-07,181.57912,181.579,178.019,178.01873999999998,1414,0
35,2017-08-08,173.56826999999998,178.019,173.56799999999998,175.34846000000002,1072,0
36,2017-08-09,173.56826999999998,174.013,164.667,166.35851,1387,0
37,2017-08-10,168.22771,170.898,166.537,170.0079,7551,0
38,2017-08-11,169.1178,170.898,169.118,170.89799,3919,0
39,2017-08-14,173.56826999999998,176.239,173.56799999999998,173.56826999999998,3110,0
40,2017-08-15,173.56826999999998,174.458,171.78799999999998,173.56826999999998,2992,0
41,2017-08-16,173.56826999999998,176.239,171.78799999999998,174.01332,3531,0
42,2017-08-17,174.90341,178.019,173.56799999999998,178.01873999999998,5335,0
43,2017-08-18,178.01873999999998,179.799,178.019,178.19676,2979,0
44,2017-08-22,178.10776,179.799,178.019,178.19676,3415,0
45,2017-08-23,178.90883,180.68900000000002,177.574,177.5737,11212,0
46,2017-08-24,177.12865,180.912,176.68400000000003,178.90883,9693,0
47,2017-08-25,178.01873999999998,179.799,176.239,176.23856,5075,0
48,2017-08-28,175.34846000000002,178.019,175.34799999999998,178.01873999999998,2765,0
49,2017-08-29,175.34846000000002,178.019,175.34799999999998,178.01873999999998,1993,0
50,2017-08-30,178.01873999999998,179.62099999999998,175.794,179.62091,2532,0
51,2017-08-31,178.90883,183.493,177.12900000000002,181.57912,4335,0
52,2017-09-01,178.90883,185.985,178.90900000000002,183.3593,3020,0
53,2017-09-04,185.1395,185.229,182.46900000000002,183.3593,1272,0
54,2017-09-05,182.46921,184.917,181.668,181.66814,1931,0
55,2017-09-06,181.04506,181.045,178.019,179.79893,1283,0
56,2017-09-07,185.1395,188.7,179.799,182.46921,3088,0
57,2017-09-08,183.3593,186.92,182.91400000000002,183.3593,2615,0
58,2017-09-11,184.24938999999998,184.24900000000002,178.019,179.79893,1629,0
59,2017-09-12,178.59729,178.864,176.239,178.86433,4153,0
60,2017-09-13,176.23856,177.12900000000002,175.34799999999998,176.23856,848,0
61,2017-09-14,175.34846000000002,181.535,175.34799999999998,176.23856,986,0
62,2017-09-15,175.34846000000002,175.34799999999998,173.56799999999998,175.34846000000002,1529,0
63,2017-09-18,175.34846000000002,175.34799999999998,173.56799999999998,174.45836,1712,0
64,2017-09-19,176.23856,176.239,173.657,175.7935,6567,0
65,2017-09-20,177.12865,178.597,176.239,178.01873999999998,1986,0
66,2017-09-21,179.79893,179.799,176.239,176.23856,3519,0
67,2017-09-22,175.34846000000002,176.239,173.56799999999998,174.45836,2308,0
68,2017-09-25,169.1178,174.903,169.118,173.12323,1230,0
69,2017-09-26,174.01332,174.013,170.898,171.78808999999998,4789,0
70,2017-09-27,170.0524,172.233,170.05200000000002,171.78808999999998,2595,0
71,2017-09-28,172.23314,172.58900000000003,170.898,171.78808999999998,8142,0
72,2017-09-29,171.78808999999998,171.78799999999998,169.162,170.89799,7035,0
73,2017-10-02,170.0079,170.00799999999998,169.162,169.42934,849,0
74,2017-10-03,169.1178,175.794,167.872,175.34846000000002,6243,0
75,2017-10-04,173.56826999999998,176.68400000000003,170.898,176.28307,8507,0
76,2017-10-05,176.41656,179.71,176.417,179.70991999999998,3741,0
77,2017-10-06,179.79893,180.68900000000002,172.678,175.43747,3408,0
78,2017-10-09,175.34846000000002,175.52599999999998,174.458,175.34846000000002,2865,0
79,2017-10-10,175.34846000000002,178.019,174.458,177.12865,2593,0
80,2017-10-11,175.34846000000002,178.90900000000002,175.34799999999998,176.46107,4707,0
81,2017-10-12,176.46107,176.595,173.924,174.01332,5496,0
82,2017-10-13,174.45836,177.93,173.123,177.5737,6405,0
83,2017-10-17,173.8353,174.458,171.388,174.45836,795,0
84,2017-10-18,174.01332,174.013,171.477,171.78808999999998,1958,0
85,2017-10-19,171.78808999999998,174.458,171.78799999999998,174.45836,672,0
86,2017-10-20,174.45836,175.34799999999998,172.678,175.34846000000002,2264,0
87,2017-10-23,175.34846000000002,175.393,171.25400000000002,174.45836,4131,0
88,2017-10-24,174.45836,174.458,171.343,171.34303,2658,0
89,2017-10-25,171.78808999999998,171.78799999999998,168.22799999999998,169.1178,2539,0
90,2017-10-26,169.1178,171.833,169.118,171.78808999999998,2127,0
91,2017-10-27,171.78808999999998,177.52900000000002,168.22799999999998,169.1178,2437,0
92,2017-10-30,168.67276,169.118,167.338,169.1178,7959,0
93,2017-10-31,170.0079,170.85299999999998,168.22799999999998,169.1178,809,0
94,2017-11-01,167.33762,170.898,167.338,170.89799,8864,0
95,2017-11-02,171.78808999999998,172.233,169.118,171.96608999999998,6135,0
96,2017-11-03,172.67818,173.56799999999998,170.898,173.56826999999998,4795,0
97,2017-11-07,173.56826999999998,177.12900000000002,172.678,175.34846000000002,4173,0
98,2017-11-08,172.67818,172.678,171.78799999999998,172.67818,1813,0
99,2017-11-09,171.78808999999998,171.78799999999998,169.118,169.56285,2705,0
100,2017-11-10,170.0079,170.00799999999998,166.893,167.33762,911,0
101,2017-11-13,168.22771,168.22799999999998,161.107,163.77723999999998,2150,0
102,2017-11-14,167.33762,167.338,158.437,160.21687,2011,0
103,2017-11-15,154.8763,162.887,153.096,160.21687,2705,0
104,2017-11-16,161.99706,161.997,158.437,161.10696000000002,5557,0
105,2017-11-17,161.99706,161.997,160.217,160.21687,415,0
106,2017-11-21,160.21687,160.217,153.096,158.12514,2341,0
107,2017-11-22,157.54658999999998,161.997,157.369,161.10696000000002,3087,0
108,2017-11-23,158.43668,160.484,158.437,159.37128,807,0
109,2017-11-24,157.54658999999998,159.327,157.547,158.88173,5130,0
110,2017-11-27,158.12514,158.125,154.431,155.7664,2069,0
111,2017-11-28,155.7664,155.766,153.096,155.7664,3849,0
112,2017-11-29,155.7664,155.766,152.651,154.8763,1875,0
113,2017-11-30,155.00981000000002,155.01,152.20600000000002,153.98621,1223,0
114,2017-12-01,151.31593,153.986,151.316,152.20602,628,0
115,2017-12-04,151.31593,154.876,149.536,151.31593,3647,0
116,2017-12-05,151.31593,152.20600000000002,147.756,148.64565,3915,0
117,2017-12-06,148.64565,148.64600000000002,146.42,146.68743999999998,3628,0
118,2017-12-07,146.68743999999998,147.756,145.085,147.75555,2318,0
119,2017-12-11,145.08527,147.756,144.195,147.75555,3154,0
120,2017-12-12,146.86546,146.865,144.195,146.86546,7856,0
121,2017-12-13,144.19518,146.865,141.525,145.97537,3724,0
122,2017-12-14,146.86546,146.865,144.195,145.97537,803,0
123,2017-12-15,145.08527,151.316,143.305,148.64565,2684,0
124,2017-12-18,148.64565,151.316,146.91,151.31593,1731,0
125,2017-12-19,148.64565,151.316,145.085,151.31593,6454,0
126,2017-12-20,149.53574,155.766,149.091,154.8763,1868,0
127,2017-12-21,154.8763,154.876,148.64600000000002,151.31593,3056,0
128,2017-12-22,149.98078999999998,152.20600000000002,149.536,152.20602,3322,0
129,2017-12-26,153.09611999999998,153.986,146.865,153.09611999999998,2750,0
130,2017-12-27,151.31593,153.986,149.981,150.42584,1971,0
131,2017-12-28,150.42584,158.437,147.756,158.43668,4977,0
132,2017-12-29,157.99164,160.217,155.766,160.21687,1048,0
133,2018-01-02,160.26137,160.261,155.766,160.26137,2739,0
134,2018-01-03,161.10696000000002,163.332,155.766,159.32676999999998,2646,0
135,2018-01-04,160.21687,160.217,157.547,158.43668,1610,0
136,2018-01-05,158.43668,158.882,157.547,158.88173,3012,0
137,2018-01-08,160.21687,160.217,150.42600000000002,155.7664,3078,0
138,2018-01-09,154.03072,154.431,150.871,153.09611999999998,3776,0
139,2018-01-10,154.8763,154.876,148.64600000000002,148.82367,4996,0
140,2018-01-11,149.53574,151.316,148.735,150.42584,1973,0
141,2018-01-12,150.42584,151.316,148.64600000000002,151.31593,4024,0
142,2018-01-15,151.31593,151.316,146.865,150.42584,8487,0
143,2018-01-16,150.38133,155.766,150.381,152.20602,4258,0
144,2018-01-17,151.31593,155.766,151.316,153.09611999999998,4284,0
145,2018-01-18,153.09611999999998,155.944,151.316,155.94441,3572,0
146,2018-01-19,156.07793999999998,156.078,151.316,154.8763,1886,0
147,2018-01-22,150.1588,153.096,150.159,152.20602,3522,0
148,2018-01-23,152.20602,160.217,151.316,159.77182,3323,0
149,2018-01-24,155.7664,166.44799999999998,155.766,166.00247,6276,0
150,2018-01-25,166.44753,176.328,166.002,171.78808999999998,14203,0
151,2018-01-26,171.87711000000002,178.019,171.78799999999998,176.23856,6757,0
152,2018-01-29,176.23856,176.239,167.338,167.33762,915,0
153,2018-01-30,163.77723999999998,165.646,160.217,165.55743,7622,0
154,2018-01-31,162.88715,165.55700000000002,162.887,165.55743,654,0
155,2018-02-01,163.77723999999998,167.338,163.77700000000002,165.55743,5627,0
156,2018-02-02,164.88986,164.89,149.536,158.88173,6321,0
157,2018-02-05,158.6147,160.217,153.986,153.98621,1759,0
158,2018-02-06,146.86546,152.651,146.865,152.65108,1394,0
159,2018-02-07,151.49393999999998,155.766,151.494,153.09611999999998,806,0
160,2018-02-08,153.09611999999998,153.096,146.42,152.20602,1699,0
161,2018-02-09,152.20602,152.20600000000002,146.865,152.20602,2618,0
162,2018-02-14,151.31593,153.986,146.91,153.09611999999998,2600,0
163,2018-02-15,155.7664,155.766,153.096,153.09611999999998,413,0
164,2018-02-16,151.31593,153.096,151.316,153.09611999999998,1590,0
165,2018-02-19,151.31593,153.986,150.42600000000002,153.98621,1693,0
166,2018-02-20,153.09611999999998,153.986,151.316,151.31593,237,0
167,2018-02-21,151.31593,153.986,149.536,153.98621,1418,0
168,2018-02-22,146.86546,153.096,142.415,151.31593,2582,0
169,2018-02-23,151.31593,151.316,148.64600000000002,150.87088,968,0
170,2018-02-26,149.98078999999998,150.871,148.69,150.87088,1810,0
171,2018-02-27,150.87088,150.871,148.64600000000002,148.69016000000002,557,0
172,2018-02-28,149.53574,150.42600000000002,148.201,148.20061,2548,0
173,2018-03-01,147.75555,148.201,146.865,148.20061,812,0
174,2018-03-02,146.86546,147.756,142.415,147.75555,946,0
175,2018-03-05,148.64565,148.82399999999998,144.195,146.86546,1265,0
176,2018-03-06,147.75555,153.096,147.711,151.49393999999998,5162,0
177,2018-03-07,147.75555,147.756,147.756,147.75555,140,0
178,2018-03-08,147.75555,151.316,147.756,147.75555,1238,0
179,2018-03-09,147.75555,147.756,142.415,147.75555,1689,0
180,2018-03-12,146.86546,146.865,143.305,144.64023,943,0
181,2018-03-13,144.19518,144.195,140.635,142.32596999999998,2539,0
182,2018-03-14,137.96452,141.525,137.965,141.5249,3060,0
183,2018-03-15,142.41499,142.415,139.745,141.5249,1762,0
184,2018-03-16,137.96452,141.525,136.184,141.5249,1814,0
185,2018-03-19,142.41499,142.415,135.29399999999998,139.74471,2520,0
186,2018-03-20,139.74471,141.525,139.745,141.5249,779,0
187,2018-03-21,141.5249,142.415,141.436,142.41499,1418,0
188,2018-03-22,139.74471,142.415,135.38299999999998,142.41499,361,0
189,2018-03-23,140.63481000000002,142.415,138.41,142.41499,2098,0
190,2018-03-26,137.96452,142.415,137.965,142.41499,225,0
191,2018-03-27,137.96452,142.415,137.965,140.63481000000002,299,0
192,2018-03-28,140.63481000000002,140.635,140.635,140.63481000000002,819,0
193,2018-04-03,135.29425,139.745,133.514,139.74471,1292,0
194,2018-04-04,138.85461,138.855,135.29399999999998,135.29425,393,0
195,2018-04-05,136.62938,140.635,134.404,135.73928999999998,1383,0
196,2018-04-06,136.18434,137.965,133.514,137.96452,743,0
197,2018-04-09,135.29425,136.184,131.734,136.13983000000002,2390,0
198,2018-04-10,134.8492,136.006,133.559,136.00632,485,0
199,2018-04-11,133.51405,135.29399999999998,129.064,134.40413999999998,1753,0
200,2018-04-12,129.06358,134.404,129.064,134.40413999999998,1273,0
201,2018-04-13,134.40413999999998,134.404,131.734,133.51405,1673,0
202,2018-04-16,132.62396,133.514,129.064,131.73387,1385,0
203,2018-04-17,131.73387,133.514,129.064,131.73387,2014,0
204,2018-04-18,129.06358,131.734,129.064,131.73387,649,0
205,2018-04-19,129.06358,131.734,129.064,131.73387,433,0
206,2018-04-20,131.73387,131.734,130.755,131.73387,155,0
