,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,4.70624,4.80429,4.634930000000001,4.80429,573231,0
1,2005-01-04,4.76863,4.83994,4.7508099999999995,4.78646,452740,0
2,2005-01-05,4.73298,4.73298,4.59037,4.634930000000001,226666,0
3,2005-01-06,4.66167,4.68841,4.59037,4.66167,86280,0
4,2005-01-07,4.70624,4.70624,4.58145,4.62602,50835,0
5,2005-01-10,4.634930000000001,4.724069999999999,4.59037,4.71515,85691,0
6,2005-01-11,4.76863,4.76863,4.67059,4.6795,160525,0
7,2005-01-12,4.6795,4.6795,4.59037,4.634930000000001,60149,0
8,2005-01-13,4.59037,4.59928,4.5458,4.59928,63944,0
9,2005-01-14,4.56363,4.56363,4.52797,4.5458,52361,0
10,2005-01-17,4.5368900000000005,4.634930000000001,4.5368900000000005,4.59928,48331,0
11,2005-01-18,4.5458,4.5458,4.51906,4.52797,99344,0
12,2005-01-19,4.52797,4.634930000000001,4.52797,4.59037,53671,0
13,2005-01-20,4.59037,4.59037,4.5012300000000005,4.5458,22279,0
14,2005-01-21,4.51906,4.58145,4.51906,4.58145,25461,0
15,2005-01-24,4.56363,4.59037,4.52797,4.59037,65417,0
16,2005-01-25,4.56363,4.634930000000001,4.56363,4.634930000000001,73278,0
17,2005-01-26,4.6081900000000005,4.70624,4.59037,4.69733,124134,0
18,2005-01-27,4.69733,4.76863,4.69733,4.75972,144981,0
19,2005-01-28,4.75972,4.8132,4.74189,4.75972,41394,0
20,2005-01-31,4.78646,4.78646,4.724069999999999,4.75972,161874,0
21,2005-02-01,4.7508099999999995,4.75972,4.73298,4.73298,56347,0
22,2005-02-02,4.73298,4.8132,4.73298,4.79537,89555,0
23,2005-02-03,4.76863,4.929069999999999,4.75972,4.92016,348310,0
24,2005-02-04,4.93799,5.01821,4.90233,5.01821,321125,0
25,2005-02-07,5.03603,5.1875599999999995,5.03603,5.16973,589174,0
26,2005-02-08,5.16973,5.20539,5.160819999999999,5.20539,281681,0
27,2005-02-09,5.12517,5.28561,5.10734,5.28561,433371,0
28,2005-02-10,5.27669,5.2945199999999994,5.2143,5.2945199999999994,221640,0
29,2005-02-11,5.25887,5.3034300000000005,5.1875599999999995,5.22321,163776,0
30,2005-02-14,5.22321,5.3034300000000005,5.22321,5.2945199999999994,333516,0
31,2005-02-15,5.28561,5.31235,5.10734,5.13408,227028,0
32,2005-02-16,5.15191,5.2143,5.04495,5.2143,199950,0
33,2005-02-17,5.25887,5.25887,5.13408,5.24995,355110,0
34,2005-02-18,5.25887,5.437130000000001,5.1875599999999995,5.437130000000001,528614,0
35,2005-02-21,5.27669,5.348,5.12517,5.16973,166399,0
36,2005-02-22,5.25887,5.25887,5.0806,5.11625,84040,0
37,2005-02-23,5.12517,5.12517,4.9469,4.9469,125697,0
38,2005-02-24,4.9469,4.99147,4.88451,4.96473,127767,0
39,2005-02-25,5.03603,5.16973,5.00929,5.07169,287934,0
40,2005-02-28,5.0627699999999995,5.0984300000000005,4.70624,4.70624,557491,0
41,2005-03-01,4.724069999999999,4.79537,4.634930000000001,4.68841,349940,0
42,2005-03-02,4.724069999999999,4.724069999999999,4.64385,4.65276,210832,0
43,2005-03-03,4.6795,4.76863,4.6795,4.724069999999999,140513,0
44,2005-03-04,4.65276,4.79537,4.65276,4.69733,184847,0
45,2005-03-07,4.70624,4.76863,4.66167,4.69733,92017,0
46,2005-03-08,4.69733,4.78646,4.62602,4.62602,193655,0
47,2005-03-09,4.634930000000001,4.66167,4.5458,4.59037,262280,0
48,2005-03-10,4.5458,4.5458,4.2784,4.5012300000000005,167485,0
49,2005-03-11,4.5012300000000005,4.5012300000000005,4.4121,4.4121,108731,0
50,2005-03-14,4.4121,4.4121,4.0644800000000005,4.0644800000000005,202727,0
51,2005-03-15,4.13579,4.2784,4.0555699999999995,4.09122,112759,0
52,2005-03-16,4.10013,4.1447,4.09122,4.10013,106959,0
53,2005-03-17,4.11796,4.1447,4.10013,4.126869999999999,195560,0
54,2005-03-18,4.1447,4.2784,4.1447,4.18927,382466,0
55,2005-03-21,4.20709,4.20709,4.011,4.11796,206663,0
56,2005-03-22,4.10013,4.10013,3.9664300000000003,3.98426,142563,0
57,2005-03-23,3.8773,3.9307800000000004,3.72577,3.7436,273200,0
58,2005-03-28,3.7436,3.8773,3.6099,3.8773,252112,0
59,2005-03-29,3.9218699999999997,3.9664300000000003,3.8594699999999995,3.8773,74946,0
60,2005-03-30,3.9664300000000003,4.126869999999999,3.9664300000000003,4.04665,219273,0
61,2005-03-31,4.0555699999999995,4.1447,4.03774,4.03774,141515,0
62,2005-04-01,4.07339,4.10013,4.011,4.0555699999999995,103272,0
63,2005-04-04,4.03774,4.0555699999999995,3.9307800000000004,3.9664300000000003,37612,0
64,2005-04-05,3.9664300000000003,3.98426,3.9664300000000003,3.98426,6924,0
65,2005-04-06,3.9931699999999997,4.011,3.9575199999999997,4.011,414234,0
66,2005-04-07,4.011,4.10013,3.98426,4.10013,82472,0
67,2005-04-08,4.0555699999999995,4.10013,4.0555699999999995,4.07339,15680,0
68,2005-04-11,4.10013,4.1447,4.02883,4.02883,47205,0
69,2005-04-12,4.019909999999999,4.019909999999999,3.77925,3.9218699999999997,100485,0
70,2005-04-13,3.81491,3.93969,3.81491,3.8773,84700,0
71,2005-04-14,3.83273,3.8505599999999998,3.7881699999999996,3.84165,135589,0
72,2005-04-15,3.83273,3.83273,3.6990300000000005,3.6990300000000005,92601,0
73,2005-04-18,3.6990300000000005,3.8505599999999998,3.6990300000000005,3.75251,88272,0
74,2005-04-19,3.8773,3.8773,3.83273,3.83273,193862,0
75,2005-04-20,3.8773,3.8773,3.65447,3.65447,112144,0
76,2005-04-21,3.6990300000000005,3.83273,3.6990300000000005,3.83273,47503,0
77,2005-04-22,3.8505599999999998,3.8505599999999998,3.7970800000000002,3.8238199999999996,14614,0
78,2005-04-25,3.91295,3.9664300000000003,3.8773,3.9664300000000003,71361,0
79,2005-04-26,3.9664300000000003,4.02883,3.9664300000000003,4.011,45619,0
80,2005-04-27,4.011,4.20709,4.011,4.20709,158855,0
81,2005-04-28,4.23383,4.23383,4.08231,4.09122,72366,0
82,2005-04-29,4.09122,4.20709,4.09122,4.1447,79438,0
83,2005-05-02,4.24275,4.24275,4.1714400000000005,4.1714400000000005,95382,0
84,2005-05-03,4.1714400000000005,4.2784,4.16253,4.18035,65841,0
85,2005-05-04,4.22492,4.29623,4.198180000000001,4.2784,85649,0
86,2005-05-05,4.2784,4.2784,4.10013,4.10905,157959,0
87,2005-05-06,4.18927,4.18927,4.011,4.04665,586584,0
88,2005-05-09,4.04665,4.0555699999999995,4.011,4.02883,514300,0
89,2005-05-10,4.011,4.0555699999999995,3.94861,4.03774,196945,0
90,2005-05-11,4.0555699999999995,4.18927,4.0555699999999995,4.1447,64890,0
91,2005-05-12,4.18927,4.23383,4.1714400000000005,4.23383,76557,0
92,2005-05-13,4.1447,4.40319,4.10013,4.34079,100758,0
93,2005-05-16,4.36753,4.4121,4.32297,4.37645,90839,0
94,2005-05-17,4.32297,4.34079,4.18927,4.34079,49545,0
95,2005-05-18,4.2784,4.33188,4.2784,4.32297,53727,0
96,2005-05-19,4.2784,4.29623,4.2784,4.28731,27820,0
