,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,0.97,0.98,0.97,0.98,10000,0
1,2005-01-04,0.98,1.04,0.95,1.04,63689,0
2,2005-01-07,1.0,1.06,1.0,1.06,27000,0
3,2005-01-10,1.0,1.02,0.96,1.02,18000,0
4,2005-01-11,1.02,1.02,1.02,1.02,2000,0
5,2005-01-12,1.03,1.03,1.03,1.03,1500,0
6,2005-01-18,0.95,1.0,0.95,1.0,9000,0
7,2005-01-21,0.94,0.98,0.94,0.98,5500,0
8,2005-01-27,0.97,0.97,0.97,0.97,1100,0
9,2005-01-28,0.96,0.96,0.96,0.96,1500,0
10,2005-02-04,0.96,0.96,0.96,0.96,1050,0
11,2005-02-08,0.94,1.0,0.94,1.0,10550,0
12,2005-02-09,0.95,0.98,0.95,0.98,6000,0
13,2005-02-10,0.98,0.98,0.95,0.97,13510,0
14,2005-02-11,0.97,0.97,0.97,0.97,3052,0
15,2005-02-14,0.98,0.98,0.98,0.98,3100,0
16,2005-02-16,0.965,0.965,0.965,0.965,1100,0
17,2005-02-18,0.965,0.965,0.965,0.965,1100,0
18,2005-02-21,0.95,0.96,0.95,0.96,3100,0
19,2005-02-23,0.97,0.97,0.97,0.97,2100,0
20,2005-02-25,0.94,0.96,0.94,0.96,6100,0
21,2005-03-02,0.96,0.96,0.96,0.96,1150,0
22,2005-03-08,0.96,0.97,0.96,0.97,6075,0
23,2005-04-29,0.79,0.8690000000000001,0.79,0.869,15323,0
24,2005-05-02,0.79,0.865,0.79,0.865,18759,0
25,2005-05-03,0.8,0.84,0.8,0.84,6643,0
26,2005-05-04,0.845,0.86,0.845,0.86,4200,0
27,2005-05-11,0.86,0.885,0.855,0.885,12349,0
28,2005-05-16,0.89,0.9,0.89,0.9,3529,0
29,2005-05-23,0.905,0.905,0.905,0.905,1500,0
30,2005-06-22,0.82,0.9,0.82,0.9,28000,0
31,2005-06-28,0.88,0.88,0.88,0.88,10500,0
32,2005-06-29,0.8,0.87,0.8,0.87,7189,0
33,2005-07-06,0.85,0.85,0.85,0.85,2200,0
34,2005-07-13,0.85,0.85,0.85,0.85,1200,0
