,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.66,1.7,1.66,1.66,6894,0
1,2005-01-04,1.63,1.63,1.62,1.62,5000,0
2,2005-01-05,1.58,1.58,1.56,1.56,11320,0
3,2005-01-11,1.59,1.59,1.59,1.59,777,0
4,2005-01-19,1.7,1.7,1.7,1.7,3200,0
5,2005-02-01,1.7,1.7,1.7,1.7,3940,0
6,2005-02-02,1.65,1.65,1.65,1.65,3742,0
7,2005-02-03,1.65,1.65,1.65,1.65,1871,0
8,2005-02-04,1.65,1.65,1.65,1.65,3200,0
9,2005-02-07,1.65,1.8,1.65,1.75,10874,0
10,2005-02-08,1.74,1.9,1.74,1.9,5150,0
11,2005-02-09,2.08,2.08,1.99,1.99,1478,0
12,2005-02-10,1.9,2.02,1.9,2.02,2816,0
13,2005-02-14,2.0,2.0,2.0,2.0,2468,0
14,2005-02-15,1.97,1.97,1.97,1.97,4000,0
15,2005-02-22,1.9,1.9,1.9,1.9,2000,0
16,2005-02-28,1.9,1.9,1.9,1.9,1000,0
17,2005-03-02,1.75,1.75,1.75,1.75,1000,0
18,2005-03-04,1.85,1.85,1.85,1.85,4000,0
19,2005-03-09,1.8,1.8,1.8,1.8,2263,0
20,2005-03-10,1.7,1.7,1.7,1.7,4000,0
21,2005-03-16,1.7,1.7,1.7,1.7,2000,0
22,2005-03-18,1.8,1.87,1.8,1.87,2027,0
23,2005-03-23,1.8,1.8,1.8,1.8,1000,0
24,2005-03-28,1.7,1.7,1.7,1.7,5000,0
25,2005-03-31,1.8,1.8,1.8,1.8,1000,0
26,2005-04-01,1.85,1.85,1.85,1.85,2468,0
27,2005-04-06,1.85,1.85,1.8,1.85,13459,0
28,2005-04-07,1.9,1.9,1.9,1.9,2000,0
29,2005-04-14,1.8,1.8,1.8,1.8,5000,0
30,2005-04-19,1.7,1.7,1.7,1.7,1000,0
31,2005-04-20,1.73,1.73,1.72,1.72,6000,0
32,2005-04-21,1.8,1.8,1.75,1.75,3000,0
33,2005-04-22,1.75,1.8,1.75,1.8,2871,0
34,2005-04-25,1.7,1.7,1.7,1.7,1300,0
35,2005-04-26,1.7,1.7,1.7,1.7,4905,0
36,2005-04-27,1.7,1.7,1.7,1.7,1000,0
37,2005-05-06,1.71,1.73,1.71,1.72,4359,0
38,2005-05-09,1.72,1.73,1.72,1.72,5813,0
39,2005-05-11,1.7,1.7,1.68,1.68,3580,0
40,2005-05-12,1.68,1.68,1.68,1.68,2813,0
41,2005-05-13,1.68,1.68,1.68,1.68,5767,0
42,2005-05-16,1.7,1.7,1.7,1.7,11774,0
43,2005-05-17,1.65,1.65,1.65,1.65,3000,0
44,2005-05-18,1.65,1.65,1.65,1.65,1869,0
45,2005-05-19,1.65,1.65,1.62,1.62,2800,0
46,2005-05-20,1.61,1.61,1.61,1.61,1500,0
47,2005-05-23,1.61,1.61,1.61,1.61,1871,0
48,2005-05-30,1.68,1.68,1.68,1.68,6862,0
49,2005-05-31,1.68,1.68,1.68,1.68,17000,0
50,2005-06-01,1.67,1.67,1.67,1.67,1830,0
51,2005-06-02,1.61,1.61,1.61,1.61,5000,0
52,2005-06-07,1.64,1.64,1.64,1.64,5000,0
53,2005-06-09,1.64,1.64,1.64,1.64,2800,0
54,2005-06-13,1.62,1.62,1.62,1.62,1871,0
55,2005-06-21,1.62,1.62,1.62,1.62,185000,0
56,2005-07-06,1.6,1.6,1.6,1.6,2369,0
57,2005-07-07,1.64,1.64,1.64,1.64,3800,0
58,2005-07-11,1.62,1.62,1.62,1.62,2642,0
59,2005-07-12,1.64,1.64,1.64,1.64,6100,0
60,2005-07-14,1.68,1.68,1.68,1.68,11000,0
61,2005-07-15,1.7,1.7,1.69,1.69,2988,0
62,2005-07-18,1.8,1.8,1.8,1.8,1500,0
63,2005-07-20,1.85,1.85,1.85,1.85,3160,0
64,2005-07-25,1.85,1.85,1.85,1.85,1350,0
65,2005-07-26,1.83,1.83,1.83,1.83,4000,0
66,2005-07-27,1.83,1.92,1.83,1.92,9310,0
67,2005-07-28,1.95,1.95,1.95,1.95,600,0
68,2005-07-29,1.9,1.93,1.9,1.93,6000,0
69,2005-08-02,1.93,1.93,1.93,1.93,5000,0
70,2005-08-04,1.88,1.88,1.88,1.88,2000,0
71,2005-08-08,1.85,1.85,1.85,1.85,623,0
72,2005-08-09,1.85,1.85,1.85,1.85,5000,0
73,2005-08-10,1.84,1.84,1.84,1.84,1871,0
74,2005-08-11,1.84,1.84,1.84,1.84,1879,0
75,2005-08-12,1.8,1.84,1.8,1.84,4300,0
76,2005-08-16,1.8,1.8,1.8,1.8,3131,0
77,2005-08-23,1.75,1.75,1.75,1.75,1500,0
