,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-04-20,0.11195,0.11195,0.11195,0.11195,13248,0
1,2005-04-25,0.11939000000000001,0.12315,0.11939000000000001,0.12315,23450,0
2,2005-08-09,0.10450999999999999,0.10818,0.10450999999999999,0.10818,29749,0
3,2005-11-09,0.25374,0.26118,0.25374,0.26118,60302,0
4,2005-11-10,0.29846,0.29846,0.28396,0.29846,97183,0
5,2005-11-11,0.29479,0.29479,0.29479,0.29479,11302,0
6,2005-11-14,0.29846,0.29846,0.29846,0.29846,18244,0
7,2005-11-15,0.29479,0.29479,0.29479,0.29479,49469,0
8,2005-11-16,0.29479,0.29479,0.29479,0.29479,24120,0
9,2005-11-18,0.29479,0.29479,0.29479,0.29479,26720,0
10,2005-11-22,0.29479,0.29479,0.29479,0.29479,29454,0
11,2005-11-30,0.29846,0.29846,0.29103,0.29103,33798,0
12,2005-12-01,0.29846,0.29846,0.29846,0.29846,21441,0
13,2005-12-22,0.29846,0.32831,0.29846,0.32831,28988,0
14,2005-12-23,0.36117,0.41041000000000005,0.36117,0.41041000000000005,8075,0
15,2005-12-26,0.44778999999999997,0.5522,0.44778999999999997,0.5522,57762,0
16,2005-12-27,0.5522,0.71641,0.5522,0.71641,72737,0
17,2005-12-28,0.74625,1.21269,0.74625,1.21269,84426,0
18,2005-12-29,1.33207,1.8693099999999998,1.33207,1.49251,206572,0
19,2006-01-02,1.43649,1.43649,1.19395,1.2574100000000001,36112,0
20,2006-01-03,1.19395,1.26861,1.19395,1.26861,44020,0
21,2006-01-04,1.34327,1.34327,1.19395,1.26861,22751,0
22,2006-01-13,0.9327700000000001,1.02607,0.9327700000000001,1.02607,25327,0
23,2006-01-16,1.02607,1.10074,1.02607,1.10074,2680,0
24,2006-01-17,1.10074,1.10074,1.0821,1.10074,11969,0
25,2006-01-18,1.09697,1.10074,1.09697,1.10074,5896,0
26,2006-01-19,1.10074,1.10074,1.06336,1.10074,21708,0
27,2006-01-20,1.1193799999999998,1.1193799999999998,1.10074,1.10074,10940,0
28,2006-01-26,1.10074,1.1193799999999998,1.10074,1.1193799999999998,5628,0
29,2006-01-27,1.06336,1.1193799999999998,1.06336,1.1193799999999998,3594,0
30,2006-02-02,1.10074,1.1193799999999998,1.10074,1.1193799999999998,2680,0
31,2006-02-15,1.04472,1.04472,1.04472,1.04472,2683,0
32,2006-02-27,0.5596399999999999,0.5596399999999999,0.5596399999999999,0.5596399999999999,80402,0
33,2006-02-28,0.57838,0.6715899999999999,0.57838,0.6715899999999999,43675,0
34,2006-03-01,0.70897,0.73882,0.70897,0.73882,50654,0
35,2006-03-02,0.73882,0.73882,0.73882,0.73882,4124,0
36,2006-03-03,0.7276100000000001,0.7276100000000001,0.6715899999999999,0.6715899999999999,21441,0
37,2006-03-06,0.66792,0.66792,0.66792,0.66792,8389,0
38,2006-03-07,0.66415,0.66415,0.65671,0.65671,6968,0
39,2006-03-08,0.59326,0.59326,0.59326,0.59326,17278,0
40,2006-03-09,0.59702,0.59702,0.59702,0.59702,2680,0
41,2006-03-10,0.60069,0.60069,0.5596399999999999,0.5596399999999999,32965,0
42,2006-03-15,0.5596399999999999,0.5596399999999999,0.5596399999999999,0.5596399999999999,16080,0
43,2006-03-16,0.541,0.541,0.541,0.541,2680,0
44,2006-03-17,0.541,0.541,0.541,0.541,2680,0
45,2006-03-20,0.541,0.541,0.53733,0.541,12597,0
46,2006-03-21,0.52236,0.52236,0.48875,0.52236,11659,0
47,2006-03-23,0.52236,0.52236,0.52236,0.52236,2680,0
48,2006-03-27,0.50372,0.52236,0.50372,0.52236,58962,0
49,2006-03-29,0.51869,0.51869,0.51869,0.51869,2680,0
