,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,3.00747,3.00747,2.96258,2.96258,4456,0
1,2005-01-04,2.96258,2.96258,2.96258,2.96258,999,0
2,2005-01-05,2.87281,2.87281,2.87281,2.87281,1077,0
3,2005-01-07,2.96258,2.96258,2.96258,2.96258,3713,0
4,2005-01-10,2.98054,2.98054,2.98054,2.98054,3899,0
5,2005-01-11,2.98054,2.98952,2.95361,2.95361,16709,0
6,2005-01-12,3.00747,3.00747,3.00747,3.00747,1760,0
7,2005-01-13,2.96258,2.96258,2.93565,2.96258,5013,0
8,2005-01-14,2.96258,2.96258,2.96258,2.96258,5402,0
9,2005-01-17,2.87281,2.87281,2.87281,2.87281,952,0
10,2005-01-18,2.87281,2.88179,2.87281,2.88179,7332,0
11,2005-01-19,2.96258,3.00747,2.96258,3.00747,11404,0
12,2005-01-20,3.00747,3.00747,3.00747,3.00747,1114,0
13,2005-01-21,3.0523599999999997,3.0523599999999997,3.00747,3.00747,16272,0
14,2005-01-24,3.09725,3.09725,3.00747,3.00747,2228,0
15,2005-01-25,3.00747,3.00747,3.00747,3.00747,1448,0
16,2005-01-26,2.96258,2.96258,2.96258,2.96258,1058,0
17,2005-01-27,2.96258,2.96258,2.8907599999999998,2.8907599999999998,10916,0
18,2005-01-28,2.8907599999999998,2.89974,2.87281,2.89974,8873,0
19,2005-01-31,2.88179,2.90872,2.87281,2.90872,14805,0
20,2005-02-01,2.96258,2.9715599999999998,2.9177,2.9177,10001,0
21,2005-02-02,2.96258,2.96258,2.96258,2.96258,590,0
22,2005-02-03,2.96258,2.96258,2.96258,2.96258,1816,0
23,2005-02-04,3.00747,3.01645,3.00747,3.01645,33680,0
24,2005-02-08,3.01645,3.0523599999999997,3.01645,3.0523599999999997,4379,0
25,2005-02-09,3.0523599999999997,3.0792900000000003,3.0523599999999997,3.0523599999999997,7775,0
26,2005-02-14,3.00747,3.00747,3.00747,3.00747,1894,0
27,2005-02-15,2.87281,2.9177,2.87281,2.87281,5974,0
28,2005-02-16,2.87281,2.96258,2.82792,2.96258,13507,0
29,2005-02-17,2.87281,2.96258,2.85485,2.96258,20049,0
30,2005-02-18,2.96258,2.96258,2.94463,2.94463,13134,0
31,2005-02-21,2.9177,2.9177,2.9177,2.9177,2847,0
32,2005-02-22,2.9177,2.9177,2.8458799999999997,2.8458799999999997,19215,0
33,2005-02-23,2.82792,2.87281,2.82792,2.8458799999999997,10963,0
34,2005-02-24,2.82792,2.87281,2.80099,2.87281,16077,0
35,2005-02-25,2.87281,2.96258,2.82792,2.96258,22835,0
36,2005-02-28,2.87281,2.87281,2.8369,2.85485,16508,0
37,2005-03-01,2.87281,2.87281,2.80099,2.85485,15249,0
38,2005-03-02,2.80099,2.85485,2.80099,2.85485,17313,0
39,2005-03-03,2.80099,2.85485,2.7561,2.85485,18254,0
40,2005-03-04,2.69326,2.78303,2.69326,2.78303,4923,0
41,2005-03-07,2.78303,2.78303,2.78303,2.78303,1512,0
42,2005-03-08,2.78303,2.85485,2.73815,2.85485,27626,0
43,2005-03-09,2.7471200000000002,2.7650799999999998,2.7471200000000002,2.7650799999999998,3843,0
44,2005-03-10,2.69326,2.7650799999999998,2.5137099999999997,2.64837,18580,0
45,2005-03-11,2.66633,2.66633,2.5586,2.5586,7244,0
46,2005-03-15,2.5586,2.64837,2.46882,2.46882,15639,0
47,2005-03-16,2.46882,2.49575,2.46882,2.46882,12810,0
48,2005-03-17,2.46882,2.48678,2.46882,2.4778,23537,0
49,2005-03-18,2.46882,2.5137099999999997,2.46882,2.5137099999999997,29314,0
50,2005-03-21,2.5226900000000003,2.5226900000000003,2.5137099999999997,2.5137099999999997,7343,0
51,2005-03-22,2.26234,2.46882,2.26234,2.46882,11250,0
52,2005-03-23,2.4149599999999998,2.46882,2.4149599999999998,2.46882,7797,0
53,2005-03-28,2.42393,2.42393,2.28927,2.42393,21114,0
54,2005-03-29,2.33416,2.33416,2.29825,2.29825,8495,0
55,2005-03-30,2.3521099999999997,2.3521099999999997,2.33416,2.33416,16078,0
56,2005-04-01,2.33416,2.33416,2.33416,2.33416,4052,0
57,2005-04-04,2.33416,2.33416,2.26234,2.28927,23124,0
58,2005-04-05,2.28927,2.28927,2.19949,2.19949,10582,0
59,2005-04-06,2.19949,2.19949,2.15461,2.15461,14703,0
60,2005-04-07,2.16358,2.16358,2.15461,2.16358,3847,0
61,2005-04-08,2.15461,2.15461,2.15461,2.15461,2277,0
62,2005-04-11,2.15461,2.16358,2.15461,2.16358,8650,0
63,2005-04-12,2.16358,2.16358,2.13665,2.13665,5749,0
64,2005-04-13,2.19949,2.19949,2.15461,2.15461,2339,0
65,2005-04-14,2.13665,2.13665,2.0648299999999997,2.0648299999999997,12182,0
66,2005-04-15,2.1097200000000003,2.1097200000000003,2.0648299999999997,2.0648299999999997,8555,0
67,2005-04-19,2.14563,2.14563,2.14563,2.14563,2272,0
68,2005-04-20,2.14563,2.14563,2.14563,2.14563,1114,0
69,2005-04-21,2.17256,2.17256,2.17256,2.17256,1671,0
70,2005-04-22,2.17256,2.17256,2.15461,2.17256,9735,0
71,2005-04-25,2.1905200000000002,2.24438,2.1905200000000002,2.24438,7138,0
72,2005-04-26,2.21745,2.21745,2.21745,2.21745,3325,0
73,2005-04-28,2.22643,2.22643,2.22643,2.22643,2128,0
74,2005-04-29,2.22643,2.4329099999999997,2.22643,2.30722,5197,0
75,2005-05-02,2.30722,2.37905,2.30722,2.37007,3342,0
76,2005-05-03,2.37007,2.42393,2.37007,2.4149599999999998,3942,0
77,2005-05-04,2.42393,2.42393,2.42393,2.42393,3899,0
78,2005-05-05,2.37905,2.37905,2.37905,2.37905,2785,0
79,2005-05-06,2.37905,2.4598400000000002,2.37905,2.42393,7973,0
80,2005-05-09,2.40598,2.40598,2.40598,2.40598,780,0
81,2005-05-10,2.42393,2.42393,2.42393,2.42393,891,0
82,2005-05-11,2.42393,2.60348,2.42393,2.60348,9635,0
83,2005-05-12,2.5226900000000003,2.5226900000000003,2.40598,2.40598,12556,0
84,2005-05-13,2.42393,2.4418900000000003,2.42393,2.4418900000000003,13924,0
85,2005-05-16,2.5137099999999997,2.56757,2.49575,2.54962,23247,0
86,2005-05-17,2.54962,2.60348,2.54962,2.60348,4300,0
87,2005-05-18,2.60348,2.63042,2.5586,2.5586,11298,0
88,2005-05-20,2.49575,2.49575,2.49575,2.49575,1114,0
89,2005-05-24,2.5137099999999997,2.5586,2.5137099999999997,2.5586,12805,0
90,2005-05-26,2.5406400000000002,2.5586,2.5406400000000002,2.5586,2736,0
91,2005-05-27,2.5586,2.5586,2.5586,2.5586,2005,0
92,2005-05-30,2.5586,2.5586,2.54962,2.5586,4425,0
93,2005-05-31,2.5586,2.5586,2.5586,2.5586,3148,0
94,2005-06-01,2.5406400000000002,2.5586,2.5406400000000002,2.5586,5090,0
95,2005-06-02,2.5586,2.5586,2.5586,2.5586,1909,0
96,2005-06-03,2.5137099999999997,2.5137099999999997,2.5137099999999997,2.5137099999999997,1114,0
97,2005-06-07,2.5137099999999997,2.5137099999999997,2.42393,2.42393,5265,0
98,2005-06-08,2.37905,2.5137099999999997,2.37905,2.5137099999999997,19261,0
99,2005-06-09,2.46882,2.46882,2.42393,2.42393,5469,0
100,2005-06-10,2.42393,2.42393,2.42393,2.42393,2599,0
101,2005-06-13,2.37905,2.37905,2.37905,2.37905,8255,0
102,2005-06-14,2.37905,2.37905,2.37905,2.37905,4333,0
103,2005-06-15,2.37905,2.42393,2.37905,2.42393,1197,0
104,2005-06-17,2.42393,2.42393,2.42393,2.42393,3119,0
105,2005-06-21,2.42393,2.42393,2.42393,2.42393,557,0
106,2005-06-22,2.42393,2.42393,2.42393,2.42393,2468,0
107,2005-06-24,2.37905,2.37905,2.37905,2.37905,3899,0
108,2005-06-27,2.37905,2.42393,2.3521099999999997,2.42393,7820,0
109,2005-06-28,2.3521099999999997,2.3521099999999997,2.3521099999999997,2.3521099999999997,5013,0
110,2005-06-29,2.28927,2.28927,2.28927,2.28927,2376,0
111,2005-06-30,2.28927,2.33416,2.28927,2.33416,2785,0
112,2005-07-01,2.33416,2.33416,2.24438,2.24438,8228,0
113,2005-07-04,2.28927,2.28927,2.28927,2.28927,492,0
114,2005-07-05,2.33416,2.48678,2.33416,2.4598400000000002,17860,0
115,2005-07-06,2.42393,2.42393,2.42393,2.42393,1671,0
116,2005-07-08,2.46882,2.46882,2.46882,2.46882,1337,0
117,2005-07-11,2.63042,2.63042,2.5945099999999996,2.60348,14804,0
118,2005-07-12,2.62144,2.73815,2.62144,2.71121,30311,0
119,2005-07-13,2.71121,2.71121,2.69326,2.69326,16838,0
120,2005-07-14,2.70224,2.71121,2.69326,2.71121,7240,0
121,2005-07-15,2.64837,2.72019,2.64837,2.72019,9914,0
122,2005-07-18,2.72019,2.7561,2.72019,2.7471200000000002,8687,0
123,2005-07-19,2.7650799999999998,2.78303,2.7650799999999998,2.78303,4784,0
124,2005-07-20,2.78303,2.96258,2.78303,2.82792,24008,0
125,2005-07-21,2.87281,2.87281,2.85485,2.85485,5779,0
126,2005-07-25,2.73815,2.73815,2.72019,2.72019,4678,0
127,2005-07-26,2.69326,2.69326,2.69326,2.69326,1460,0
128,2005-07-27,2.69326,2.77406,2.69326,2.77406,2639,0
129,2005-07-28,2.77406,2.80099,2.77406,2.80099,5927,0
130,2005-07-29,2.78303,2.81894,2.78303,2.81894,1559,0
131,2005-08-01,2.78303,2.87281,2.78303,2.87281,3332,0
132,2005-08-02,2.69326,2.73815,2.69326,2.73815,8482,0
133,2005-08-03,2.69326,2.73815,2.69326,2.73815,4238,0
134,2005-08-04,2.69326,2.70224,2.64837,2.70224,12643,0
135,2005-08-05,2.71121,2.7561,2.69326,2.7561,8014,0
136,2005-08-08,2.69326,2.73815,2.6842799999999998,2.73815,11509,0
137,2005-08-09,2.69326,2.69326,2.5137099999999997,2.5137099999999997,9891,0
138,2005-08-10,2.5586,2.60348,2.5586,2.60348,12457,0
139,2005-08-11,2.60348,2.63042,2.5586,2.63042,12497,0
140,2005-08-17,2.60348,2.65735,2.60348,2.65735,1114,0
141,2005-08-18,2.5137099999999997,2.5137099999999997,2.5137099999999997,2.5137099999999997,557,0
142,2005-08-19,2.49575,2.5137099999999997,2.49575,2.5137099999999997,7274,0
143,2005-08-22,2.5137099999999997,2.60348,2.46882,2.60348,20041,0
144,2005-08-23,2.5137099999999997,2.60348,2.5137099999999997,2.60348,8793,0
145,2005-08-24,2.5586,2.63042,2.5586,2.63042,1799,0
146,2005-08-25,2.63042,2.63042,2.63042,2.63042,780,0
147,2005-08-29,2.5226900000000003,2.60348,2.45087,2.48678,30657,0
148,2005-08-30,2.48678,2.64837,2.48678,2.64837,21142,0
149,2005-08-31,2.64837,2.64837,2.60348,2.64837,5993,0
150,2005-09-01,2.64837,2.69326,2.63042,2.69326,17763,0
151,2005-09-02,2.6842799999999998,2.73815,2.64837,2.73815,35089,0
152,2005-09-05,2.73815,2.78303,2.73815,2.7650799999999998,14048,0
153,2005-09-06,2.78303,2.82792,2.7650799999999998,2.78303,64032,0
154,2005-09-07,2.78303,2.80099,2.7650799999999998,2.78303,14905,0
155,2005-09-08,2.82792,2.85485,2.7471200000000002,2.80099,32537,0
156,2005-09-09,2.78303,2.78303,2.69326,2.78303,17636,0
157,2005-09-12,2.69326,2.69326,2.66633,2.69326,18194,0
158,2005-09-13,2.69326,2.73815,2.69326,2.73815,14054,0
159,2005-09-14,2.78303,2.82792,2.78303,2.82792,13270,0
160,2005-09-15,2.82792,2.87281,2.82792,2.87281,57502,0
161,2005-09-16,2.93565,3.1331599999999997,2.93565,3.1331599999999997,61020,0
162,2005-09-19,3.1331599999999997,3.18702,3.1331599999999997,3.1600900000000003,52420,0
163,2005-09-20,3.18702,3.18702,3.0523599999999997,3.0523599999999997,21171,0
164,2005-09-21,3.0523599999999997,3.18702,3.0523599999999997,3.14213,53909,0
165,2005-09-22,3.14213,3.1600900000000003,3.0703099999999997,3.1600900000000003,26091,0
166,2005-09-23,3.14213,3.20498,3.14213,3.20498,9476,0
167,2005-09-26,3.20498,3.2139599999999997,3.14213,3.2139599999999997,20034,0
168,2005-09-27,3.2139599999999997,3.2139599999999997,3.18702,3.2139599999999997,18346,0
169,2005-09-28,3.2139599999999997,3.23191,3.2139599999999997,3.2139599999999997,14997,0
170,2005-09-29,3.18702,3.20498,3.14213,3.18702,11667,0
171,2005-09-30,3.18702,3.23191,3.18702,3.23191,18514,0
172,2005-10-03,3.23191,3.5461199999999997,3.23191,3.5461199999999997,99236,0
173,2005-10-04,3.5461199999999997,3.59101,3.5461199999999997,3.5461199999999997,33628,0
174,2005-10-05,3.5461199999999997,3.5461199999999997,3.41146,3.50124,9248,0
175,2005-10-06,3.50124,3.5461199999999997,3.48328,3.48328,12825,0
176,2005-10-07,3.50124,3.5461199999999997,3.45635,3.5461199999999997,3636,0
177,2005-10-11,3.5461199999999997,3.6359,3.5461199999999997,3.6359,10334,0
178,2005-10-12,3.68079,3.68079,3.5461199999999997,3.6359,39891,0
179,2005-10-13,3.5820300000000005,3.6359,3.5820300000000005,3.6359,15215,0
180,2005-10-14,3.6359,3.81545,3.6359,3.81545,20607,0
181,2005-10-17,3.8603400000000003,3.8603400000000003,3.75261,3.75261,23577,0
182,2005-10-18,3.68079,3.6987400000000004,3.68079,3.68079,15964,0
183,2005-10-19,3.6628300000000005,3.6987400000000004,3.65385,3.6987400000000004,19292,0
184,2005-10-20,3.6628300000000005,3.6987400000000004,3.64488,3.6987400000000004,3175,0
185,2005-10-21,3.7256699999999996,3.7256699999999996,3.7256699999999996,3.7256699999999996,1114,0
186,2005-10-24,3.8603400000000003,4.057840000000001,3.8513599999999997,4.057840000000001,48688,0
187,2005-10-25,4.03989,4.129659999999999,4.03989,4.03989,35561,0
188,2005-10-26,4.129659999999999,4.4349,4.129659999999999,4.4349,37810,0
189,2005-10-27,4.66831,4.66831,4.38103,4.39899,18927,0
190,2005-10-28,4.30921,4.4349,4.22842,4.4349,20431,0
191,2005-10-31,4.4349,4.4349,4.36308,4.36308,11961,0
