,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2011-06-22,1.31,1.31,1.31,1.31,10000,0
1,2011-06-23,1.33,1.33,1.33,1.33,4000,0
2,2011-06-24,1.33,1.33,1.33,1.33,10000,0
3,2011-06-27,1.35,1.35,1.35,1.35,5000,0
4,2011-06-28,1.36,1.36,1.36,1.36,5000,0
5,2011-07-04,1.4,1.4,1.4,1.4,2000,0
6,2011-07-05,1.39,1.39,1.39,1.39,4000,0
7,2011-07-06,1.4,1.4,1.4,1.4,5000,0
8,2011-07-08,1.45,1.5,1.45,1.5,5000,0
9,2011-07-11,1.55,1.55,1.55,1.55,2000,0
10,2011-07-12,1.6,1.6,1.6,1.6,2000,0
11,2011-07-13,1.76,1.76,1.76,1.76,1000,0
12,2011-07-14,1.8,2.11,1.8,2.11,14000,0
13,2011-07-15,2.32,2.53,2.32,2.53,11000,0
14,2011-07-18,2.78,3.03,2.78,3.03,16350,0
15,2011-07-19,3.1,3.32,3.1,3.32,15380,0
16,2011-07-20,3.25,3.26,3.25,3.26,5500,0
17,2011-07-21,3.26,3.26,3.26,3.26,11000,0
18,2011-07-29,3.19,3.19,3.19,3.19,2000,0
19,2011-08-01,3.15,3.15,3.15,3.15,6419,0
20,2011-08-02,2.9,2.9,2.9,2.9,2000,0
21,2011-08-05,2.62,2.62,2.5,2.5,3500,0
22,2011-08-09,2.28,2.28,2.28,2.28,2000,0
23,2011-08-10,2.08,2.08,2.08,2.08,2000,0
24,2011-08-11,2.1,2.1,2.1,2.1,1000,0
25,2011-08-12,2.1,2.1,2.1,2.1,10000,0
26,2011-08-15,2.0,2.0,2.0,2.0,2000,0
27,2011-08-16,1.9,1.9,1.9,1.9,2500,0
28,2011-08-17,1.9,1.9,1.9,1.9,1000,0
29,2011-08-25,1.85,1.85,1.85,1.85,2000,0
30,2011-08-26,1.85,1.85,1.85,1.85,2000,0
31,2011-08-29,1.8,1.8,1.8,1.8,600,0
32,2011-08-31,1.75,1.75,1.75,1.75,2000,0
33,2011-09-13,1.75,1.75,1.75,1.75,1270,0
34,2011-09-20,1.7,1.7,1.7,1.7,775,0
35,2011-09-23,1.6,1.6,1.6,1.6,5200,0
36,2011-09-27,1.6,1.6,1.6,1.6,845,0
37,2011-09-28,1.5,1.51,1.5,1.51,6019,0
38,2011-09-30,1.53,1.53,1.53,1.53,1000,0
39,2011-10-05,1.58,1.58,1.58,1.58,844,0
40,2011-10-13,1.65,1.65,1.65,1.65,2000,0
41,2011-10-21,1.9,2.0,1.9,2.0,15000,0
42,2011-10-24,2.2,2.2,2.2,2.2,1040,0
43,2011-10-25,2.2,2.2,2.2,2.2,641,0
44,2011-10-26,2.2,2.25,2.2,2.25,3000,0
45,2011-10-27,2.35,2.35,2.35,2.35,640,0
46,2011-11-02,2.58,2.58,2.58,2.58,900,0
47,2011-11-18,2.45,2.46,2.45,2.46,4950,0
48,2011-11-21,2.44,2.44,2.44,2.44,2000,0
49,2011-11-23,2.35,2.35,2.35,2.35,500,0
50,2011-11-29,2.45,2.45,2.45,2.45,2000,0
51,2011-11-30,2.46,2.55,2.46,2.55,3494,0
52,2011-12-06,2.6,2.6,2.6,2.6,12536,0
53,2011-12-15,2.61,2.61,2.61,2.61,2036,0
54,2011-12-21,2.65,2.65,2.65,2.65,2000,0
55,2012-01-05,2.75,2.75,2.75,2.75,2000,0
