,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-04,3.4697,3.4697,3.4697,3.4697,5058,0
1,2005-01-05,3.3540400000000004,3.3540400000000004,3.3540400000000004,3.3540400000000004,6623,0
2,2005-01-06,3.3540400000000004,3.4003,3.3540400000000004,3.3771699999999996,12541,0
3,2005-01-07,3.44657,3.4697,3.3771699999999996,3.3771699999999996,13826,0
4,2005-01-11,3.4697,3.7010099999999997,3.4697,3.7010099999999997,45610,0
5,2005-01-12,3.7241400000000002,3.7241400000000002,3.58535,3.65475,12243,0
6,2005-01-13,3.58535,3.58535,3.58535,3.58535,5101,0
7,2005-01-14,3.58535,3.58535,3.5622199999999995,3.5622199999999995,13661,0
8,2005-01-18,3.58535,3.58535,3.58535,3.58535,3891,0
9,2005-01-19,3.60848,3.60848,3.60848,3.60848,2162,0
10,2005-01-20,3.58535,3.63162,3.58535,3.63162,6270,0
11,2005-01-24,3.58535,3.58535,3.5622199999999995,3.5622199999999995,3977,0
12,2005-01-28,3.60848,3.60848,3.60848,3.60848,1297,0
13,2005-01-31,3.60848,3.7010099999999997,3.60848,3.7010099999999997,8214,0
14,2005-02-02,3.65475,3.65475,3.63162,3.63162,2983,0
15,2005-02-03,3.60848,3.7010099999999997,3.60848,3.7010099999999997,19532,0
16,2005-02-04,3.74727,3.79354,3.74727,3.7704,19324,0
17,2005-02-07,3.74727,3.81667,3.74727,3.7704,11521,0
18,2005-02-08,3.7704,3.81667,3.7704,3.81667,10587,0
19,2005-02-09,3.81667,3.81667,3.81667,3.81667,6489,0
20,2005-02-10,3.7704,3.81667,3.7704,3.81667,17839,0
21,2005-02-11,3.7704,3.81667,3.7704,3.7704,23864,0
22,2005-02-14,3.7704,3.8629300000000004,3.7704,3.8282300000000005,25874,0
23,2005-02-15,3.7010099999999997,3.7010099999999997,3.6778800000000005,3.6778800000000005,10159,0
24,2005-02-16,3.63162,3.7010099999999997,3.5390900000000003,3.7010099999999997,7285,0
25,2005-02-17,3.64318,3.64318,3.64318,3.64318,845,0
26,2005-02-18,3.58535,3.58535,3.58535,3.58535,15137,0
27,2005-02-21,3.7010099999999997,3.7010099999999997,3.58535,3.58535,13402,0
28,2005-02-22,3.63162,3.63162,3.5390900000000003,3.5390900000000003,29527,0
29,2005-02-23,3.65475,3.65475,3.49283,3.49283,17201,0
30,2005-02-24,3.49283,3.5390900000000003,3.4697,3.5390900000000003,18157,0
31,2005-02-25,3.58535,3.58535,3.5737900000000002,3.58535,4571,0
32,2005-03-01,3.5390900000000003,3.5390900000000003,3.5159599999999998,3.5390900000000003,9943,0
33,2005-03-02,3.58535,3.58535,3.5390900000000003,3.5390900000000003,24858,0
34,2005-03-03,3.5390900000000003,3.5390900000000003,3.5390900000000003,3.5390900000000003,432,0
35,2005-03-04,3.5390900000000003,3.7010099999999997,3.5390900000000003,3.5390900000000003,14699,0
36,2005-03-07,3.5159599999999998,3.58535,3.5043900000000003,3.58535,15434,0
37,2005-03-08,3.58535,3.65475,3.58535,3.65475,7911,0
38,2005-03-09,3.65475,3.81667,3.58535,3.58535,18793,0
39,2005-03-10,3.5390900000000003,3.5390900000000003,3.44657,3.4697,27884,0
40,2005-03-11,3.42343,3.42343,3.3540400000000004,3.3540400000000004,3891,0
41,2005-03-14,3.4003,3.4003,3.23838,3.23838,4539,0
42,2005-03-15,3.3540400000000004,3.3540400000000004,3.33091,3.33091,1513,0
43,2005-03-16,3.26152,3.26152,3.23838,3.23838,2680,0
44,2005-03-17,3.28465,3.30778,3.23838,3.30778,11543,0
45,2005-03-18,3.23838,3.4697,3.23838,3.4697,5966,0
46,2005-03-21,3.30778,3.30778,3.23838,3.23838,4323,0
47,2005-03-23,3.16899,3.16899,3.16899,3.16899,865,0
48,2005-03-28,3.14586,3.14586,3.14586,3.14586,821,0
49,2005-03-29,3.23838,3.23838,3.12273,3.12273,1902,0
50,2005-03-30,3.23838,3.23838,3.23838,3.23838,432,0
51,2005-03-31,3.20369,3.20369,3.19212,3.19212,5356,0
52,2005-04-01,3.23838,3.23838,3.23838,3.23838,432,0
53,2005-04-04,3.23838,3.23838,3.23838,3.23838,1530,0
54,2005-04-07,3.12273,3.12273,3.12273,3.12273,1513,0
55,2005-04-11,3.12273,3.12273,3.12273,3.12273,354,0
