,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2016-05-19,31.6,32.4,31.5,32.1,1174811,0
1,2016-05-26,32.0,32.25,31.7,32.2,477283,0
2,2016-05-27,32.2,32.3,32.0,32.2,31183,0
3,2016-05-30,32.3,32.7,32.3,32.6,12673,0
4,2016-05-31,32.5,32.5,32.0,32.3,14986,0
5,2016-06-01,32.2,32.3,31.85,31.85,17113,0
6,2016-06-02,32.0,32.0,31.8,31.95,8228,0
7,2016-06-03,32.0,32.8,32.0,32.8,274286,0
8,2016-06-06,33.0,33.0,32.5,32.5,6764,0
9,2016-06-07,32.9,33.2,32.7,33.2,102185,0
10,2016-06-08,33.2,34.0,33.2,34.0,28898,0
11,2016-06-09,33.5,34.0,33.5,34.0,13438,0
12,2016-06-10,34.3,34.35,33.2,33.2,37478,0
13,2016-06-13,33.25,33.6,33.2,33.6,21806,0
14,2016-06-14,33.5,34.1,32.8,34.0,125829,0
15,2016-06-15,34.0,34.0,33.5,33.5,22905,0
16,2016-06-16,33.5,34.0,33.5,34.0,9296,0
17,2016-06-21,35.25,36.0,35.0,36.0,148777,0
18,2016-06-22,37.0,37.0,35.9,36.05,163809,0
19,2016-06-23,37.0,37.0,36.5,36.7,160782,0
20,2016-06-24,35.0,37.0,35.0,36.9,103163,0
21,2016-06-27,37.0,37.0,36.0,36.25,1616,0
22,2016-06-28,37.0,37.5,37.0,37.0,16950,0
23,2016-06-29,38.0,38.0,37.5,37.7,56705,0
24,2016-06-30,37.7,38.0,37.6,37.9,93030,0
25,2016-07-01,38.25,39.3,38.25,38.9,56676,0
26,2016-07-04,39.5,42.0,39.5,40.0,15084,0
27,2016-07-05,42.0,42.0,38.1,38.5,25006,0
28,2016-07-06,38.45,38.5,37.3,37.85,52982,0
29,2016-07-07,38.0,38.0,37.45,37.45,28541,0
30,2016-07-11,37.45,39.0,37.45,37.45,27979,0
31,2016-07-12,37.6,38.1,37.4,37.5,27906,0
32,2016-07-13,38.0,38.0,36.7,37.5,41667,0
33,2016-07-14,38.0,38.45,38.0,38.0,25008,0
34,2016-07-15,39.0,39.95,38.5,39.6,77080,0
35,2016-07-18,40.0,40.0,39.25,40.0,25130,0
36,2016-07-19,41.0,42.0,39.8,41.0,73097,0
37,2016-07-20,41.0,41.5,40.0,41.0,7454,0
38,2016-07-21,41.0,41.5,40.5,40.5,4688,0
39,2016-07-22,40.5,40.9,40.5,40.5,11932,0
40,2016-07-25,40.5,40.5,40.0,40.5,6557,0
41,2016-07-26,40.6,42.0,40.0,40.4,16824,0
42,2016-07-27,40.4,40.9,40.4,40.5,51100,0
43,2016-07-28,40.4,40.4,40.0,40.4,10333,0
44,2016-07-29,40.0,41.0,40.0,40.9,8360,0
45,2016-08-01,40.85,41.95,40.0,40.0,8232,0
46,2016-08-02,40.0,40.0,38.7,39.6,9497,0
47,2016-08-03,39.5,39.6,39.05,39.5,3718,0
48,2016-08-04,39.5,40.0,39.0,39.0,4004,0
49,2016-08-05,39.2,39.5,39.2,39.2,5983,0
50,2016-08-08,39.2,40.0,39.2,40.0,8298,0
51,2016-08-09,40.0,40.0,39.0,39.25,12396,0
52,2016-08-10,39.25,39.25,38.7,39.0,8480,0
53,2016-08-11,39.95,40.0,39.0,39.0,2978,0
54,2016-08-12,39.0,39.5,39.0,39.4,1907,0
55,2016-08-16,39.5,39.8,39.1,39.2,3017,0
56,2016-08-17,36.8,38.75,36.8,38.4,4504,0
57,2016-08-18,38.0,39.5,38.0,39.5,7813,0
58,2016-08-19,39.6,40.0,39.6,40.0,2446,0
59,2016-08-22,40.0,40.0,39.0,39.9,15758,0
60,2016-08-23,40.0,40.5,40.0,40.5,81952,0
61,2016-08-24,40.4,40.4,39.5,39.75,20317,0
62,2016-08-25,40.4,40.4,40.2,40.25,7360,0
63,2016-08-26,39.9,40.25,39.9,40.25,5615,0
64,2016-08-29,40.5,40.8,40.5,40.8,68926,0
65,2016-08-30,41.0,42.4,41.0,41.5,202294,0
66,2016-08-31,41.0,41.75,40.5,41.75,81186,0
67,2016-09-01,41.9,41.9,41.5,41.5,53933,0
68,2016-09-02,41.5,41.5,41.5,41.5,2100,0
69,2016-09-05,41.5,42.15,41.5,42.15,12044,0
70,2016-09-06,42.3,43.5,42.0,42.9,11914,0
71,2016-09-07,43.55,43.55,43.0,43.5,16679,0
72,2016-09-08,44.0,44.0,43.0,44.0,19910,0
73,2016-09-09,43.1,43.2,43.0,43.2,11915,0
74,2016-09-12,43.0,43.15,43.0,43.0,12282,0
75,2016-09-13,43.0,43.0,41.05,42.0,2809,0
76,2016-09-14,42.5,42.5,42.5,42.5,1230,0
77,2016-09-15,43.5,44.75,43.5,44.5,42860,0
78,2016-09-16,44.5,45.2,44.5,44.6,7329,0
79,2016-09-19,45.35,45.65,45.35,45.65,2440,0
80,2016-09-20,46.85,47.5,46.55,46.6,11301,0
81,2016-09-21,46.4,46.4,45.5,45.8,27331,0
82,2016-09-22,46.0,46.2,45.8,46.0,21990,0
83,2016-09-23,45.0,46.0,45.0,46.0,7515,0
84,2016-09-26,46.3,46.3,45.5,45.5,1418,0
85,2016-09-27,45.5,45.75,45.15,45.15,2210,0
86,2016-09-28,45.2,45.5,45.0,45.0,35694,0
87,2016-09-29,45.2,45.6,45.1,45.1,2875,0
88,2016-09-30,45.5,46.0,45.5,46.0,1885,0
89,2016-10-03,46.0,46.0,45.15,45.2,4534,0
90,2016-10-04,46.0,46.1,46.0,46.0,2541,0
91,2016-10-05,46.0,46.0,46.0,46.0,3870,0
92,2016-10-06,46.0,46.0,45.9,46.0,8280,0
93,2016-10-07,50.0,50.0,45.0,45.0,481,0
