,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2010-11-08,9.51,9.6,9.3,9.6,12420,0
1,2010-11-09,9.4,9.4,9.2,9.35,20402,0
2,2010-11-10,9.2,9.45,9.2,9.45,7178,0
3,2010-11-11,9.6,9.6,9.6,9.6,200,0
4,2010-11-12,9.5,9.5,9.45,9.45,5200,0
5,2010-11-17,9.4,9.5,9.4,9.5,2400,0
6,2010-11-23,9.0,9.15,9.0,9.15,6920,0
7,2010-11-24,8.8,9.0,8.75,9.0,27200,0
8,2010-11-25,9.0,9.4,9.0,9.4,5005,0
9,2010-12-01,9.0,9.6,9.0,9.6,5200,0
10,2010-12-03,9.5,9.6,9.5,9.6,5000,0
11,2010-12-15,9.6,9.6,9.0,9.4,11306,0
12,2010-12-16,9.4,9.4,9.4,9.4,4400,0
13,2010-12-17,9.03,9.03,9.03,9.03,41510,0
14,2010-12-21,9.01,9.01,9.01,9.01,1300,0
15,2010-12-23,9.02,9.03,9.02,9.03,6000,0
16,2010-12-28,9.3,9.3,9.3,9.3,1000,0
17,2010-12-30,9.45,9.5,9.45,9.5,681,0
18,2011-01-03,9.5,9.7,9.5,9.7,5320,0
19,2011-01-05,9.68,9.68,9.68,9.68,206,0
20,2011-01-07,9.6,9.6,9.5,9.6,4500,0
21,2011-01-10,9.55,9.55,9.55,9.55,500,0
22,2011-01-11,9.5,9.65,9.45,9.55,5000,0
23,2011-01-12,9.55,9.6,9.55,9.6,3000,0
24,2011-01-19,9.45,9.5,9.45,9.5,4500,0
25,2011-01-25,9.4,9.4,9.4,9.4,1466,0
26,2011-01-26,9.45,9.45,9.0,9.45,100500,0
27,2011-01-31,9.5,9.5,9.5,9.5,300,0
28,2011-02-01,9.5,9.6,9.5,9.6,6200,0
29,2011-02-07,9.75,9.75,9.75,9.75,202,0
30,2011-02-08,9.75,9.75,9.75,9.75,303,0
31,2011-02-09,9.8,9.8,9.75,9.75,3165,0
32,2011-02-11,9.65,9.65,9.65,9.65,500,0
33,2011-02-14,9.75,9.75,9.75,9.75,500,0
34,2011-02-15,9.5,9.5,9.5,9.5,1000,0
35,2011-02-16,9.75,9.75,9.75,9.75,300,0
36,2011-02-24,9.65,9.65,9.65,9.65,1000,0
37,2011-03-02,9.5,9.6,9.5,9.55,4500,0
38,2011-03-03,9.5,9.5,9.5,9.5,12454,0
39,2011-03-21,9.0,9.5,9.0,9.5,6928,0
40,2011-03-30,9.04,9.45,9.03,9.45,879224,0
41,2011-03-31,9.4,9.6,9.4,9.6,2165,0
42,2011-04-05,9.6,9.6,9.3,9.3,2000,0
43,2011-04-06,9.5,9.5,9.5,9.5,775,0
44,2011-04-08,9.55,9.65,9.55,9.55,2678,0
45,2011-04-11,9.55,9.55,9.45,9.45,1028,0
46,2011-05-12,9.4,9.45,9.4,9.45,3000,0
47,2011-05-17,9.5,9.5,9.5,9.5,1000,0
48,2011-05-18,9.6,9.6,9.6,9.6,1000,0
49,2011-05-20,9.3,9.5,9.3,9.5,810,0
50,2011-05-31,9.5,9.5,9.5,9.5,1000,0
51,2011-06-03,9.5,9.5,9.3,9.5,141995,0
52,2011-06-06,9.5,9.5,9.5,9.5,500,0
53,2011-06-09,9.5,9.5,9.5,9.5,300,0
54,2011-06-13,9.5,9.7,9.5,9.7,11993,0
55,2011-06-14,10.0,10.45,10.0,10.45,4140,0
