,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,2.28133,2.29605,2.26661,2.28133,231257,0
1,2005-01-04,2.24454,2.29605,2.24454,2.28133,769583,0
2,2005-01-05,2.23718,2.2519,2.20038,2.2077400000000003,246601,0
3,2005-01-06,2.2077400000000003,2.25926,2.2077400000000003,2.2519,309599,0
4,2005-01-07,2.26661,2.28133,2.24454,2.26661,248029,0
5,2005-01-10,2.26661,2.34021,2.26661,2.31813,386282,0
6,2005-01-11,2.34021,2.34757,2.31813,2.31813,103144,0
7,2005-01-12,2.34021,2.34021,2.29605,2.31813,162686,0
8,2005-01-13,2.28133,2.3254900000000003,2.28133,2.3254900000000003,127769,0
9,2005-01-14,2.34021,2.34021,2.30341,2.33285,126363,0
10,2005-01-17,2.33285,2.34757,2.31813,2.31813,208764,0
11,2005-01-18,2.31813,2.3254900000000003,2.31813,2.3254900000000003,198273,0
12,2005-01-19,2.31813,2.35492,2.31813,2.35492,199344,0
13,2005-01-20,2.33285,2.35492,2.31813,2.34021,305450,0
14,2005-01-21,2.33285,2.377,2.31813,2.36964,340581,0
15,2005-01-24,2.36964,2.36964,2.34757,2.34757,164926,0
16,2005-01-25,2.34757,2.36964,2.34757,2.36964,265689,0
17,2005-01-26,2.36964,2.4064400000000004,2.36964,2.4064400000000004,267508,0
18,2005-01-27,2.4138,2.45059,2.4064400000000004,2.45059,874003,0
19,2005-01-28,2.45059,2.45795,2.43588,2.43588,262771,0
20,2005-01-31,2.4285200000000002,2.4800299999999997,2.4285200000000002,2.4800299999999997,417277,0
21,2005-02-01,2.47267,2.47267,2.4653099999999997,2.4653099999999997,114959,0
22,2005-02-02,2.44323,2.48739,2.44323,2.4653099999999997,144358,0
23,2005-02-03,2.45795,2.50211,2.45795,2.49475,303300,0
24,2005-02-04,2.50211,2.55362,2.50211,2.55362,619814,0
25,2005-02-07,2.55362,2.55362,2.45059,2.5462599999999997,194299,0
26,2005-02-08,2.5389,2.55362,2.53154,2.53154,351155,0
27,2005-02-09,2.51683,2.51683,2.45795,2.50211,523701,0
28,2005-02-10,2.50211,2.50211,2.45795,2.47267,159005,0
29,2005-02-11,2.47267,2.47267,2.45059,2.4653099999999997,227283,0
30,2005-02-14,2.4653099999999997,2.56098,2.4653099999999997,2.53154,621316,0
31,2005-02-15,2.56098,2.56098,2.45059,2.45059,171236,0
32,2005-02-16,2.4800299999999997,2.48739,2.44323,2.4653099999999997,126572,0
33,2005-02-17,2.4653099999999997,2.50211,2.44323,2.50211,314881,0
34,2005-02-18,2.49475,2.64929,2.48739,2.64929,1042119,0
35,2005-02-21,2.64929,2.64929,2.56834,2.5757,599978,0
36,2005-02-22,2.5389,2.60514,2.5389,2.5977799999999998,582843,0
37,2005-02-23,2.61249,2.6640099999999998,2.5757,2.62721,1173442,0
38,2005-02-24,2.64929,2.67873,2.63457,2.6640099999999998,501616,0
39,2005-02-25,2.6640099999999998,2.70816,2.64929,2.6640099999999998,226294,0
40,2005-02-28,2.6640099999999998,2.67137,2.5757,2.61249,646110,0
41,2005-03-01,2.60514,2.67873,2.60514,2.67137,319320,0
42,2005-03-02,2.6640099999999998,2.70816,2.64193,2.70816,493134,0
43,2005-03-03,2.68609,2.71552,2.68609,2.7008,376930,0
44,2005-03-04,2.70816,2.76704,2.64929,2.75232,607085,0
45,2005-03-07,2.75968,2.87006,2.75232,2.86271,1602077,0
46,2005-03-08,2.88478,2.90686,2.85535,2.87006,877575,0
47,2005-03-09,2.86271,2.86271,2.75232,2.7744,443642,0
48,2005-03-10,2.72288,2.74496,2.5757,2.64193,602918,0
49,2005-03-11,2.64193,2.67137,2.60514,2.60514,171516,0
50,2005-03-14,2.60514,2.60514,2.4285200000000002,2.47267,402437,0
