,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.26,1.27,1.26,1.26,8600,0
1,2005-01-04,1.25,1.25,1.25,1.25,15000,0
2,2005-01-05,1.25,1.25,1.25,1.25,14802,0
3,2005-01-07,1.3,1.3,1.25,1.25,5750,0
4,2005-01-10,1.27,1.27,1.27,1.27,2150,0
5,2005-01-11,1.28,1.29,1.27,1.29,5500,0
6,2005-01-12,1.27,1.3,1.27,1.3,3300,0
7,2005-01-14,1.29,1.29,1.29,1.29,3640,0
8,2005-01-17,1.28,1.29,1.25,1.29,9300,0
9,2005-01-18,1.25,1.25,1.21,1.23,26225,0
10,2005-01-19,1.22,1.22,1.22,1.22,1774,0
11,2005-01-20,1.21,1.21,1.21,1.21,2503,0
12,2005-01-21,1.24,1.25,1.24,1.25,15180,0
13,2005-01-25,1.28,1.37,1.28,1.37,175327,0
14,2005-01-26,1.37,1.43,1.37,1.4,113317,0
15,2005-01-27,1.4,1.44,1.4,1.44,34780,0
16,2005-01-28,1.4,1.47,1.4,1.47,57703,0
17,2005-01-31,1.45,1.48,1.43,1.48,90034,0
18,2005-02-01,1.38,1.38,1.38,1.38,3496,0
19,2005-02-02,1.4,1.4,1.4,1.4,1100,0
20,2005-02-03,1.43,1.43,1.42,1.43,23954,0
21,2005-02-04,1.45,1.48,1.45,1.45,61500,0
22,2005-02-07,1.47,1.47,1.43,1.43,24400,0
23,2005-02-08,1.45,1.45,1.42,1.44,21700,0
24,2005-02-09,1.43,1.44,1.42,1.44,17558,0
25,2005-02-10,1.43,1.44,1.39,1.39,49112,0
26,2005-02-11,1.41,1.41,1.39,1.4,26140,0
27,2005-02-14,1.4,1.42,1.39,1.42,22840,0
28,2005-02-15,1.41,1.41,1.38,1.38,15500,0
29,2005-02-16,1.35,1.38,1.35,1.38,20895,0
30,2005-02-17,1.4,1.45,1.4,1.45,79274,0
31,2005-02-18,1.45,1.5,1.45,1.5,110429,0
32,2005-02-21,1.55,1.72,1.55,1.6,304063,0
33,2005-02-22,1.62,1.65,1.6,1.65,215319,0
34,2005-02-23,1.65,1.65,1.6,1.62,210773,0
35,2005-02-24,1.65,1.65,1.55,1.6,69702,0
36,2005-02-25,1.65,1.65,1.58,1.58,54234,0
37,2005-02-28,1.58,1.58,1.46,1.46,30213,0
38,2005-03-01,1.5,1.55,1.5,1.53,39600,0
39,2005-03-02,1.53,1.55,1.52,1.52,16406,0
40,2005-03-03,1.65,1.65,1.5,1.5,21700,0
41,2005-03-04,1.48,1.53,1.48,1.52,32542,0
42,2005-03-07,1.52,1.54,1.51,1.52,10300,0
43,2005-03-08,1.53,1.61,1.53,1.61,40259,0
44,2005-03-09,1.58,1.6,1.56,1.56,62115,0
45,2005-03-10,1.54,1.54,1.43,1.52,66854,0
46,2005-03-11,1.5,1.55,1.5,1.5,13200,0
47,2005-03-14,1.47,1.47,1.43,1.43,32382,0
