,fecha,apertura,maximo,minimo,cierre,volumen,openint
0,2005-01-03,1.0984399999999999,1.0984399999999999,1.06754,1.06754,1403462,0
1,2005-01-04,1.06754,1.07596,1.03944,1.03944,1339353,0
2,2005-01-05,1.03944,1.04506,1.00573,1.00854,2264209,0
3,2005-01-06,1.01135,1.0254,1.00854,1.01416,985547,0
4,2005-01-07,1.01978,1.03101,1.00573,1.00573,451108,0
5,2005-01-10,1.01135,1.06192,1.01135,1.06192,446979,0
6,2005-01-11,1.07315,1.0984399999999999,1.07315,1.0956299999999999,3513113,0
7,2005-01-12,1.0900100000000001,1.0956299999999999,1.07596,1.0928200000000001,1303170,0
8,2005-01-13,1.0872,1.0956299999999999,1.08439,1.0956299999999999,535951,0
9,2005-01-14,1.0928200000000001,1.0956299999999999,1.0900100000000001,1.0956299999999999,422703,0
10,2005-01-17,1.0984399999999999,1.0984399999999999,1.0956299999999999,1.0956299999999999,407646,0
11,2005-01-18,1.10125,1.10125,1.08158,1.0900100000000001,445039,0
12,2005-01-19,1.0900100000000001,1.0900100000000001,1.0872,1.0872,459028,0
13,2005-01-20,1.0900100000000001,1.0900100000000001,1.0563,1.06754,542821,0
14,2005-01-21,1.07315,1.07315,1.0506799999999998,1.0506799999999998,417719,0
15,2005-01-24,1.06473,1.06754,1.05911,1.05911,173975,0
16,2005-01-25,1.0563,1.05911,1.04506,1.04506,508774,0
17,2005-01-26,1.04506,1.0900100000000001,1.03944,1.0872,761772,0
18,2005-01-27,1.0872,1.0928200000000001,1.08158,1.0928200000000001,664044,0
19,2005-01-28,1.0956299999999999,1.10406,1.0928200000000001,1.0984399999999999,610009,0
20,2005-01-31,1.0956299999999999,1.0956299999999999,1.06754,1.07315,389937,0
21,2005-02-01,1.08439,1.0928200000000001,1.07596,1.0928200000000001,1193036,0
22,2005-02-02,1.0900100000000001,1.0900100000000001,1.06754,1.06754,1528813,0
23,2005-02-03,1.07596,1.07877,1.06754,1.07315,2897462,0
24,2005-02-04,1.0900100000000001,1.11248,1.0900100000000001,1.0900100000000001,357,0
25,2005-02-07,1.1096700000000002,1.11248,1.0928200000000001,1.10687,629177,0
26,2005-02-08,1.10687,1.11529,1.10406,1.11529,396,0
27,2005-02-09,1.1096700000000002,1.14058,1.1096700000000002,1.12372,948,0
28,2005-02-10,1.12372,1.14058,1.12372,1.13496,2076885,0
29,2005-02-11,1.13496,1.15181,1.13215,1.14901,3158594,0
30,2005-02-14,1.14901,1.18553,1.14901,1.16867,659,0
31,2005-02-15,1.17991,1.19676,1.13496,1.16024,2223896,0
32,2005-02-16,1.16305,1.1911399999999999,1.15743,1.18553,2428502,0
33,2005-02-17,1.18553,1.19957,1.18553,1.19957,355,0
34,2005-02-18,1.19957,1.208,1.19676,1.19676,634,0
35,2005-02-21,1.20238,1.20238,1.1771,1.17991,3016530,0
36,2005-02-22,1.17991,1.208,1.16867,1.208,380,0
37,2005-02-23,1.2136200000000001,1.23048,1.208,1.22205,465,0
38,2005-02-24,1.22205,1.23048,1.2192399999999999,1.22767,358,0
39,2005-02-25,1.22767,1.27542,1.22486,1.27542,888,0
40,2005-02-28,1.2922799999999999,1.32599,1.28385,1.30352,940,0
41,2005-03-01,1.30352,1.3597,1.30352,1.3597,641,0
42,2005-03-02,1.36532,1.37656,1.33161,1.33161,462,0
43,2005-03-03,1.34847,1.36532,1.33161,1.34847,498,0
44,2005-03-04,1.43274,1.43274,1.3597,1.3878,895,0
45,2005-03-07,1.3878,1.3906100000000001,1.36532,1.3878,2791492,0
46,2005-03-08,1.3878,1.3878,1.34004,1.35408,2854871,0
47,2005-03-09,1.35408,1.35408,1.27542,1.27823,639,0
48,2005-03-10,1.27823,1.27823,1.17429,1.23609,796,0
49,2005-03-11,1.23609,1.26981,1.19676,1.2192399999999999,2595644,0
50,2005-03-14,1.2192399999999999,1.22205,1.16024,1.16867,646,0
51,2005-03-15,1.16867,1.20238,1.1462,1.1462,527,0
52,2005-03-16,1.15743,1.1658600000000001,1.12653,1.1377700000000002,501,0
53,2005-03-17,1.15743,1.22205,1.1377700000000002,1.22205,660,0
54,2005-03-18,1.22767,1.26419,1.22205,1.23048,364,0
55,2005-03-21,1.23048,1.23609,1.17991,1.19676,2200332,0
56,2005-03-22,1.19395,1.23048,1.16305,1.1911399999999999,2187393,0
57,2005-03-23,1.1911399999999999,1.208,1.15462,1.20238,3434125,0
58,2005-03-28,1.1911399999999999,1.20238,1.16305,1.20238,1993946,0
59,2005-03-29,1.20238,1.23048,1.19676,1.20519,1776597,0
60,2005-03-30,1.23048,1.24171,1.20519,1.24171,2727456,0
61,2005-03-31,1.23609,1.28104,1.23609,1.27542,387,0
62,2005-04-01,1.27261,1.30352,1.25857,1.2922799999999999,3023543,0
63,2005-04-04,1.2866600000000001,1.2866600000000001,1.24171,1.2473299999999998,1295908,0
64,2005-04-05,1.25295,1.27261,1.2473299999999998,1.26981,1478142,0
65,2005-04-06,1.28385,1.2866600000000001,1.27261,1.28385,1040738,0
66,2005-04-07,1.2866600000000001,1.2866600000000001,1.26419,1.27261,988359,0
67,2005-04-08,1.26419,1.27542,1.25857,1.27261,1192929,0
68,2005-04-11,1.27261,1.27542,1.2473299999999998,1.2473299999999998,1142899,0
69,2005-04-12,1.23609,1.23609,1.1911399999999999,1.19957,2784214,0
70,2005-04-13,1.19957,1.21081,1.16024,1.17429,1978533,0
71,2005-04-14,1.15181,1.1658600000000001,1.1181,1.14901,3469045,0
72,2005-04-15,1.14901,1.15743,1.0900100000000001,1.0956299999999999,378,0
73,2005-04-18,1.12372,1.15743,1.12372,1.14339,2123088,0
74,2005-04-19,1.1714799999999999,1.20519,1.16867,1.20519,2598278,0
75,2005-04-20,1.2136200000000001,1.2136200000000001,1.16867,1.1714799999999999,1681004,0
76,2005-04-21,1.18553,1.208,1.17429,1.20238,1695563,0
77,2005-04-22,1.208,1.21643,1.19395,1.19957,895969,0
78,2005-04-25,1.20238,1.22205,1.20238,1.2136200000000001,1551737,0
79,2005-04-26,1.22205,1.22205,1.19676,1.19676,1208396,0
80,2005-04-27,1.18834,1.208,1.18834,1.20519,1554816,0
81,2005-04-28,1.19676,1.208,1.18553,1.18553,605310,0
82,2005-04-29,1.19676,1.22486,1.18553,1.22486,721033,0
83,2005-05-02,1.23048,1.28104,1.22767,1.26981,2403816,0
84,2005-05-03,1.2851700000000001,1.30561,1.2851700000000001,1.29393,3054209,0
85,2005-05-04,1.29685,1.3319,1.29685,1.32606,1993862,0
86,2005-05-05,1.3319,1.34359,1.30561,1.32606,5424368,0
87,2005-05-06,1.3698700000000001,1.37571,1.2851700000000001,1.2851700000000001,5988076,0
88,2005-05-09,1.2851700000000001,1.30854,1.2676399999999999,1.29101,1309812,0
89,2005-05-10,1.28809,1.29393,1.2676399999999999,1.2851700000000001,3096337,0
90,2005-05-11,1.2851700000000001,1.29393,1.2676399999999999,1.2793299999999999,2129234,0
91,2005-05-12,1.2851700000000001,1.29101,1.23844,1.25596,1882336,0
92,2005-05-13,1.25596,1.32606,1.22675,1.30269,2258239,0
93,2005-05-16,1.34359,1.34359,1.27349,1.2793299999999999,2005897,0
94,2005-05-17,1.2793299999999999,1.2851700000000001,1.23551,1.2442799999999998,2515613,0
95,2005-05-18,1.25596,1.27349,1.25304,1.2705600000000001,2096658,0
96,2005-05-19,1.29101,1.31146,1.2705600000000001,1.2793299999999999,1437789,0
97,2005-05-20,1.28809,1.29101,1.2793299999999999,1.2851700000000001,2312624,0
98,2005-05-23,1.29101,1.29977,1.2793299999999999,1.2851700000000001,1084500,0
99,2005-05-24,1.30269,1.30269,1.2793299999999999,1.29685,1524032,0
100,2005-05-26,1.29101,1.29101,1.27641,1.2793299999999999,1010652,0
101,2005-05-27,1.29101,1.29393,1.2851700000000001,1.29393,754133,0
102,2005-05-30,1.30269,1.31146,1.29685,1.30561,3642465,0
103,2005-05-31,1.30854,1.30854,1.29685,1.29685,1798662,0
104,2005-06-01,1.31146,1.31146,1.2851700000000001,1.28809,2401416,0
105,2005-06-02,1.29685,1.30561,1.2851700000000001,1.29685,2934004,0
106,2005-06-03,1.29101,1.29685,1.2793299999999999,1.2793299999999999,1292745,0
107,2005-06-06,1.2793299999999999,1.2793299999999999,1.2676399999999999,1.27641,907736,0
108,2005-06-07,1.27641,1.2851700000000001,1.27349,1.2851700000000001,833870,0
109,2005-06-08,1.2851700000000001,1.2851700000000001,1.27641,1.2793299999999999,416952,0
110,2005-06-09,1.2618,1.2676399999999999,1.24136,1.2472,1344922,0
111,2005-06-10,1.24136,1.2472,1.21215,1.24136,1804242,0
112,2005-06-13,1.23551,1.24136,1.22675,1.23844,652450,0
113,2005-06-14,1.23844,1.2501200000000001,1.22967,1.24136,813979,0
114,2005-06-15,1.24136,1.2442799999999998,1.22675,1.23259,1076866,0
115,2005-06-16,1.24136,1.2676399999999999,1.23844,1.24136,2118227,0
116,2005-06-17,1.25596,1.2676399999999999,1.24136,1.2676399999999999,1452545,0
